col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,H_alfa
112,112,"88,470081","22,429046",2,"14,769","14,9","13,52","12,83","12,96","12,013","11,716","11,386",112,"0,999881014672735",1
104,104,"97,036163","1,3953582",2,"14,439","14,518","13,78","13,13","13,34","12,491","12,212","11,924",104,"0,999856706556645",1
545,546,"64,458939","53,423931",2,"14,407","14,29","13,33","12,54","12,74","11,808","11,481","11,187",545,"0,999813283163291",1
397,398,"64,4589367","53,4239286",2,"14,407","14,29","13,33","12,54","12,74","11,808","11,481","11,187",397,"0,999813283163291",1
555,556,"62,83595","53,234539",2,"14,064","13,996","12,83","12,1","12,34","11,789","11,513","11,247",555,"0,999770916312936",1
315,316,"309,19739","34,1965017",2,"15,057","14,726","13,83","13,12","13,32","12,537","12,245","12,024",315,"0,999713865700309",99
251,251,"63,4037767","52,7429414",2,"14,119","13,267","12,35","11,51","11,87","10,997","10,706","10,406",251,"0,999632010385919",1
160,160,"63,40378","52,742943",2,"14,119","13,267","12,35","11,51","11,87","10,997","10,706","10,406",160,"0,999632010385919",1
409,410,"88,852667","22,910194",2,"16,486","16,13","13,95","13,1","12,93","11,157","10,659","10,317",409,"0,999458398419774",1
163,163,"66,012181","54,397028",2,"14,203","13,865","12,8","12,31","12,32","11,544","11,339","11,128",163,"0,993542559220425",1
192,192,"88,577333","22,903944",2,"16,669","16,253","15,19","14,64","14,48","13,193","12,773","12,479",192,"0,99012967969413",1
495,496,"80,210909","28,357143",2,"16,058","15,706","14,63","14,23","14,22","13,462","13,242","13,018",495,"0,986027240586804",1
952,954,"102,8430914","-0,2858156",2,"15,046","15,123","14,62","14,06","14,17","13,439","13,151","12,976",952,"0,980249186225922",1
866,868,"324,3077244","51,6485219",2,"15,849","15,497","14,12","13,55","13,29","12,174","11,73","11,332",866,"0,978730471094574",1
433,434,"94,2455333","25,2571656",2,"14,344","14,643","13,65","13,25","13,33","12,782","12,636","12,489",433,"0,97777021923737",1
834,836,"94,245542","25,257194",2,"14,344","14,643","13,65","13,25","13,33","12,782","12,636","12,489",834,"0,97777021923737",1
547,548,"86,506984","21,440742",2,"15,474","15,439","14,82","14,47","14,49","13,964","13,738","13,644",547,"0,971391306823429",1
101,101,"82,132272","27,19626",2,"15,602","15,646","15,04","14,55","14,59","13,874","13,65","13,406",101,"0,964212241484287",1
823,825,"89,725583","22,050056",2,"15,765","15,554","14,7","14,26","14,19","13,281","13,039","12,842",823,"0,960444666602583",1
508,509,"63,9361464","53,8322308",2,"15,153","14,809","13,86","13,42","13,32","12,495","12,215","12,088",508,"0,949387262650538",1
245,245,"87,731648","22,326887",2,"16,159","16,047","15,29","14,87","14,83","14,134","13,759","13,527",245,"0,937808892749432",1
391,392,"89,586701","22,879454",2,"15,953","15,738","14,61","13,92","13,76","12,466","12,017","11,563",391,"0,878065910296927",1
303,304,"56,368536","50,057221",2,"14,838","14,83","12,98","12,43","12,29","11,335","10,981","10,641",303,"0,836056758522478",1
83,83,"56,368509","50,057241",2,"14,838","14,83","12,98","12,43","12,29","11,335","10,981","10,641",83,"0,836056758522478",1
212,212,"102,798518","-0,304842",2,"13,758","13,998","13,17","12,81","12,79","12,295","12,183","12,129",212,"0,796532170655291",0
53,53,"92,07514","22,443044",2,"15,284","14,732","13,86","13,5","13,21","12,058","11,562","11,351",53,"0,731355718241101",1
500,501,"56,463593","49,815753",2,"15,247","14,404","13,02","12,61","12,42","11,527","11,29","11,117",500,"0,701400331504328",1
565,566,"92,58067","23,76953",2,"13,598","13,318","12,68","12,5","12,53","12,062","12,008","11,945",565,"0,678675898181193",1
366,367,"92,5806708","23,7695306",2,"13,598","13,318","12,68","12,5","12,53","12,062","12,008","11,945",366,"0,678675898181193",1
271,271,"55,0748733","49,3589739",2,"13,645","12,971","12,91","12,62","12,63","12,271","12,014","11,913",271,"0,65557029313971",1
154,154,"92,798468","23,590042",2,"13,468","13,413","12,72","12,5","12,51","12,044","11,989","11,92",154,"0,651766233910719",0
509,510,"92,96136","25,49007",2,"13,535","12,152","12,02","11,39","11,63","11,396","11,286","11,156",509,"0,637298804132258",99
179,179,"90,709624","23,995056",2,"16,822","16,173","14,94","14,37","14,12","12,916","12,603","12,25",179,"0,560682851484575",1
954,956,"88,428156","21,873148",2,"14,64","14,759","14,41","14,03","14,09","13,516","13,37","13,265",954,"0,508921972036303",1
88,88,"59,833879","50,938922",2,"14,768","14,102","13,05","12,61","12,43","11,525","11,332","11,168",88,"0,487011330843193",0
621,623,"83,747208","28,128778",2,"15,221","15,078","14,36","14,01","13,87","13,109","12,818","12,662",621,"0,453801905057047",1
153,153,"92,968107","23,729066",2,"13,376","12,594","12,1","11,45","11,59","11,29","11,231","11,149",153,"0,442915438569867",1
501,502,"99,315126","10,096934",2,"14,5","13,796","12,77","12,53","12,43","11,822","11,664","11,63",501,"0,435175473866294",0
1021,1023,"310,35191","37,512022",2,"16,178","15,476","14,31","13,91","13,6","12,192","11,835","11,602",1021,"0,391407421025426",99
174,174,"90,118083","22,939422",2,"16,624","15,959","14,49","13,78","13,43","12,396","12,003","11,798",174,"0,386870308959261",1
98,98,"59,558931","52,173432",2,"14,15","14,864","12,91","11,97","11,78","10,885","10,801","10,645",98,"0,376000931024871",1
977,979,"59,558959","52,173405",2,"14,15","14,864","12,91","11,97","11,78","10,885","10,801","10,645",977,"0,376000931024871",1
632,634,"93,283401","23,857319",2,"23,711","18,127","13,21","13,01","12,94","12,252","12,17","12,179",632,"0,375358963682586",0
107,107,"83,80458","29,986758",2,"15,728","15,336","14,21","13,64","13,41","12,544","12,243","12,1",107,"0,367398519855715",1
221,221,"307,8161506","45,4200264",2,"13,298","15,09","12,91","11,76","11,81","10,491","10,237","10,005",221,"0,351754794228828",1
666,668,"59,84079556","52,66475472",2,"11,079","11,182","12,63","11,29","11,21","10,36","10,276","10,269",666,"0,336031058969501",99
437,438,"101,88438","12,030321",2,"13,847","14,149","13,71","13,56","13,58","13,282","13,183","13,109",437,"0,326303804538493",0
875,877,"101,8843667","12,0303378",2,"13,847","14,149","13,71","13,56","13,58","13,282","13,183","13,109",875,"0,326303804538493",0
601,603,"92,3242417","23,5627889",2,"12,898","12,226","12,01","11,76","11,87","11,478","11,436","11,384",601,"0,30816406569781",0
693,695,"92,32424","23,56279",2,"12,898","12,226","12,01","11,76","11,87","11,478","11,436","11,384",693,"0,30816406569781",0
791,793,"92,324231","23,562838",2,"12,898","12,226","12,01","11,76","11,87","11,478","11,436","11,384",791,"0,30816406569781",0
138,138,"93,894115","23,420787",2,"15,179","14,3","13,15","12,72","12,4","11,137","10,753","10,506",138,"0,291856378304215",1
243,243,"347,212451","58,838644",2,"13,629","13,547","13,01","12,72","12,69","12,225","12,134","12,044",243,"0,27483454397171",1
829,831,"85,50225","30,832389",2,"15,109","14,861","14,18","13,82","13,7","12,949","12,736","12,593",829,"0,273128979161945",1
751,753,"94,6054552","23,8328622",2,"14,333","14,038","13,38","13,08",13,"12,358","12,204","12,063",751,"0,267819260626098",99
