,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob
545,546,64.458939,53.423931,14.407,14.29,13.33,12.54,12.74,11.808,11.481,11.187,545,0.8521467386679866
397,398,64.45893670000001,53.4239286,14.407,14.29,13.33,12.54,12.74,11.808,11.481,11.187,397,0.8521467386679866
555,556,62.83595,53.234539,14.064,13.995999999999999,12.83,12.1,12.34,11.789,11.513,11.247,555,0.8435541828354933
104,104,97.036163,1.3953582,14.439,14.517999999999999,13.78,13.13,13.34,12.491,12.212,11.924,104,0.8096682404368931
112,112,88.47008100000002,22.429046,14.769,14.9,13.52,12.83,12.96,12.013,11.716,11.386,112,0.7238032128651096
834,836,94.245542,25.257194,14.344000000000001,14.642999999999999,13.65,13.25,13.33,12.782,12.636,12.489,834,0.7083433659524321
433,434,94.2455333,25.2571656,14.344000000000001,14.642999999999999,13.65,13.25,13.33,12.782,12.636,12.489,433,0.7083433659524321
391,392,89.586701,22.879454,15.953,15.738,14.61,13.92,13.76,12.466,12.017,11.563,391,0.6981130423287668
866,868,324.3077244,51.6485219,15.849,15.496999999999998,14.12,13.55,13.29,12.174,11.73,11.332,866,0.677333072792259
315,316,309.19739,34.196501700000006,15.057,14.726,13.83,13.12,13.32,12.537,12.245,12.024,315,0.6770215201232993
952,954,102.8430914,-0.2858156,15.046,15.123,14.62,14.06,14.17,13.439,13.151,12.976,952,0.6279132039889171
245,245,87.73164799999998,22.326887,16.159000000000002,16.047,15.29,14.87,14.83,14.134,13.759,13.527,245,0.6262684311284634
101,101,82.132272,27.19626,15.602,15.646,15.04,14.55,14.59,13.874,13.65,13.406,101,0.5833023136637223
192,192,88.577333,22.903944,16.669,16.253000000000004,15.19,14.64,14.48,13.193,12.773,12.479,192,0.5786733689617196
212,212,102.798518,-0.304842,13.758,13.998,13.17,12.81,12.79,12.295,12.183,12.129,212,0.5737397803988865
409,410,88.85266700000003,22.910194,16.486,16.13,13.95,13.1,12.93,11.157,10.659,10.317,409,0.5398974802895391
547,548,86.506984,21.440742,15.474,15.439,14.82,14.47,14.49,13.964,13.738,13.644,547,0.5156613028357586
163,163,66.01218100000001,54.39702800000001,14.203,13.864999999999998,12.8,12.31,12.32,11.544,11.339,11.128,163,0.5117391609056129
160,160,63.40378000000001,52.742943,14.119000000000002,13.267000000000001,12.35,11.51,11.87,10.997,10.706,10.406,160,0.510594936941744
251,251,63.4037767,52.7429414,14.119000000000002,13.267000000000001,12.35,11.51,11.87,10.997,10.706,10.406,251,0.510594936941744
997,999,99.024754,9.88671,12.982999999999999,18.062,12.48,12.15,12.04,11.642,11.481,11.389,997,0.49999999655565697
632,634,93.283401,23.857319,23.711,18.127,13.21,13.01,12.94,12.252,12.17,12.179,632,0.49999941273561066
999,1001,103.4718514,8.5584789,12.093000000000002,15.113,12.35,11.67,11.8,11.728,11.732,11.703,999,0.4999986000748771
130,130,87.517189,30.212591,13.43,16.547,13.02,12.84,12.79,12.418,12.351,12.306,130,0.49997653600614594
394,395,346.162464,59.036368,14.458,15.812999999999999,12.52,11.53,11.57,10.172,9.718,9.308,394,0.4999654458905771
752,754,101.83989,9.42134,12.972999999999999,15.56,12.46,12.21,12.18,12.032,12.045,12.004,752,0.49991205994908305
84,84,59.058908,52.434199,14.378,15.887,12.68,11.88,11.91,10.899,10.575,10.259,84,0.4999118678167371
583,584,347.017309,59.14623,12.879000000000001,14.776,12.5,11.98,12.01,11.813,11.764,11.762,583,0.49989579204732937
815,817,92.854382,25.3294769,13.453,16.293000000000006,13.18,13.0,12.91,12.589,12.485,12.421,815,0.49988081454337147
221,221,307.8161506,45.4200264,13.298000000000002,15.089999999999998,12.91,11.76,11.81,10.491,10.237,10.005,221,0.49974891265466104
165,165,61.956403,53.460651,13.616,14.884,12.35,11.64,11.56,10.911,10.777,10.681,165,0.49973561664818344
255,255,61.956436,53.460651,13.616,14.884,12.35,11.64,11.56,10.911,10.777,10.681,255,0.49973561664818344
493,494,92.0318072,23.9711041,14.127,16.65,13.46,13.36,13.24,12.955,12.87,12.805,493,0.49956464783878785
951,953,102.29178,10.334503,13.280999999999999,14.854000000000001,12.33,11.88,11.87,11.753,11.728,11.688,951,0.4995553910630707
950,952,102.2917828,10.3345028,13.280999999999999,14.854000000000001,12.33,11.88,11.87,11.753,11.728,11.688,950,0.4995553910630707
242,242,345.4946970000001,59.581879,14.044,15.204999999999998,12.58,12.04,11.92,11.476,11.286,11.165,242,0.49952095382596884
1056,1058,102.03284,11.722048,13.450999999999999,16.009,12.83,12.72,12.69,12.383,12.344,12.282,1056,0.49947968925637526
478,479,100.759529,0.406037,13.702,16.128000000000004,12.66,12.53,12.42,12.18,12.142,12.088,478,0.4994593980617759
1022,1024,100.984503,0.08631799999999999,14.002,16.212,13.22,13.06,12.95,12.587,12.491,12.421,1022,0.4994242548426295
291,291,90.0966072,23.1843864,14.947000000000001,15.472999999999999,13.24,12.4,12.37,11.357,10.899,10.487,291,0.4994179181120137
125,125,90.096597,23.184375,14.947000000000001,15.472999999999999,13.24,12.4,12.37,11.357,10.899,10.487,125,0.4994179181120137
342,343,94.5777292,23.6174611,13.325999999999999,14.800999999999998,12.07,11.64,11.52,11.143,11.075,10.99,342,0.4993324052193284
285,285,347.029023,56.58730799999999,13.373,15.169999999999998,12.41,12.09,12.06,11.719,11.651,11.636,285,0.4991598381498914
517,518,102.32287,10.022122,13.719000000000001,15.624,12.91,12.55,12.67,12.461,12.419,12.437,517,0.49904246353966725
759,761,349.967155,56.98805,13.998,15.306,12.73,12.31,12.2,11.743,11.607,11.518,759,0.4989142351147302
821,823,97.112546,1.3511231,14.384,16.394000000000002,13.44,13.28,13.1,12.532,12.377,12.281,821,0.49864877885240694
479,480,97.1125611,1.3511175,14.384,16.394000000000002,13.44,13.28,13.1,12.532,12.377,12.281,479,0.49864877885240694
1027,1029,103.1289519,10.4278667,13.654000000000002,15.874999999999998,13.41,13.34,13.37,13.163,13.105,13.077,1027,0.4984548515005649
851,853,101.21430440000002,1.3690475,13.722999999999999,15.467,12.62,12.35,12.26,11.932,11.894,11.855,851,0.49842766188569376
418,419,63.47899200000001,53.386174,14.642999999999999,16.346,13.23,12.98,12.82,12.2,12.019,11.941,418,0.4983955619063688
864,866,85.970721,20.970968,14.405,16.487000000000002,13.65,13.45,13.28,12.755999999999998,12.617,12.554,864,0.4983757298020094
522,523,55.78912,49.298736,14.812000000000001,16.724,13.42,13.26,13.09,12.679,12.548,12.499,522,0.4983224460008184
483,484,86.2557875,21.4330986,14.362,15.777999999999999,12.69,12.29,12.13,11.527,11.421,11.339,483,0.4982181263756842
237,237,84.88055190000001,30.3626353,14.276,16.015,12.7,12.47,12.17,11.431,11.2,11.076,237,0.4981002048388455
718,720,87.55405079999998,21.3922558,14.260000000000002,16.093,13.67,13.47,13.38,13.043,12.972,12.906,718,0.49807768906957095
636,638,87.554046,21.392253,14.260000000000002,16.093,13.67,13.47,13.38,13.043,12.972,12.906,636,0.49807768906957095
124,124,90.295107,23.358984,14.22,15.218,12.46,12.0,11.82,11.279000000000002,11.1,11.029000000000002,124,0.498052475313556
883,885,104.04422,7.735326,13.22,14.998,12.73,12.47,12.51,12.356,12.39,12.32,883,0.4978555598486228
111,111,89.40679300000002,21.229083,13.547,15.343,12.53,12.13,11.9,11.076,10.983,10.969,111,0.49784689760946604
286,286,55.2252997,49.8490241,13.163,14.829,12.33,12.12,12.07,11.737,11.644,11.65,286,0.49756612920188464
376,377,86.94745440000001,22.3701056,14.017000000000001,15.852,13.32,13.09,12.94,12.358,12.264,12.161,376,0.497525907657521
188,188,86.947459,22.370116,14.017000000000001,15.852,13.32,13.09,12.94,12.358,12.264,12.161,188,0.497525907657521
823,825,89.725583,22.050056,15.765,15.554,14.7,14.26,14.19,13.281,13.039,12.842,823,0.4973698351544973
161,161,63.085503,54.472062,14.895,16.262999999999998,13.03,12.72,12.42,11.544,11.345999999999998,11.227,161,0.4972679149137546
252,252,63.0855808,54.47202779999999,14.895,16.262999999999998,13.03,12.72,12.42,11.544,11.345999999999998,11.227,252,0.4972679149137546
690,692,87.636296,30.40683,13.436,15.424000000000001,12.15,12.0,11.89,11.62,11.598,11.556,690,0.49708043673946967
4,4,101.32953,10.102716,14.195000000000002,16.038,12.88,12.72,12.64,12.27,12.106,12.063,4,0.49704779466829074
961,963,101.4181167,10.736139199999998,13.561,15.265999999999998,12.74,12.55,12.5,12.111,12.002,11.939,961,0.49700828949107706
591,592,87.505153,20.376703,14.654000000000002,16.248,13.19,12.93,12.64,11.79,11.595999999999998,11.455,591,0.4967902000783514
307,308,94.0235972,23.767475,13.412,14.844000000000001,12.46,12.23,12.14,11.708,11.57,11.557,307,0.49646392620736607
746,748,100.970449,1.301154,13.382,14.357000000000001,12.33,11.78,11.75,11.542,11.561,11.487,746,0.49636960372277794
801,803,59.5040069,50.0216508,14.397,15.594000000000001,12.88,12.53,12.28,11.663,11.463,11.413,801,0.496075623222868
94,94,101.57403,10.613139,14.167,15.762,13.8,13.63,13.62,13.273,13.185,13.159,94,0.4959803097908951
312,313,101.5740267,10.6131406,14.167,15.762,13.8,13.63,13.62,13.273,13.185,13.159,312,0.4959803097908951
272,272,59.3023628,50.1102214,13.603000000000002,12.787,12.74,11.71,11.65,10.748,10.619000000000002,10.576,272,0.49537389278070615
13,13,62.3034694,52.6163744,13.837,14.853,12.73,12.36,12.24,11.821,11.712,11.692,13,0.49524989435224936
845,847,62.30346,52.61638000000001,13.837,14.853,12.73,12.36,12.24,11.821,11.712,11.692,845,0.49524989435224936
779,781,87.87949300000002,22.749071,14.001,15.652000000000001,12.9,12.69,12.48,11.895,11.755999999999998,11.669,779,0.49522628661316737
781,783,99.8905522,-0.4434217,13.788,14.860999999999999,12.49,12.12,12.04,11.799,11.769,11.732,781,0.49408942189198285
495,496,80.210909,28.357143,16.058,15.706,14.63,14.23,14.22,13.462,13.242,13.018,495,0.4936696891267008
507,508,102.733916,0.914934,15.635000000000002,15.453,13.9,13.63,13.4,12.539,12.297,12.155,507,0.4934749465254364
10,10,93.885612,23.662258,14.087,14.693,12.65,12.06,11.94,11.384,11.247,11.182,10,0.4933661790692263
1053,1055,63.513223,53.459962,14.652999999999999,15.970999999999998,12.98,12.7,12.5,11.767,11.609000000000002,11.462,1053,0.49318071777169475
876,878,309.141462,44.961852,13.875000000000002,14.630999999999998,12.47,11.97,11.73,10.882,10.658,10.557,876,0.4931353683192939
665,667,86.9277733,31.247786100000006,13.776,15.315999999999999,12.52,12.39,12.24,11.952,11.842,11.797,665,0.49304183683338015
42,42,101.3652,0.961464,13.805,14.957,12.8,12.53,12.45,12.140999999999998,12.057,12.01,42,0.49238698217146404
682,684,92.268649,22.765379,13.838,15.351,12.9,12.75,12.62,12.14,12.036,11.98,682,0.4923290735788266
