ID,_RA2000,_DEC2000,w1,w1_err,h,h_err,k,k_err,Halpha_type,objtype_Hou,objtype_SIMBAD,Fe_type,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag
J063416.35+023030.2,98.568135,2.5083942,11.916,0.054,12.072,0.024,12.003,0.027,I,CBe,,,14.68,0.01,14.28,0.0,13.33,0.0,13.47,0.0,12.99,0.01,11.916,11.968,10.752,5.748,12.347,12.072,12.003,0.054,0.055,0.507,0.169,0.023,0.024,0.027
J063432.90+015513.7,98.637124,1.9204795,9.898,0.023,10.448,0.026,10.132,0.024,I,CBe,,,,,,,,,13.69,0.0,12.88,0.0,9.898,9.75,9.529,7.787,11.247,10.448,10.132,0.023,0.021,0.059,,0.027,0.026,0.024
J063432.90+015513.7,98.637124,1.9204795,9.898,0.023,10.448,0.026,10.132,0.024,I,CBe,,,,,,,,,13.69,0.0,12.88,0.0,9.898,9.75,9.529,7.787,11.247,10.448,10.132,0.023,0.021,0.059,,0.027,0.026,0.024
J064125.63+023103.7,100.35682,2.5177049,10.87,0.023,10.922,0.021,10.916,0.021,II,CBe,Star,,,,,,,,,,,,10.87,10.891,11.223,9.118,11.052,10.922,10.916,0.023,0.021,0.166,,0.024,0.021,0.021
J063547.76+023035.5,98.949016,2.5098673,12.068,0.023,12.198,0.022,12.17,0.024,II,CBe,,,13.86,0.01,13.86,0.0,13.17,0.01,,,,,12.068,12.081,12.318,8.365,12.462,12.198,12.17,0.023,0.025,0.503,,0.023,0.022,0.024
J063546.82+022055.9,98.945109,2.348867,11.798,0.025,12.084,0.027,11.889,0.024,II,CBe,,,,,14.48,0.0,13.42,0.01,13.64,0.01,13.1,0.01,11.798,11.801,10.999,8.211,12.363,12.084,11.889,0.025,0.024,0.173,,0.024,0.027,0.024
J063540.33+022549.8,98.91806,2.4305098,10.828,0.022,11.16,0.023,10.974,0.019,II,CBe,,,14.96,0.01,14.1,0.0,12.96,0.01,,,,,10.828,10.808,11.006,8.667,11.466,11.16,10.974,0.022,0.021,0.221,,0.022,0.023,0.019
J063616.32+022504.1,99.068009,2.4178245,12.109,0.024,12.345,0.022,12.296,0.024,II,CBe,,,14.65,0.01,14.26,0.0,,,13.63,0.01,13.26,0.02,12.109,12.074,10.932,7.974,12.575,12.345,12.296,0.024,0.025,0.165,,0.023,0.022,0.024
J063540.33+022549.8,98.91806,2.4305098,10.828,0.022,11.16,0.023,10.974,0.019,II,CBe,,,14.96,0.01,14.1,0.0,12.96,0.01,,,,,10.828,10.808,11.006,8.667,11.466,11.16,10.974,0.022,0.021,0.221,,0.022,0.023,0.019
J063616.32+022504.1,99.068009,2.4178245,12.109,0.024,12.345,0.022,12.296,0.024,II,CBe,,,14.65,0.01,14.26,0.0,,,13.63,0.01,13.26,0.02,12.109,12.074,10.932,7.974,12.575,12.345,12.296,0.024,0.025,0.165,,0.023,0.022,0.024
J063636.82+021301.9,99.153426,2.217215,11.044,0.022,11.198,0.025,11.117,0.023,II,CBe,,,,,,,11.94,0.0,,,,,11.044,11.061,11.307,8.424,11.338,11.198,11.117,0.022,0.022,0.277,,0.026,0.025,0.023
J063922.10+021541.1,99.842121,2.2614222,12.167,0.023,12.36,0.022,12.208,0.021,VI,CBe,,,14.39,0.01,14.0,0.0,13.3,0.01,13.43,0.01,13.09,0.02,12.167,12.193,11.65,8.761,12.506,12.36,12.208,0.023,0.024,0.24,,0.026,0.022,0.021
J063535.19+013958.4,98.896642,1.6662237,12.329,0.023,12.469,0.029,12.387,0.024,VI,CBe,,,14.21,0.01,14.26,0.0,13.4,0.01,13.62,0.01,13.26,0.01,12.329,12.389,11.558,8.177,12.703,12.469,12.387,0.023,0.025,,,0.027,0.029,0.024
J063530.73+022714.8,98.878067,2.4541219,11.597,0.022,11.809,0.025,11.694,0.023,II,HII-region,,,14.43,0.01,13.85,0.0,13.07,0.01,,,,,11.597,11.599,11.51,8.544,12.001,11.809,11.694,0.022,0.024,,,0.023,0.025,0.023
J063447.77+022527.8,98.699065,2.4244091,11.773,0.023,12.058,0.029,11.932,0.029,II,HII-region,White Dwarf Candidate,,14.87,0.01,14.33,0.0,13.48,0.01,13.58,0.01,13.06,0.02,11.773,11.757,11.87,8.132,12.287,12.058,11.932,0.023,0.023,0.524,,0.026,0.029,0.029
