_RAJ2000,_DEJ2000,Cluster,MG,ymag,e_ymag,b-y,e_b-y,y-Ha,e_y-Ha,WHa05,WHa06,WHa07,vsini,e_vsini,Teff,e_Teff,logg,e_logg,loggP,Mass,e_Mass,Rad,e_Rad,Vc,SB?,Code,clean,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag
106.7981667,-10.62075,NGC 2343,46,15.254,0.089,0.459,0.113,0.644,0.128,,,,,,,,,,,,,,,,,O,false,16.24,0.01,,,14.64,0.01,,,,,13.517,13.183,13.021,0.029,0.037,0.039
106.8293333,-10.5761944,NGC 2343,22,13.345,0.044,0.493,0.059,0.69,0.064,,,,,,,,,,,,,,,,,O,true,14.15,0.0,13.82,0.0,12.66,0.0,12.93,0.0,12.51,0.01,11.862,11.461,11.378,0.024,0.021,0.023
106.8583333,-10.55425,NGC 2343,8,11.793,0.027,0.106,0.035,0.086,0.046,,,,,,,,,,,,,,,,,O,false,,,,,11.6,0.0,,,,,11.427,11.391,11.395,0.023,0.024,0.024
106.8822083,-10.7541389,NGC 2343,138,13.92,0.033,0.313,0.042,0.354,0.057,,,,,,,,,,,,,,,,,O,false,,,,,,,,,,,12.808,12.671,12.589,0.026,0.031,0.037
106.8865833,-10.7274444,NGC 2343,123,12.723,0.024,0.285,0.031,0.363,0.043,,,,,,,,,,,,,,,,,O,false,13.17,0.0,,,12.3,0.0,12.45,0.0,12.22,0.01,11.83,11.686,11.623,0.024,0.024,0.023
106.923,-10.60675,NGC 2343,42,14.482,0.05,0.477,0.065,0.661,0.074,,,,,,,,,,,,,,,,,O,true,15.08,0.0,14.93,0.0,13.85,0.0,14.1,0.0,13.67,0.0,12.946,12.638,12.513,0.025,0.032,0.037
106.9437083,-10.70375,NGC 2343,113,12.249,0.016,0.117,0.021,0.088,0.037,,,,,,,,,,,,,,,,,O,false,12.5,0.0,,,,,,,,,11.86,11.841,11.839,0.021,0.025,0.023
106.9485833,-10.7313056,NGC 2343,124,14.652,0.045,0.358,0.057,0.449,0.072,,,,,,,,,,,,,,,,,O,false,15.25,0.01,14.99,0.0,,,14.33,0.0,14.0,0.01,13.356,13.2,13.076,0.02,0.025,0.051
106.9516667,-10.6696667,NGC 2343,93,11.483,0.014,0.313,0.018,0.368,0.034,,,,,,,,,,,,,,,,,O,false,12.18,0.0,,,,,,,,,10.311,10.214,10.077,0.021,0.025,0.02
106.9523333,-10.6886111,NGC 2343,109,13.853,0.043,1.385,0.063,1.678,0.055,,,,,,,,,,,,,,,,,O,false,18.06,0.01,14.95,0.01,12.15,0.0,,,,,9.442,8.403,8.074,0.023,0.044,0.023
106.9730417,-10.6713889,NGC 2343,96,14.661,0.045,0.637,0.06,0.82,0.067,,,,,,,,,,,,,,,,,O,true,15.65,0.0,15.22,0.0,13.83,0.0,14.13,0.0,13.56,0.01,12.608,12.165,12.037,0.023,0.025,0.03
106.9810417,-10.6039722,NGC 2343,36,13.427,0.03,0.398,0.039,0.558,0.05,,,,,,,,,,,,,,,,,O,false,13.92,0.0,13.8,0.0,12.88,0.0,13.1,0.01,12.73,0.01,12.171,11.998,11.914,0.021,0.027,0.029
106.9835417,-10.5955278,NGC 2343,31,12.821,0.024,0.209,0.031,0.191,0.045,,,,,,,,,,,,,,,,,O,false,13.32,0.0,,,12.6,0.0,,,12.48,0.01,12.181,12.071,12.015,0.026,0.025,0.029
106.9850833,-10.64325,NGC 2343,72,13.709,0.027,0.477,0.035,0.546,0.047,,,,,,,,,,,,,,,,,O,false,,,,,,,13.32,0.01,12.91,0.01,12.064,11.872,11.77,0.031,0.025,0.029
