_RAJ2000,_DEJ2000,Cluster,MG,ymag,e_ymag,b-y,e_b-y,y-Ha,e_y-Ha,WHa05,WHa06,WHa07,vsini,e_vsini,Teff,e_Teff,logg,e_logg,loggP,Mass,e_Mass,Rad,e_Rad,Vc,SB?,Code,clean,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag
189.7747917,-60.5366944,Trumpler 20,153,15.469,0.028,1.022,0.045,1.124,0.074,,,,,,,,,,,,,,,,,O,true,17.81,0.02,16.2,0.01,14.32,0.0,14.7,0.0,13.83,0.0,11.409,11.486,12.712,9.217,12.458,11.776,11.601,0.024,0.024,,,0.029,0.028,0.027
189.7774167,-60.6076944,Trumpler 20,531,15.172,0.028,1.479,0.048,1.515,0.07,,,,,,,,,,,,,,,,,O,false,19.22,0.04,16.22,0.01,13.6,0.0,14.09,0.0,12.94,0.01,9.677,9.815,9.633,8.788,11.078,10.178,9.861,0.023,0.02,0.041,,0.024,0.022,0.021
189.7784583,-60.6115,Trumpler 20,557,12.291,0.012,0.797,0.021,0.943,0.062,,,,,,,,,,,,,,,,,O,false,13.96,0.0,,,,,,,,,8.964,9.048,8.955,9.286,9.949,9.319,9.163,0.021,0.019,0.029,0.481,0.024,0.022,0.021
189.7797917,-60.5452222,Trumpler 20,184,13.315,0.015,1.027,0.026,1.146,0.063,,,,,,,,,,,,,,,,,O,false,16.16,0.01,14.1,0.0,12.17,0.0,12.54,0.0,,,9.317,9.448,9.287,8.85,10.39,9.671,9.454,0.023,0.021,0.033,0.346,0.024,0.024,0.021
189.7830417,-60.5327778,Trumpler 20,140,15.898,0.035,1.526,0.06,1.584,0.076,,,,,,,,,,,,,,,,,O,false,20.02,0.07,16.89,0.01,14.29,0.01,14.78,0.0,13.59,0.01,10.213,10.362,10.646,9.178,11.671,10.74,10.41,0.023,0.021,0.088,,0.024,0.024,0.021
189.7835417,-60.6681111,Trumpler 20,924,15.962,0.033,0.654,0.047,0.743,0.082,,,,,,,,,,,,,,,,,O,true,16.89,0.01,16.48,0.0,15.2,0.01,15.52,0.0,14.89,0.01,13.514,13.65,12.559,8.751,14.081,13.675,13.568,0.038,0.042,,,0.024,0.022,0.041
189.7938333,-60.4989444,Trumpler 20,31,13.207,0.015,0.89,0.025,1.016,0.063,,,,,,,,,,,,,,,,,O,false,15.42,0.01,13.89,0.0,12.18,0.01,12.52,0.0,,,9.627,9.729,9.586,9.154,10.659,10.01,9.807,0.023,0.02,0.043,0.437,0.032,0.032,0.027
189.7939583,-60.5196111,Trumpler 20,94,14.519,0.018,0.474,0.027,0.582,0.067,,,,,,,,,,,,,,,,,O,false,15.18,0.0,14.89,0.0,13.92,0.01,14.11,0.0,13.64,0.01,12.643,12.722,12.149,8.996,13.108,12.856,12.734,0.029,0.03,,,0.03,0.032,0.03
189.7965,-60.6146389,Trumpler 20,582,15.021,0.024,0.882,0.038,1.024,0.07,,,,,,,,,,,,,,,,,O,false,17.06,0.01,15.71,0.0,13.98,0.0,14.37,0.01,13.59,0.0,11.471,11.558,10.777,8.467,12.437,11.842,11.694,0.025,0.025,0.082,,0.036,0.034,0.027
189.7970417,-60.6529444,Trumpler 20,842,16.392,0.041,1.436,0.07,1.602,0.082,,,,,,,,,,,,,,,,,O,false,,,17.59,0.01,14.83,0.01,15.32,0.0,14.07,0.01,10.516,10.716,10.363,9.281,11.972,11.086,10.739,0.023,0.021,0.061,,0.026,0.028,0.025
