col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,H_alfa,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
283,283,348.1307908,55.2565997,2.0,12.11,12.36,12.05,11.74,11.76,11.72,11.63,11.65,283.00,0.05,0.0,J231231.38+551523.6,348.1307905,55.2565822,0.0395,0.036,25.7,11.586,11.667,12.21,9.272,0.021,0.022,0.251,,0.024,0.026,0.022,3472154501351053192,0000,0,11nn,AABU,44,32,-215,31,0.049,0.063002
22,22,348.674884,56.380257,2.0,13.68,12.03,12.03,11.64,11.62,11.34,11.35,11.31,22.00,0.16,0.0,J231441.97+562248.8,348.6748775,56.3802405,0.0386,0.0354,27.9,11.306,11.338,11.351,8.715,0.022,0.021,0.113,,0.023,0.032,0.021,3493156001351042253,0000,0,11nn,AABU,14,32,-24,31,0.092,0.060786
52,52,349.249681,56.978031,2.0,13.96,12.92,12.6,12.19,12.09,11.66,11.58,11.55,52.00,0.12,0.0,J231659.91+565840.8,349.2496564,56.9780247,0.0395,0.0373,34.0,11.504,11.537,11.434,9.447,0.023,0.022,0.143,,0.021,0.018,0.017,3489157501351002923,0h00,0,11nn,AABU,47,34,29,34,0.028,0.053224
58,58,350.164001,57.375411,2.0,13.74,13.17,12.58,12.22,12.08,11.44,11.34,11.22,58.00,0.08,0.0,J232039.35+572231.5,350.1639822,57.3754215,0.0683,0.0499,38.3,11.196,11.184,11.813,9.104,0.035,0.031,0.211,,0.022,0.021,0.023,3489157501351023232,hh00,0,nnnn,AABU,,,,,0.035,0.052664
890,892,24.457342,57.743389,2.0,14.63,14.55,14.23,14.09,13.95,13.56,13.45,13.32,890.00,0.0,0.0,J013749.76+574436.1,24.4573623,57.7433874,0.0495,0.0481,32.4,13.368,13.409,12.742,9.128,0.025,0.031,,,0.026,0.037,0.033,249157501351042203,0000,0,nnnn,AAUU,-52,59,-49,59,0.006,0.039415
882,884,24.600948,57.619161,2.0,15.13,15.1,14.06,13.9,13.68,13.12,13.0,12.91,882.00,0.0,0.0,J013824.23+573709.1,24.6009748,57.6192033,0.0449,0.043,13.2,12.817,12.872,11.971,9.012,0.023,0.026,,,0.026,0.035,0.03,249157501351034132,0000,0,01nn,AAUU,-11,48,54,48,0.051,0.160905
1025,1027,25.334876,58.16046,2.0,14.93,15.35,14.05,13.93,13.78,13.37,13.31,13.22,1.025.00,0.01,0.0,J014120.37+580937.5,25.3348882,58.1604435,0.0485,0.046,3.0,13.125,13.165,12.191,9.07,0.024,0.029,0.306,0.509,0.028,0.037,0.037,249157501351055725,0000,0,00nn,AABC,0,69,0,70,0.152,0.063824
941,943,25.510498,57.37393,2.0,14.52,14.52,14.19,14.01,13.89,13.42,13.29,13.27,941.00,0.0,0.0,J014202.52+572226.1,25.5105307,57.3739227,0.0508,0.0488,8.4,13.259,13.247,12.005,8.415,0.025,0.03,,,0.029,0.03,0.031,249157501351021369,0000,0,11nn,AAUU,-109,73,15,73,0.09,0.068705
2,2,26.667505,57.454694,2.0,14.24,14.18,13.97,13.85,13.76,13.48,13.35,13.37,2.00,0.0,0.0,J014640.25+572716.9,26.6677108,57.4547218,0.0493,0.0468,16.2,13.123,13.119,12.544,9.17,0.024,0.029,,,0.035,0.038,0.034,276157501351036706,hh00,1,11nn,AAUU,21,65,51,64,0.424,0.410913
35,35,26.732486,57.645867,2.0,14.6,15.1,13.9,13.77,13.62,13.19,13.12,13.06,35.00,0.01,0.0,J014655.79+573845.0,26.732461,57.6458522,0.0482,0.0459,32.2,13.006,13.009,12.782,8.865,0.025,0.026,,,0.027,0.03,0.03,276157501351036619,0000,0,11nn,AAUU,-23,62,-16,62,0.051,0.071832
457,458,54.895007,49.344971,2.0,14.34,14.16,13.6,13.43,13.24,12.82,12.7,12.67,457.00,0.0,0.0,J033934.80+492041.9,54.8950384,49.3449758,0.0445,0.0428,19.6,12.521,12.527,12.512,8.527,0.023,0.026,0.538,,0.027,0.036,0.028,557149901351010767,0000,0,00nn,AACU,72,56,84,57,0.228,0.075593
271,271,55.0748733,49.3589739,2.0,13.65,12.97,12.91,12.62,12.63,12.27,12.01,11.91,271.00,0.66,1.0,J034017.97+492132.2,55.0749063,49.3589618,0.041,0.0387,178.6,11.738,11.65,11.328,9.299,0.023,0.022,0.144,,0.024,0.03,0.023,557149901351008141,0000,0,44nn,AABU,-9,45,82,45,0.074,0.088859
912,914,55.173518,49.399194,2.0,14.57,14.37,13.65,13.47,13.35,13.09,12.95,12.89,912.00,0.01,0.0,J034041.64+492357.1,55.1735044,49.3991989,0.0462,0.0439,175.6,12.733,12.776,12.281,8.883,0.024,0.025,,,0.042,0.039,0.04,557149901351008237,0000,0,76nn,AAUU,-11,62,25,62,0.24,0.036499
56,56,55.221471,49.562266,2.0,13.77,13.83,12.79,12.6,12.44,11.94,11.87,11.77,56.00,0.0,0.0,J034053.16+493343.9,55.2215296,49.5621986,0.04,0.0378,20.7,11.646,11.653,11.354,8.605,0.023,0.022,0.186,,0.025,0.034,0.025,557149901351015945,0000,0,00nn,AABU,55,44,5,46,0.374,0.278632
286,286,55.2252997,49.8490241,2.0,13.16,14.83,12.33,12.12,12.07,11.74,11.64,11.65,286.00,0.01,0.0,J034054.06+495056.3,55.2252697,49.8489913,0.0404,0.0368,4.1,11.589,11.605,11.927,8.81,0.022,0.022,0.295,,0.021,0.03,0.03,557149901351033722,0000,0,11nn,AABU,-75,46,81,45,0.106,0.137193
442,443,55.296208,48.991641,2.0,14.47,14.61,13.39,13.22,13.1,12.64,12.51,12.46,442.00,0.0,1.0,J034111.07+485929.8,55.2961658,48.9916384,0.0433,0.0414,13.3,12.413,12.401,12.266,8.731,0.024,0.024,0.394,,0.024,0.031,0.031,562148401351062570,dd00,0,00nn,AACU,52,55,-17,58,0.083,0.10006
