col1,Unnamed:,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,model_prob,H_alfa,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,W1mag,W2mag,u-g,u-r,u-i,g-r,g-i,r-Ha,r-i,J-H,J-K,H-K,W1-W2
0,0,87.102499,22.314185,2.0,0.0,0.0,15.47,15.23,14.77,14.6,14.41,13.85,13.66,13.57,13.427,13.389,0.24,0.7,1.06,0.46,0.82,0.17,0.36,0.19,0.28,0.09,0.038
1,1,102.1820219,12.2026156,2.0,0.08,0.0,13.52,12.45,12.34,12.09,12.03,11.68,11.62,11.61,11.552,11.577,1.07,1.18,1.49,0.11,0.42,0.25,0.31,0.06,0.07,0.01,-0.025
2,2,26.667505,57.454694,2.0,0.0,0.0,14.24,14.18,13.97,13.85,13.76,13.48,13.35,13.37,13.123,13.119,0.06,0.27,0.48,0.21,0.42,0.12,0.21,0.13,0.11,-0.02,0.004
3,3,62.60206,53.148968,2.0,0.03,0.0,13.44,12.65,12.28,11.77,11.67,11.11,10.98,10.92,10.849,10.859,0.79,1.16,1.77,0.37,0.98,0.51,0.61,0.13,0.19,0.06,-0.01
6,6,62.0139028,52.9680244,2.0,0.01,0.0,14.2,14.39,12.96,12.77,12.6,12.05,11.84,11.78,11.659,11.676,-0.19,1.24,1.6,1.43,1.79,0.19,0.36,0.21,0.27,0.06,-0.017
8,8,87.213088,22.023062,2.0,0.01,0.0,14.95,15.1,14.58,14.39,14.3,13.9,13.82,13.77,13.622,13.572,-0.15,0.37,0.65,0.52,0.8,0.19,0.28,0.08,0.13,0.05,0.05
10,10,93.885612,23.662258,2.0,0.06,0.0,14.09,14.69,12.65,12.06,11.94,11.38,11.25,11.18,11.094,11.107,-0.6,1.44,2.15,2.04,2.75,0.59,0.71,0.13,0.2,0.07,-0.013
12,12,63.7542,55.8334056,2.0,0.0,0.0,14.34,14.16,13.59,13.39,13.22,12.7,12.62,12.54,12.404,12.437,0.18,0.75,1.12,0.57,0.94,0.2,0.37,0.08,0.16,0.08,-0.033
13,13,62.3034694,52.6163744,2.0,0.0,0.0,13.84,14.85,12.73,12.36,12.24,11.82,11.71,11.69,11.614,11.612,-1.01,1.11,1.6,2.12,2.61,0.37,0.49,0.11,0.13,0.02,0.002
17,17,68.3814214,55.4336192,2.0,0.05,0.0,14.44,13.36,12.54,11.98,11.72,10.79,10.59,10.42,10.322,10.314,1.08,1.9,2.72,0.82,1.64,0.56,0.82,0.2,0.37,0.17,0.008
18,18,87.356399,31.177794,2.0,0.0,0.0,14.45,14.45,14.17,14.07,13.9,13.57,13.47,13.39,13.352,13.367,0.0,0.28,0.55,0.28,0.55,0.1,0.27,0.1,0.18,0.08,-0.015
19,19,93.26622,24.248615,2.0,0.13,0.0,13.95,12.85,12.57,12.26,12.21,11.75,11.69,11.62,11.559,11.581,1.1,1.38,1.74,0.28,0.64,0.31,0.36,0.06,0.13,0.07,-0.022
22,22,348.674884,56.380257,2.0,0.16,0.0,13.68,12.03,12.03,11.64,11.62,11.34,11.35,11.31,11.306,11.338,1.65,1.65,2.06,0.0,0.41,0.39,0.41,-0.01,0.03,0.04,-0.032
33,33,327.005475,47.567911,2.0,0.0,0.0,15.98,15.38,14.29,13.99,13.53,12.56,12.33,12.2,12.028,12.064,0.6,1.69,2.45,1.09,1.85,0.3,0.76,0.23,0.36,0.13,-0.036
34,34,61.590801,54.393031,2.0,0.01,0.0,13.72,13.08,12.57,12.05,11.82,11.21,11.09,10.98,10.902,10.928,0.64,1.15,1.9,0.51,1.26,0.52,0.75,0.12,0.23,0.11,-0.026
35,35,26.732486,57.645867,2.0,0.01,0.0,14.6,15.1,13.9,13.77,13.62,13.19,13.12,13.06,13.006,13.009,-0.5,0.7,0.98,1.2,1.48,0.13,0.28,0.07,0.13,0.06,-0.003
43,43,83.807799,30.449326,2.0,0.0,0.0,15.19,15.34,14.21,13.99,13.72,13.07,12.89,12.76,12.73,12.769,-0.15,0.98,1.47,1.13,1.62,0.22,0.49,0.18,0.31,0.13,-0.039
45,45,87.281327,21.780783,2.0,0.02,0.0,14.24,14.71,13.16,12.93,12.8,12.39,12.32,12.25,12.24,12.276,-0.47,1.08,1.44,1.55,1.91,0.23,0.36,0.07,0.14,0.07,-0.036
48,48,102.7484,11.02936,2.0,0.04,0.0,14.07,14.24,14.06,13.95,14.0,13.75,13.73,13.72,13.726,13.751,-0.17,0.01,0.07,0.18,0.24,0.11,0.06,0.02,0.03,0.01,-0.025
50,50,92.9310369,24.1637125,2.0,0.1,0.0,14.38,14.4,13.73,13.55,13.48,13.05,12.95,12.9,12.865,12.867,-0.02,0.65,0.9,0.67,0.92,0.18,0.25,0.1,0.15,0.05,-0.002
51,51,62.934165,52.989403,2.0,0.19,0.0,14.73,14.54,13.8,13.55,13.43,12.73,12.55,12.43,12.394,12.443,0.19,0.93,1.3,0.74,1.11,0.25,0.37,0.18,0.3,0.12,-0.049
52,52,349.249681,56.978031,2.0,0.12,0.0,13.96,12.92,12.6,12.19,12.09,11.66,11.58,11.55,11.504,11.537,1.04,1.36,1.87,0.32,0.83,0.41,0.51,0.08,0.11,0.03,-0.033
53,53,92.07514,22.443044,2.0,0.73,1.0,15.28,14.73,13.86,13.5,13.21,12.06,11.56,11.35,11.166,11.048,0.55,1.42,2.07,0.87,1.52,0.36,0.65,0.5,0.71,0.21,0.118
54,54,86.933859,20.232323,2.0,0.07,0.0,14.24,13.19,12.78,12.44,12.32,11.98,11.81,11.79,11.715,11.736,1.05,1.46,1.92,0.41,0.87,0.34,0.46,0.17,0.19,0.02,-0.021
55,55,86.7405514,21.0942875,2.0,0.0,0.0,14.03,14.09,13.65,13.44,13.32,12.95,12.81,12.76,12.695,12.734,-0.06,0.38,0.71,0.44,0.77,0.21,0.33,0.14,0.19,0.05,-0.039
56,56,55.221471,49.562266,2.0,0.0,0.0,13.77,13.83,12.79,12.6,12.44,11.94,11.87,11.77,11.646,11.653,-0.06,0.98,1.33,1.04,1.39,0.19,0.35,0.07,0.17,0.1,-0.007
58,58,350.164001,57.375411,2.0,0.08,0.0,13.74,13.17,12.58,12.22,12.08,11.44,11.34,11.22,11.196,11.184,0.57,1.16,1.66,0.59,1.09,0.36,0.5,0.1,0.22,0.12,0.012
61,61,101.8337936,9.8692697,2.0,0.22,0.0,13.78,12.4,12.06,11.56,11.57,11.31,11.23,11.22,11.204,11.234,1.38,1.72,2.21,0.34,0.83,0.5,0.49,0.08,0.09,0.01,-0.03
63,63,62.6371456,53.2695142,2.0,0.01,0.0,14.58,14.31,13.28,13.0,12.75,11.9,11.66,11.58,11.484,11.494,0.27,1.3,1.83,1.03,1.56,0.28,0.53,0.24,0.32,0.08,-0.01
