VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,goodOB,EM,SUB,LUM,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag
8,151.434351,-57.400807,15.0,14.887,13.802,13.807,13.105,13.529,12.04,11.674,11.478,4.296,3.794,3.721,11.95,3.52,1,0,0,0,11.24,11.249,7.492,6.326,0.026,0.027,0.031,0.089
9,152.450956,-56.706351,20.634,18.906,16.35,16.361,14.889,15.928,12.405,11.696,11.343,4.317,7.655,3.356,11.6,5.04,1,0,0,1,11.146,11.091,11.068,8.661,0.024,0.023,,
10,152.383993,-56.782603,21.15,19.893,17.621,17.636,16.329,17.234,14.263,13.576,13.247,4.464,6.986,3.373,14.99,3.38,1,0,0,0,12.961,12.858,9.039,6.121,0.036,0.038,0.126,0.113
16,151.684472,-57.42752,13.85,13.872,12.901,12.903,12.349,12.653,11.463,11.225,11.076,4.306,3.196,3.476,11.7,0.26,1,0,0,1,11.017,11.024,10.831,7.916,0.024,0.023,,
17,151.800381,-57.342498,12.876,13.25,12.661,12.653,12.276,12.462,11.735,11.598,11.514,4.311,2.274,3.614,12.26,1.32,1,0,0,0,11.468,11.521,10.984,8.948,0.024,0.025,,
19,152.787124,-56.605924,19.762,18.752,16.703,16.705,15.437,16.303,13.272,12.643,12.312,4.373,6.805,3.647,13.12,6.14,1,0,0,0,11.937,11.877,10.848,8.634,0.026,0.026,,
22,151.71809,-57.441604,14.56,14.639,13.697,13.707,13.15,13.478,12.33,12.063,11.957,4.325,3.136,3.456,12.73,0.93,1,0,0,0,11.611,11.695,12.049,7.074,0.025,0.026,,0.187
34,152.128612,-57.270224,20.006,18.795,16.547,16.542,15.262,16.129,12.994,12.404,12.027,4.362,7.011,3.486,12.74,3.12,1,0,0,0,11.787,11.63,7.599,3.936,0.033,0.031,0.047,0.114
36,152.188854,-57.230152,19.931,18.143,15.261,15.275,13.63,14.75,10.746,9.936,9.459,4.457,8.973,3.476,10.91,1.65,1,0,0,1,9.066,8.938,7.613,4.826,0.022,0.021,0.089,0.291
37,151.629353,-57.651919,13.902,14.009,13.076,13.046,12.526,12.783,11.569,11.314,11.187,4.328,3.331,3.71,11.95,1.26,1,0,0,0,11.005,11.017,10.816,9.108,0.023,0.022,,
39,152.082659,-57.346029,19.702,18.327,15.907,15.909,14.456,15.464,11.945,11.197,10.82,4.423,7.879,3.583,12.01,5.71,1,0,0,1,10.517,10.429,7.512,4.164,0.026,0.026,0.06,0.087
41,152.947634,-56.683829,14.458,14.196,12.884,12.878,12.072,12.549,10.859,10.6,10.426,4.389,4.215,3.288,11.68,6.8,1,0,0,1,10.218,10.141,7.973,3.715,0.022,0.021,0.026,0.023
