VPHAS-OB1,RAJ2000,DEJ2000,Rv,goodOB,EM,SUB,LUM,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,W1mag,W2mag,u-g,u-r,u-i,g-r,g-i,r-Ha,r-i,J-H,J-K,H-K,W1-W2
8,151.434351,-57.400807,3.721,1,0,0,0,15.0,14.887,13.802,13.529,13.105,12.04,11.674,11.478,11.24,11.249,0.113,1.198,1.895,1.085,1.782,0.273,0.697,0.366,0.562,0.196,-0.009
9,152.450956,-56.706351,3.356,1,0,0,1,20.634,18.906,16.35,15.928,14.889,12.405,11.696,11.343,11.146,11.091,1.728,4.284,5.745,2.556,4.017,0.422,1.461,0.709,1.062,0.353,0.055
10,152.383993,-56.782603,3.373,1,0,0,0,21.15,19.893,17.621,17.234,16.329,14.263,13.576,13.247,12.961,12.858,1.257,3.529,4.821,2.272,3.564,0.387,1.292,0.687,1.016,0.329,0.103
16,151.684472,-57.42752,3.476,1,0,0,1,13.85,13.872,12.901,12.653,12.349,11.463,11.225,11.076,11.017,11.024,-0.022,0.949,1.501,0.971,1.523,0.248,0.552,0.238,0.387,0.149,-0.007
17,151.800381,-57.342498,3.614,1,0,0,0,12.876,13.25,12.661,12.462,12.276,11.735,11.598,11.514,11.468,11.521,-0.374,0.215,0.6,0.589,0.974,0.199,0.385,0.137,0.221,0.084,-0.053
19,152.787124,-56.605924,3.647,1,0,0,0,19.762,18.752,16.703,16.303,15.437,13.272,12.643,12.312,11.937,11.877,1.01,3.059,4.325,2.049,3.315,0.4,1.266,0.629,0.96,0.331,0.06
22,151.71809,-57.441604,3.456,1,0,0,0,14.56,14.639,13.697,13.478,13.15,12.33,12.063,11.957,11.611,11.695,-0.079,0.863,1.41,0.942,1.489,0.219,0.547,0.267,0.373,0.106,-0.084
34,152.128612,-57.270224,3.486,1,0,0,0,20.006,18.795,16.547,16.129,15.262,12.994,12.404,12.027,11.787,11.63,1.211,3.459,4.744,2.248,3.533,0.418,1.285,0.59,0.967,0.377,0.157
36,152.188854,-57.230152,3.476,1,0,0,1,19.931,18.143,15.261,14.75,13.63,10.746,9.936,9.459,9.066,8.938,1.788,4.67,6.301,2.882,4.513,0.511,1.631,0.81,1.287,0.477,0.128
37,151.629353,-57.651919,3.71,1,0,0,0,13.902,14.009,13.076,12.783,12.526,11.569,11.314,11.187,11.005,11.017,-0.107,0.826,1.376,0.933,1.483,0.293,0.55,0.255,0.382,0.127,-0.012
39,152.082659,-57.346029,3.583,1,0,0,1,19.702,18.327,15.907,15.464,14.456,11.945,11.197,10.82,10.517,10.429,1.375,3.795,5.246,2.42,3.871,0.443,1.451,0.748,1.125,0.377,0.088
41,152.947634,-56.683829,3.288,1,0,0,1,14.458,14.196,12.884,12.549,12.072,10.859,10.6,10.426,10.218,10.141,0.262,1.574,2.386,1.312,2.124,0.335,0.812,0.259,0.433,0.174,0.077
45,152.17626,-57.306947,3.493,1,0,0,1,19.76,18.341,15.857,15.421,14.423,11.938,11.172,10.841,10.621,10.569,1.419,3.903,5.337,2.484,3.918,0.436,1.434,0.766,1.097,0.331,0.052
46,152.228729,-57.276443,3.515,1,0,0,1,17.129,15.965,13.61,13.113,12.248,9.942,9.267,8.845,8.545,8.423,1.164,3.519,4.881,2.355,3.717,0.497,1.362,0.675,1.097,0.422,0.122
48,152.235614,-57.276102,3.5,1,0,0,1,18.074,16.93,14.57,14.125,13.22,10.858,10.174,9.857,9.587,9.485,1.144,3.504,4.854,2.36,3.71,0.445,1.35,0.684,1.001,0.317,0.102
49,152.241679,-57.27591,3.512,1,0,0,1,18.141,16.995,14.678,14.233,13.354,11.061,10.394,10.024,9.723,9.632,1.146,3.463,4.787,2.317,3.641,0.445,1.324,0.667,1.037,0.37,0.091
50,152.24284,-57.278397,3.691,1,0,0,0,18.725,17.785,15.63,15.204,14.351,12.055,11.424,11.054,10.348,10.319,0.94,3.095,4.374,2.155,3.434,0.426,1.279,0.631,1.001,0.37,0.029
57,152.434632,-57.189686,3.461,1,0,0,0,20.691,19.632,17.59,17.224,16.416,14.451,13.87,13.541,13.34,13.437,1.059,3.101,4.275,2.042,3.216,0.366,1.174,0.581,0.91,0.329,-0.097
61,152.767317,-56.976748,3.444,1,0,0,1,19.527,18.211,15.869,15.443,14.479,12.175,11.509,11.157,10.779,10.765,1.316,3.658,5.048,2.342,3.732,0.426,1.39,0.666,1.018,0.352,0.014
63,152.490571,-57.194279,3.395,1,0,0,1,19.096,17.796,15.308,14.894,13.892,11.52,10.846,10.459,10.203,10.144,1.3,3.788,5.204,2.488,3.904,0.414,1.416,0.674,1.061,0.387,0.059
68,151.952639,-57.62927,4.025,1,1,0,0,20.99,19.571,17.088,16.215,15.603,12.746,11.892,11.261,10.743,10.373,1.419,3.902,5.387,2.483,3.968,0.873,1.485,0.854,1.485,0.631,0.37
71,152.297933,-57.375235,3.544,1,0,0,0,19.755,18.543,16.2,15.786,14.827,12.431,11.777,11.379,11.221,11.152,1.212,3.555,4.928,2.343,3.716,0.414,1.373,0.654,1.052,0.398,0.069
72,152.068957,-57.55002,3.455,1,0,0,1,17.63,16.641,14.633,14.24,13.513,11.595,10.983,10.718,10.388,10.377,0.989,2.997,4.117,2.008,3.128,0.393,1.12,0.612,0.877,0.265,0.011
75,151.513362,-57.966408,3.486,1,0,0,0,13.323,13.644,12.951,12.732,12.55,11.92,11.753,11.73,11.682,11.82,-0.321,0.372,0.773,0.693,1.094,0.219,0.401,0.167,0.19,0.023,-0.138
76,151.547991,-57.941273,3.492,1,0,0,0,18.818,17.903,15.995,15.609,14.89,12.964,12.429,12.182,12.003,12.088,0.915,2.823,3.928,1.908,3.013,0.386,1.105,0.535,0.782,0.247,-0.085
85,152.448798,-57.33116,3.525,1,0,0,1,17.23,15.975,13.523,13.031,12.1,9.67,8.93,8.536,8.222,8.076,1.255,3.707,5.13,2.452,3.875,0.492,1.423,0.74,1.134,0.394,0.146
94,151.5347,-58.073888,3.568,1,0,0,1,15.784,15.36,13.738,13.355,12.802,11.142,10.788,10.468,10.337,10.314,0.424,2.046,2.982,1.622,2.558,0.383,0.936,0.354,0.674,0.32,0.023
98,152.067236,-57.689588,3.576,1,0,0,1,19.507,17.831,15.192,14.714,13.665,10.926,10.098,9.693,9.409,9.313,1.676,4.315,5.842,2.639,4.166,0.478,1.527,0.828,1.233,0.405,0.096
99,151.627249,-58.019875,3.647,1,0,0,0,20.729,19.711,17.715,17.33,16.583,14.465,13.881,13.6,13.216,13.327,1.018,3.014,4.146,1.996,3.128,0.385,1.132,0.584,0.865,0.281,-0.111
100,153.09436,-56.915779,3.761,1,0,0,0,19.706,18.899,16.894,16.488,15.759,13.638,12.992,12.65,12.401,12.41,0.807,2.812,3.947,2.005,3.14,0.406,1.135,0.646,0.988,0.342,-0.009
111,153.641581,-56.530187,3.355,1,0,0,1,13.365,13.435,12.413,12.156,11.876,10.944,10.763,10.642,10.545,10.561,-0.07,0.952,1.489,1.022,1.559,0.257,0.537,0.181,0.302,0.121,-0.016
114,152.949997,-57.093217,3.378,1,0,0,0,18.026,17.343,15.585,15.174,14.52,12.871,12.379,12.159,12.103,12.225,0.683,2.441,3.506,1.758,2.823,0.411,1.065,0.492,0.712,0.22,-0.122
125,152.315828,-57.633082,3.502,1,0,0,0,21.075,19.693,17.314,16.86,15.973,13.546,12.873,12.551,12.099,12.044,1.382,3.761,5.102,2.379,3.72,0.454,1.341,0.673,0.995,0.322,0.055
132,153.088199,-57.10978,3.549,1,0,0,0,18.139,17.189,15.092,14.676,13.853,11.711,11.102,10.802,10.507,10.471,0.95,3.047,4.286,2.097,3.336,0.416,1.239,0.609,0.909,0.3,0.036
135,153.211798,-57.036171,3.592,1,0,0,0,18.115,17.403,15.7,15.335,14.688,12.918,12.445,12.176,12.068,12.115,0.712,2.415,3.427,1.703,2.715,0.365,1.012,0.473,0.742,0.269,-0.047
143,153.259883,-57.020519,3.667,1,0,0,1,13.657,13.559,12.466,12.161,11.836,10.714,10.429,10.251,10.116,10.086,0.098,1.191,1.821,1.093,1.723,0.305,0.63,0.285,0.463,0.178,0.03
146,152.547535,-57.578092,3.769,1,0,0,0,15.751,15.6,14.376,14.091,13.647,12.37,12.007,11.788,11.776,11.87,0.151,1.375,2.104,1.224,1.953,0.285,0.729,0.363,0.582,0.219,-0.094
150,152.692895,-57.474232,3.654,1,0,0,0,13.044,13.347,12.485,12.223,11.95,11.131,10.881,10.789,10.691,10.758,-0.303,0.559,1.094,0.862,1.397,0.262,0.535,0.25,0.342,0.092,-0.067
151,152.924193,-57.296353,3.834,1,0,0,0,20.523,19.113,16.474,16.015,14.901,11.949,11.05,10.603,10.312,10.203,1.41,4.049,5.622,2.639,4.212,0.459,1.573,0.899,1.346,0.447,0.109
153,153.053679,-57.199327,3.749,1,0,0,1,19.373,18.046,15.677,15.263,14.28,11.673,10.928,10.516,10.239,10.172,1.327,3.696,5.093,2.369,3.766,0.414,1.397,0.745,1.157,0.412,0.067
156,152.384894,-57.719477,3.691,1,0,0,1,13.721,13.762,12.652,12.351,11.982,10.826,10.542,10.373,10.194,10.2,-0.041,1.069,1.739,1.11,1.78,0.301,0.67,0.284,0.453,0.169,-0.006
157,153.389629,-56.957887,3.698,1,0,0,1,17.728,16.367,13.978,13.478,12.543,10.023,9.224,8.802,8.542,8.418,1.361,3.75,5.185,2.389,3.824,0.5,1.435,0.799,1.221,0.422,0.124
161,152.560034,-57.633054,3.941,1,0,0,0,21.207,19.847,17.423,16.954,16.088,13.453,12.442,12.081,11.607,11.614,1.36,3.784,5.119,2.424,3.759,0.469,1.335,1.011,1.372,0.361,-0.007
163,151.925824,-58.109959,3.409,1,0,0,1,16.405,15.521,13.586,13.184,12.517,10.684,10.146,9.879,9.602,9.613,0.884,2.819,3.888,1.935,3.004,0.402,1.069,0.538,0.805,0.267,-0.011
167,153.315795,-57.077087,3.738,1,0,0,1,20.44,18.606,15.728,15.224,14.032,10.888,9.968,9.43,9.059,8.901,1.834,4.712,6.408,2.878,4.574,0.504,1.696,0.92,1.458,0.538,0.158
169,153.192687,-57.176815,3.535,1,0,0,0,18.943,17.959,15.905,15.504,14.691,12.575,12.008,11.706,11.534,11.507,0.984,3.038,4.252,2.054,3.268,0.401,1.214,0.567,0.869,0.302,0.027
175,152.342042,-57.872056,3.535,1,0,0,0,21.237,19.676,17.182,16.732,15.762,13.176,12.459,12.102,11.828,11.846,1.561,4.055,5.475,2.494,3.914,0.45,1.42,0.717,1.074,0.357,-0.018
176,153.353074,-57.094644,3.624,1,0,0,1,15.704,14.967,13.022,12.578,11.924,9.962,9.381,9.06,8.725,8.615,0.737,2.682,3.78,1.945,3.043,0.444,1.098,0.581,0.902,0.321,0.11
191,152.181901,-58.080999,3.425,1,0,0,0,16.456,15.973,14.35,13.971,13.415,11.866,11.427,11.249,11.093,11.108,0.483,2.106,3.041,1.623,2.558,0.379,0.935,0.439,0.617,0.178,-0.015
192,152.610086,-57.761667,3.776,1,0,0,0,19.762,18.837,16.735,16.325,15.466,13.263,12.492,12.16,11.65,11.651,0.925,3.027,4.296,2.102,3.371,0.41,1.269,0.771,1.103,0.332,-0.001
194,153.365983,-57.187975,3.592,1,0,0,0,18.142,17.227,15.206,14.818,14.009,11.882,11.322,11.009,10.805,10.783,0.915,2.936,4.133,2.021,3.218,0.388,1.197,0.56,0.873,0.313,0.022
197,153.926509,-56.753691,3.423,1,0,0,0,19.917,19.229,17.439,17.083,16.491,14.941,14.287,14.112,13.81,14.039,0.688,2.478,3.426,1.79,2.738,0.356,0.948,0.654,0.829,0.175,-0.229
207,154.023498,-56.707249,3.225,1,0,0,0,13.385,13.586,12.79,12.548,12.27,11.612,11.456,11.4,11.262,11.296,-0.201,0.595,1.115,0.796,1.316,0.242,0.52,0.156,0.212,0.056,-0.034
209,153.489254,-57.137613,3.555,1,0,0,0,13.577,13.75,12.906,12.667,12.396,11.635,11.419,11.278,11.287,11.307,-0.173,0.671,1.181,0.844,1.354,0.239,0.51,0.216,0.357,0.141,-0.02
210,153.96234,-56.759278,3.319,1,0,0,1,14.247,14.221,13.159,12.891,12.508,11.552,11.306,11.218,11.078,11.125,0.026,1.088,1.739,1.062,1.713,0.268,0.651,0.246,0.334,0.088,-0.047
212,153.433725,-57.195809,3.638,1,0,0,0,18.039,17.105,14.96,14.545,13.687,11.442,10.782,10.459,10.285,10.27,0.934,3.079,4.352,2.145,3.418,0.415,1.273,0.66,0.983,0.323,0.015
213,154.158599,-56.619813,3.513,1,0,0,0,19.21,18.247,16.312,15.915,15.164,13.173,12.644,12.391,12.097,12.089,0.963,2.898,4.046,1.935,3.083,0.397,1.148,0.529,0.782,0.253,0.008
214,153.853686,-56.869989,3.388,1,0,0,1,17.744,16.909,15.005,14.565,13.858,12.022,11.532,11.254,10.571,10.467,0.835,2.739,3.886,1.904,3.051,0.44,1.147,0.49,0.768,0.278,0.104
215,153.556531,-57.111108,3.553,1,0,0,1,17.571,16.578,14.494,14.091,13.285,11.205,10.603,10.238,10.023,9.96,0.993,3.077,4.286,2.084,3.293,0.403,1.209,0.602,0.967,0.365,0.063
221,154.008635,-56.760399,3.467,1,0,0,1,13.657,13.586,12.498,12.219,11.893,10.852,10.593,10.467,10.36,10.36,0.071,1.159,1.764,1.088,1.693,0.279,0.605,0.259,0.385,0.126,0.0
228,153.8078,-56.972087,3.583,1,0,0,0,20.71,19.477,17.281,16.787,15.993,13.798,13.1,12.719,12.554,12.53,1.233,3.429,4.717,2.196,3.484,0.494,1.288,0.698,1.079,0.381,0.024
231,153.735127,-57.037964,3.423,1,0,0,1,18.934,17.65,15.285,14.944,13.905,11.597,10.928,10.596,10.36,10.311,1.284,3.649,5.029,2.365,3.745,0.341,1.38,0.669,1.001,0.332,0.049
240,153.481891,-57.296756,3.679,1,0,0,1,20.992,19.178,16.385,15.94,14.752,11.746,10.85,10.373,10.114,10.004,1.814,4.607,6.24,2.793,4.426,0.445,1.633,0.896,1.373,0.477,0.11
242,153.084757,-57.609251,3.748,1,0,0,0,18.629,18.003,16.248,15.884,15.258,13.361,12.863,12.565,12.209,12.624,0.626,2.381,3.371,1.755,2.745,0.364,0.99,0.498,0.796,0.298,-0.415
243,153.800287,-57.045743,3.708,1,0,0,1,15.946,15.211,13.274,12.932,12.152,10.072,9.528,9.193,8.797,8.741,0.735,2.672,3.794,1.937,3.059,0.342,1.122,0.544,0.879,0.335,0.056
250,153.803853,-57.069068,3.476,1,0,0,0,20.142,18.956,16.833,16.449,15.603,13.491,12.888,12.569,12.279,12.269,1.186,3.309,4.539,2.123,3.353,0.384,1.23,0.603,0.922,0.319,0.01
251,153.723707,-57.134502,3.652,1,0,0,1,20.336,18.968,16.543,16.115,15.125,12.577,11.824,11.404,11.102,11.06,1.368,3.793,5.211,2.425,3.843,0.428,1.418,0.753,1.173,0.42,0.042
252,152.333012,-58.207384,3.606,1,0,0,1,19.354,17.836,15.343,14.875,13.932,11.364,10.584,10.167,9.851,9.739,1.518,4.011,5.422,2.493,3.904,0.468,1.411,0.78,1.197,0.417,0.112
