,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,em,RA,B-TS2,W1mag,DEC,BeC1,Type,objtype,BeC,class,EM2,ID,W2mag,Be_EM2,BeC2,SpT,Ref,B-TS1,GroupSize,EM1,GroupID,EMobj,obsid,subclass,PStar,B-TS
0,18.75,16.18,14.15,12.81,13.63,10.234,9.059,8.12,0,313.019375,,6.482,44.6251194444444,0,Be,,0,,0,V1493 Cyg,5.646,0,0,A2Ve,BeSS,0,,,,,,,1.0,0
1,11.45,12.1,10.96,10.47,11.07,7.534,7.381,7.288,0,45.6578333333333,,7.315,57.6127944444445,0,Be,,0,,0,HD 237056,7.306,0,0,B0.5Vpe,BeSS,1,,,,,,,1.0,1
7,11.73,12.51,11.75,10.53,10.4,9.092,8.181,7.278,0,291.494791666667,,6.574,21.2086861111111,0,Herbig,,0,,1,WW Vul,5.907,0,0,A3e,BeSS,0,2,,8,,,,1.0,0
8,11.69,12.41,10.61,10.1,10.15,8.915,8.831,8.815,0,36.437375,,8.572,57.3201388888889,0,Be,,0,,1,BD+56 612,8.491,1,0,A0e,BeSS,0,,,,,,,1.0,0
9,11.3,12.17,11.92,10.98,7.833000183105469,8.063,7.833,7.735,0,348.866333333333,,7.452,62.0790472222222,0,Be,,0,,1,V808 Cas,7.508,1,0,B0IIIpe,BeSS,1,,,,,,,1.0,1
10,1.0,12.4,10.71,10.06,10.25,7.789,7.65,7.419,0,34.28425,,7.003,56.7697472222222,0,Be,,0,,1,V358 Per,6.773,1,0,B1IIIe,BeSS,1,,,,,,,1.0,1
11,1.0,12.4,10.79,10.16,10.34,8.792,8.825,8.839,0,34.314875,,8.801,56.8980111111111,0,Be,,0,,1,HD 13900,8.829,1,0,B1IVe,BeSS,1,,,,,,,1.0,1
14,10.75,11.92,10.81,10.18,10.33,8.118,7.901,7.571,0,312.298291666667,,7.229,45.4110527777778,0,Be,,0,,1,BD+44 3594,7.018,1,0,B1Vnpe,BeSS,1,,,,,,,1.0,1
15,11.23,12.0,12.18,10.48,8.776000022888184,8.904,8.776,8.489,0,295.712166666667,,8.081,22.5627388888889,0,Be,,0,,1,HD 344800,7.746,1,0,B2Vnne,BeSS,1,,,,,,,1.0,1
17,11.8,12.59,10.84,10.35,8.418000221252441,8.612,8.418,8.23,0,337.791375,,8.443,61.6095166666667,0,Be,,0,,1,BD+60 2405,8.354,1,0,B3Vnne,BeSS,1,,,,,,,1.0,1
18,11.49,12.42,12.06,10.31,10.42,7.901,7.861,7.855,0,356.50175,,7.831,61.9910194444445,0,Be,,0,,1,HD 223044,7.882,1,0,B3e,BeSS,1,,,,,,,1.0,1
19,11.36,12.35,12.26,10.54,8.512999534606934,8.562,8.513,8.255,0,51.26375,,8.15,60.2529361111111,0,Be,,0,,1,HD 237134,7.87,1,0,B5Ve,BeSS,1,,,,,,,1.0,1
21,11.51,12.21,12.0,10.38,10.44,8.638,8.546,8.406,0,359.392083333333,,8.164,66.4316222222222,0,Be,,0,,1,BD+65 1970,7.985,1,0,B5e,BeSS,1,,,,,,,1.0,1
