,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,em,RA,B-TS2,W1mag,DEC,BeC1,Type,objtype,BeC,class,EM2,ID,W2mag,Be_EM2,BeC2,SpT,Ref,B-TS1,GroupSize,EM1,GroupID,EMobj,obsid,subclass,PStar,B-TS
1,11.45,12.1,10.96,10.47,11.07,7.534,7.381,7.288,0,45.6578333333333,,7.315,57.6127944444445,0,Be,,0,,0,HD 237056,7.306,0,0,B0.5Vpe,BeSS,1,,,,,,,1.0,1
9,11.3,12.17,11.92,10.98,7.833000183105469,8.063,7.833,7.735,0,348.866333333333,,7.452,62.0790472222222,0,Be,,0,,1,V808 Cas,7.508,1,0,B0IIIpe,BeSS,1,,,,,,,1.0,1
10,1.0,12.4,10.71,10.06,10.25,7.789,7.65,7.419,0,34.28425,,7.003,56.7697472222222,0,Be,,0,,1,V358 Per,6.773,1,0,B1IIIe,BeSS,1,,,,,,,1.0,1
11,1.0,12.4,10.79,10.16,10.34,8.792,8.825,8.839,0,34.314875,,8.801,56.8980111111111,0,Be,,0,,1,HD 13900,8.829,1,0,B1IVe,BeSS,1,,,,,,,1.0,1
15,11.23,12.0,12.18,10.48,8.776000022888184,8.904,8.776,8.489,0,295.712166666667,,8.081,22.5627388888889,0,Be,,0,,1,HD 344800,7.746,1,0,B2Vnne,BeSS,1,,,,,,,1.0,1
17,11.8,12.59,10.84,10.35,8.418000221252441,8.612,8.418,8.23,0,337.791375,,8.443,61.6095166666667,0,Be,,0,,1,BD+60 2405,8.354,1,0,B3Vnne,BeSS,1,,,,,,,1.0,1
19,11.36,12.35,12.26,10.54,8.512999534606934,8.562,8.513,8.255,0,51.26375,,8.15,60.2529361111111,0,Be,,0,,1,HD 237134,7.87,1,0,B5Ve,BeSS,1,,,,,,,1.0,1
22,12.09,12.69,10.76,10.17,8.656999588012695,8.866,8.657,8.477,0,3.246875,,8.349,66.3220638888889,0,Be,,0,,1,EM* AS 2,8.164,1,0,B5e,BeSS,1,,,,,,,1.0,1
23,11.38,12.1,11.93,10.95,8.694000244140625,9.037,8.694,8.436,0,42.8762083333333,,7.896,56.9578611111111,0,Be,,0,,1,BD+56 727,7.622,1,0,B5e,BeSS,1,,,,,,,1.0,1
25,11.35,12.45,12.13,10.5,8.6850004196167,8.707,8.685,8.608,0,92.889,,8.458,14.2388805555556,0,Be,,0,,1,HD 253084,8.311,1,0,B5e,BeSS,1,,,,,,,1.0,1
29,1.0,12.28,11.12,10.72,9.220000267028809,9.296,9.22,9.076,0,34.5629583333333,,8.847,57.1711555555556,0,Be,,0,,1,BD+56 489,8.727,1,0,B5e,BeSS,1,,,,,,,1.0,1
30,1.0,12.82,12.16,10.84,9.28499984741211,9.657,9.285,8.887,0,306.009416666667,,8.121,38.6605805555556,0,Be,,0,,1,Cl* NGC 6913 SAND 151,7.788,1,0,B5e,BeSS,1,,,,,,,1.0,1
33,11.07,12.06,11.92,10.93,8.845000267028809,8.884,8.845,8.799,0,50.0049583333333,,8.095,59.8640944444445,0,Be,,0,,1,HD 237118,7.843,1,0,B6Ve,BeSS,1,,,,,,,1.0,1
36,11.35,12.38,11.94,11.07,8.659000396728516,8.751,8.659,8.602,0,343.121625,,8.557,62.6860583333333,0,Be,,0,,1,BD+61 2355,8.545,1,0,B7IVe,BeSS,1,,,,,,,1.0,1
37,11.52,12.45,12.16,10.52,7.598999977111816,7.682,7.599,7.484,0,13.064375,,7.397,60.0899472222222,0,Be,,0,,1,HD 4931,7.436,1,0,B8Ve,BeSS,1,,,,,,,1.0,1
38,11.49,12.45,10.66,10.08,8.03499984741211,8.147,8.035,7.997,0,25.0900833333333,,7.832,63.1144138888889,0,Be,,0,,1,BD+62 287,7.725,1,0,B8Ve,BeSS,1,,,,,,,1.0,1
39,1.0,12.73,12.22,11.4,11.3,10.403,10.189,9.927,0,26.58425,,10.185,61.2393305555556,0,Be,,0,,1,V980 Cas,9.988,1,0,B8e,BeSS,1,,,,,,,1.0,1
41,11.62,12.4,10.8,10.23,8.336999893188477,8.455,8.337,8.265,0,46.12725,,8.166,59.4462972222222,0,Be,,0,,1,HD 237060,8.075,1,0,B9Ve,BeSS,1,,,,,,,1.0,1
42,11.14,12.13,12.06,10.46,8.567999839782715,8.683,8.568,8.512,0,355.077375,,8.499,61.3454916666667,0,Be,,0,,1,BD+60 2600,8.473,1,0,B9Ve,BeSS,1,,,,,,,1.0,1
43,11.48,12.25,12.06,11.13,7.085000038146973,6.998,7.085,7.071,0,326.511791666667,,6.826,50.6741527777778,0,Be,,0,,1,HD 207232,6.697,1,0,B9e,BeSS,1,,,,,,,1.0,1
48,11.68,12.47,10.82,10.34,8.100000381469727,8.248,8.1,7.994,0,21.1214166666667,,7.226,60.2897861111111,0,Be,,0,,1,BD+59 246,6.961,1,0,Be,BeSS,1,,,,,,,1.0,1
51,10.97,11.73,11.62,10.22,8.701000213623047,8.778,8.701,8.496,0,330.409166666667,,8.285,50.1679555555556,0,Be,,0,,1,V2175 Cyg,7.988,1,0,Be,BeSS,1,,,,,,,1.0,1
53,12.05,12.57,11.73,10.12,7.790999889373779,8.199,7.791,7.432,0,306.792541666667,,7.123,38.9004527777778,0,Be,,0,,1,BD+38 4093,6.821,1,0,Be,BeSS,1,,,,,,,1.0,1
54,1.0,13.63,12.91,12.45,11.456000328063965,11.633,11.456,11.168,0,26.558375,,10.971,61.2288388888889,0,Be,,0,,1,V979 Cas,10.812,1,0,Be,BeSS,1,,,,,,,1.0,1
55,11.37,12.43,11.97,10.2,10.28,6.697,6.022,5.697,0,323.96525,,5.314,47.9118694444444,0,Be,,0,,1,V1427 Cyg,4.935,1,0,Bpe,BeSS,1,,,,,,,1.0,1
56,11.81,12.48,12.27,10.59,8.109999656677246,8.404,8.11,7.757,0,302.976541666667,,7.327,40.0082305555556,0,Be,,0,,1,HD 228256,7.09,1,0,Bpe,BeSS,1,,,,,,,1.0,1
