,a,b,f1
0,umag,gmag,0.5992366412213741
7,gmag,rmag,0.4891041162227603
14,rmag,Hamag,0.4770642201834862
9,gmag,Hamag,0.46568627450980393
8,gmag,imag,0.46305418719211827
11,gmag,Hmag,0.383419689119171
10,gmag,Jmag,0.3832020997375328
12,gmag,Kmag,0.3612565445026178
16,rmag,Hmag,0.32189973614775724
17,rmag,Kmag,0.30851063829787234
18,imag,Hamag,0.2780748663101605
6,umag,Kmag,0.27272727272727276
5,umag,Hmag,0.257372654155496
25,Jmag,Hmag,0.2190201729106628
13,rmag,imag,0.2165242165242165
26,Jmag,Kmag,0.2099125364431487
27,Hmag,Kmag,0.10457516339869281
1,umag,rmag,0.05863192182410423
22,Hamag,Jmag,0.0
24,Hamag,Kmag,0.0
23,Hamag,Hmag,0.0
3,umag,Hamag,0.0
21,imag,Kmag,0.0
20,imag,Hmag,0.0
19,imag,Jmag,0.0
4,umag,Jmag,0.0
2,umag,imag,0.0
15,rmag,Jmag,0.0
