,a,b,f1
433,umag_rmag_Jmag,gmag_Hamag_Jmag,0.850828729281768
1,umag_gmag_rmag,umag_gmag_Hamag,0.8505747126436781
199,umag_gmag_Jmag,rmag_Hamag_Hmag,0.8501872659176031
200,umag_gmag_Jmag,rmag_Hamag_Kmag,0.8359375
734,umag_Hamag_Jmag,gmag_Hamag_Jmag,0.8358778625954199
480,umag_rmag_Hmag,gmag_Hamag_Hmag,0.8333333333333334
93,umag_gmag_imag,rmag_Hamag_Jmag,0.8291746641074856
189,umag_gmag_Jmag,gmag_Hamag_Hmag,0.8237623762376238
813,umag_Hamag_Kmag,gmag_Hamag_Kmag,0.8221343873517787
774,umag_Hamag_Hmag,gmag_Hamag_Hmag,0.8203124999999999
377,umag_rmag_Hamag,gmag_rmag_imag,0.8152610441767069
767,umag_Hamag_Hmag,gmag_rmag_Hmag,0.8127340823970037
146,umag_gmag_Hamag,rmag_Hamag_Jmag,0.8097014925373134
112,umag_gmag_Hamag,umag_rmag_imag,0.8096192384769539
188,umag_gmag_Jmag,gmag_Hamag_Jmag,0.8076923076923077
94,umag_gmag_imag,rmag_Hamag_Hmag,0.8048289738430584
174,umag_gmag_Jmag,umag_Hamag_Hmag,0.8031809145129225
147,umag_gmag_Hamag,rmag_Hamag_Hmag,0.800804828973843
240,umag_gmag_Hmag,gmag_Hamag_Hmag,0.8
40,umag_gmag_rmag,rmag_Hamag_Hmag,0.7983870967741935
152,umag_gmag_Hamag,imag_Hamag_Jmag,0.792828685258964
159,umag_gmag_Hamag,Hamag_Jmag_Kmag,0.7919999999999999
526,umag_rmag_Kmag,gmag_Hamag_Kmag,0.7901701323251418
190,umag_gmag_Jmag,gmag_Hamag_Kmag,0.7894736842105262
270,umag_gmag_Kmag,umag_imag_Hamag,0.788
220,umag_gmag_Hmag,umag_imag_Hamag,0.7871485943775102
145,umag_gmag_Hamag,rmag_imag_Kmag,0.7862903225806452
198,umag_gmag_Jmag,rmag_Hamag_Jmag,0.7854406130268199
184,umag_gmag_Jmag,gmag_imag_Hamag,0.784
175,umag_gmag_Jmag,umag_Hamag_Kmag,0.7820773930753565
169,umag_gmag_Jmag,umag_imag_Hamag,0.7820773930753565
611,umag_imag_Jmag,gmag_Hamag_Jmag,0.7808471454880294
204,umag_gmag_Jmag,imag_Hamag_Jmag,0.7795275590551182
153,umag_gmag_Hamag,imag_Hamag_Hmag,0.7789046653144016
135,umag_gmag_Hamag,gmag_imag_Kmag,0.7789046653144016
744,umag_Hamag_Jmag,rmag_Hamag_Jmag,0.7783985102420857
727,umag_Hamag_Jmag,gmag_rmag_Jmag,0.7773722627737225
154,umag_gmag_Hamag,imag_Hamag_Kmag,0.7773279352226721
266,umag_gmag_Kmag,umag_rmag_Hamag,0.776
194,umag_gmag_Jmag,rmag_imag_Hamag,0.7744510978043911
148,umag_gmag_Hamag,rmag_Hamag_Kmag,0.7743271221532091
127,umag_gmag_Hamag,gmag_rmag_imag,0.7743271221532091
95,umag_gmag_imag,rmag_Hamag_Kmag,0.7740585774058577
131,umag_gmag_Hamag,gmag_rmag_Kmag,0.7739307535641547
125,umag_gmag_Hamag,umag_Jmag_Kmag,0.7732793522267206
111,umag_gmag_Hamag,umag_gmag_Kmag,0.7732793522267206
144,umag_gmag_Hamag,rmag_imag_Hmag,0.7730061349693252
251,umag_gmag_Hmag,rmag_Hamag_Kmag,0.7727272727272728
39,umag_gmag_rmag,rmag_Hamag_Jmag,0.7725631768953068
120,umag_gmag_Hamag,umag_imag_Kmag,0.7723577235772358
806,umag_Hamag_Kmag,gmag_rmag_Kmag,0.772313296903461
150,umag_gmag_Hamag,rmag_Jmag_Kmag,0.7717171717171717
434,umag_rmag_Jmag,gmag_Hamag_Hmag,0.7716535433070866
165,umag_gmag_Jmag,umag_rmag_Hamag,0.7714285714285715
291,umag_gmag_Kmag,gmag_Hamag_Kmag,0.7710371819960862
156,umag_gmag_Hamag,imag_Jmag_Kmag,0.7707910750507101
140,umag_gmag_Hamag,gmag_Jmag_Kmag,0.7707910750507101
116,umag_gmag_Hamag,umag_rmag_Kmag,0.7707910750507101
130,umag_gmag_Hamag,gmag_rmag_Hmag,0.7698574338085541
113,umag_gmag_Hamag,umag_rmag_Hamag,0.7692307692307693
110,umag_gmag_Hamag,umag_gmag_Hmag,0.7682926829268293
115,umag_gmag_Hamag,umag_rmag_Hmag,0.7682926829268293
83,umag_gmag_imag,gmag_Hamag_Jmag,0.7682926829268293
654,umag_imag_Hmag,gmag_Hamag_Hmag,0.7673956262425448
109,umag_gmag_Hamag,umag_gmag_Jmag,0.7673469387755101
128,umag_gmag_Hamag,gmag_rmag_Hamag,0.7672955974842768
250,umag_gmag_Hmag,rmag_Hamag_Hmag,0.767175572519084
41,umag_gmag_rmag,rmag_Hamag_Kmag,0.7670103092783505
117,umag_gmag_Hamag,umag_imag_Hamag,0.7670103092783505
134,umag_gmag_Hamag,gmag_imag_Hmag,0.7663934426229508
119,umag_gmag_Hamag,umag_imag_Hmag,0.7657841140529531
216,umag_gmag_Hmag,umag_rmag_Hamag,0.7649402390438248
68,umag_gmag_imag,umag_Hamag_Jmag,0.7648261758691206
132,umag_gmag_Hamag,gmag_imag_Hamag,0.7644628099173554
330,umag_rmag_imag,gmag_rmag_Hamag,0.7643312101910827
378,umag_rmag_Hamag,gmag_rmag_Hamag,0.7643312101910827
81,umag_gmag_imag,gmag_imag_Hmag,0.7631027253668764
564,umag_imag_Hamag,gmag_imag_Hamag,0.7627118644067796
122,umag_gmag_Hamag,umag_Hamag_Hmag,0.7625
47,umag_gmag_rmag,imag_Hamag_Kmag,0.7625
138,umag_gmag_Hamag,gmag_Hamag_Kmag,0.7625
55,umag_gmag_imag,umag_gmag_Hamag,0.7622950819672131
651,umag_imag_Hmag,gmag_imag_Hmag,0.7621052631578948
100,umag_gmag_imag,imag_Hamag_Hmag,0.7621052631578948
