,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,RAJ2000,DEJ2000,em
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,3.2584415584415614,2.2717543859649147,2.9721495327102834,10.17157894736842,10.305607476635513,10.85766355140187,4.763684210526313,4.827476635514016,5.242009345794393,0.2896261682243005,0.08849673202614368,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,93.283401,23.857319,0.0
42,13.3,15.09,12.91,11.81,11.76,10.49,10.24,10.01,-2.8186580086580078,-3.880760233918127,-3.486121495327102,-0.9480116959064315,-0.7277570093457939,1.4273831775700927,1.5431578947368423,1.647990654205607,3.2428504672897183,1.0859813084112144,0.05457516339869248,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,307.8161506,45.4200264,1.0
43,11.08,11.18,12.63,11.21,11.29,10.36,10.28,10.27,0.5841991341991349,-0.08087719298245506,-0.043971962616822374,-3.277251461988304,-2.852429906542058,-0.02981308411215247,-2.2721052631578957,-2.0699065420560765,0.02943925233644619,1.4424299065420556,0.07150326797385646,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.8407956,52.6647547,0.0
68,13.6,12.79,12.74,11.65,11.71,10.75,10.62,10.58,0.7864069264069274,0.0833333333333347,0.2599065420560762,-0.4658479532163744,-0.1411214953271025,2.0251401869158876,-0.5810526315789483,-0.4264953271028044,1.1845794392523357,1.1068224299065421,0.09601307189542635,gmag_rmag_imag,59.3023628,50.1102214,0.0
76,10.98,10.13,12.87,11.1,11.35,9.06,9.16,9.08,2.142900432900432,1.4683040935672502,1.4714018691588775,-4.042982456140349,-3.3673831775700913,0.19308411214953342,-3.764736842105261,-3.443177570093456,-0.784252336448597,1.8400934579439248,-0.16797385620915,umag_gmag_rmag | umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,59.076031,51.13302,0.0
77,14.17,12.0,12.21,11.64,11.68,11.43,11.34,11.35,2.2690909090909095,1.940526315789474,2.0070093457943923,1.2666666666666657,1.4448598130841104,2.5800934579439234,-0.5400000000000009,-0.45518691588785176,0.3897196261682231,0.5812149532710281,0.09849673202614347,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag,101.3984,10.467609,0.0
81,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,2.536060606060607,2.1959064327485387,2.271355140186917,1.6366666666666667,1.814859813084113,2.9500934579439266,-0.4700000000000007,-0.3851869158878507,0.4597196261682247,0.5812149532710286,-0.04248366013071955,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag,87.0868689,21.5004469,0.0
82,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,2.536060606060607,2.1959064327485387,2.271355140186917,1.6366666666666667,1.814859813084113,2.9500934579439266,-0.4700000000000007,-0.3851869158878507,0.4597196261682247,0.5812149532710286,-0.04248366013071955,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag,87.086859,21.500454,0.0
89,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,1.4876623376623392,0.8267251461988326,0.7577102803738334,-3.098888888888888,-2.7759813084112146,0.20738317757009217,-2.740000000000001,-2.5863084112149544,-0.3771495327102825,1.5059813084112144,0.023529411764707436,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,88.2362508,23.1526269,1.0
90,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,1.4876623376623392,0.8267251461988326,0.7577102803738334,-3.098888888888888,-2.7759813084112146,0.20738317757009217,-2.740000000000001,-2.5863084112149544,-0.3771495327102825,1.5059813084112144,0.023529411764707436,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,88.236244,23.152603,1.0
103,13.8,12.09,12.85,11.6,11.85,10.47,10.37,10.29,2.0686147186147195,1.397660818713451,1.5877570093457951,-0.5704678362573086,-0.021962616822428616,2.5130841121495338,-1.4836842105263155,-1.2226168224299063,0.675747663551402,1.3200934579439252,0.032026143790851044,umag_gmag_rmag | gmag_rmag_imag | gmag_rmag_Hamag,59.126724,51.087715,0.0
111,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,2.668614718614719,1.8701754385964922,2.1317289719626173,-0.21374269005847757,0.47112149532710434,3.4257943925233643,-1.5994736842105257,-1.2735046728971957,0.9426168224299059,1.5453271028037376,0.09503267973856212,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.23572,51.238834,0.0
112,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,2.668614718614719,1.8701754385964922,2.1317289719626173,-0.21374269005847757,0.47112149532710434,3.4257943925233643,-1.5994736842105257,-1.2735046728971957,0.9426168224299059,1.5453271028037376,0.09503267973856212,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.235759,51.238823,0.0
122,14.46,15.81,12.52,11.57,11.53,10.17,9.72,9.31,-2.9024242424242424,-4.052690058479532,-3.53,0.7844444444444469,0.9777570093457957,2.8399065420560743,2.7400000000000015,2.8320093457943933,4.210280373831775,0.938785046728971,0.10163398692810383,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,346.162464,59.036368,1.0
128,12.87,11.58,12.19,11.57,11.54,11.1,10.99,10.97,1.5778354978354967,1.2836257309941512,1.2696261682242977,-0.07415204678362486,0.04822429906542003,1.2624299065420537,-0.9689473684210516,-0.9107009345794388,-0.01228971962616928,0.6115887850467279,0.09300653594771222,gmag_rmag_imag | gmag_rmag_Hamag,92.6009792,23.9796111,0.0
129,20.28,17.36,15.13,13.79,14.61,11.66,10.64,10.33,1.8677489177489202,0.6443859649122827,1.5192990654205627,3.5200584795321626,4.644579439252336,7.51691588785047,1.4542105263157872,1.9894392523364468,4.179252336448599,1.5699065420560765,0.7566013071895417,umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,100.55307,9.502543,0.0
137,13.22,12.05,12.34,11.53,11.56,11.15,11.09,11.04,1.3068398268398265,0.8385380116959056,0.9204205607476634,-0.10526315789473639,0.12186915887850625,1.7275700934579465,-0.7589473684210519,-0.6508411214953258,0.5422897196261705,0.8184112149532718,0.017516339869280945,gmag_rmag_imag | gmag_rmag_Hamag,87.503916,21.590122,0.0
144,11.17,10.63,12.74,11.11,11.32,9.57,9.56,9.49,1.5356277056277046,0.8459649122807,0.89144859813084,-3.552690058479533,-2.9501869158878504,0.32299065420560896,-3.0536842105263156,-2.7669158878504665,-0.3239719626168205,1.6888785046728982,-0.04947712418300698,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.017563,51.008247,0.0
149,13.15,11.87,12.29,11.8,11.82,10.73,10.76,10.64,1.4781818181818194,1.2353801169590664,1.2545327102803756,0.26397660818713775,0.40317757009346034,1.3750467289719617,-0.7036842105263148,-0.6374299065420554,0.08485981308411034,0.49560747663551236,-0.13196078431372416,gmag_rmag_imag | gmag_rmag_Hamag,93.138295,23.8281472,0.0
155,12.38,12.12,12.37,11.74,11.74,11.51,11.47,11.43,0.3779653679653695,0.01777777777778,0.06644859813084322,-0.7563157894736813,-0.6023364485981282,0.6400000000000006,-0.6147368421052626,-0.5414485981308406,0.379999999999999,0.629999999999999,0.006013071895423203,gmag_rmag_imag | gmag_rmag_Hamag,102.36025,11.521113,0.0
159,13.17,11.53,12.71,12.45,12.55,12.18,12.1,12.07,2.196796536796538,2.226432748538012,2.159532710280375,0.14374269005847679,0.3044859813084102,0.8452336448598154,-1.330526315789476,-1.2540186915887865,-0.8457009345794382,0.28803738317757205,0.05450980392156925,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,100.9836472,0.1551842,0.0
163,14.13,11.8,13.06,12.72,12.88,12.12,11.99,11.91,2.9245454545454543,2.9164327485380115,2.880093457943925,0.6564327485380123,0.8950467289719632,1.6103738317757013,-1.4568421052631575,-1.3432710280373827,-0.8011214953271026,0.38485981308411205,0.06202614379084863,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,346.462287,57.556201,0.0
166,13.22,12.25,12.39,11.8,11.8,11.48,11.42,11.39,1.036060606060607,0.6831578947368433,0.7407943925233655,0.11233918128655007,0.25654205607476666,1.42,-0.4815789473684215,-0.4129439252336453,0.4499999999999993,0.5899999999999999,0.03450980392156967,gmag_rmag_imag,346.818019,58.917903,0.0
168,13.12,12.26,12.34,11.69,11.74,11.33,11.25,11.22,0.8977489177489172,0.496666666666666,0.5951401869158875,-0.01064327485380201,0.19682242990654186,1.4926168224299072,-0.45631578947368445,-0.35757009345794377,0.6071495327102812,0.6640186915887856,0.05450980392156925,gmag_rmag_imag,346.231362,59.477259,0.0
176,13.64,12.76,12.91,11.78,11.97,10.89,10.8,10.65,0.9507792207792217,0.25532163742690117,0.47761682242990783,-0.6445029239766085,-0.18364485981308298,2.097943925233648,-0.8042105263157902,-0.5848598130841122,1.1211682242990668,1.1832710280373844,-0.037450980392157274,gmag_rmag_imag | gmag_rmag_Hamag,59.558968,52.173405,1.0
179,13.45,12.18,12.44,11.69,11.78,11.45,11.39,11.35,1.392683982683982,0.9576608187134498,1.06626168224299,0.0977192982456141,0.368504672897196,1.8727102803738314,-0.6942105263157892,-0.5653271028037381,0.5568691588785047,0.775233644859813,0.026013071895422776,gmag_rmag_imag | gmag_rmag_Hamag,91.3938506,24.6509514,0.0
180,13.45,12.18,12.44,11.69,11.78,11.45,11.39,11.35,1.392683982683982,0.9576608187134498,1.06626168224299,0.0977192982456141,0.368504672897196,1.8727102803738314,-0.6942105263157892,-0.5653271028037381,0.5568691588785047,0.775233644859813,0.026013071895422776,gmag_rmag_imag | gmag_rmag_Hamag,91.393848,24.65092,0.0
195,14.38,15.89,12.68,11.91,11.88,10.9,10.58,10.26,-3.0246753246753246,-4.046959064327485,-3.552476635514018,0.7633918128654988,0.9224299065420584,2.4324299065420574,2.764210526315791,2.839906542056076,3.9577102803738327,0.7615887850467288,0.04810457516339878,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.058908,52.434199,1.0
227,16.06,16.28,16.14,15.96,15.98,15.92,16.0,15.63,-0.28606060606060874,-0.42397660818713706,-0.37280373831775976,-0.29894736842105407,-0.23551401869159072,0.12504672897195995,0.03578947368421127,0.06598130841121548,0.3348598130841121,0.1856074766355136,-0.3943790849673196,Jmag_Hmag_Kmag,104.22319,6.304176,1.0
264,19.45,17.23,14.22,12.36,13.63,9.65,8.91,8.51,0.7996969696969689,-0.8842690058479548,0.3863551401869154,2.9675438596491204,4.656542056074765,8.680467289719628,1.9331578947368413,2.737056074766355,5.8135981308411235,2.216074766355142,0.40013071895424834,umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,308.255134,40.542745,0.0
265,18.82,17.44,14.65,12.95,14.1,10.51,9.86,9.51,0.06350649350649218,-1.4820467836257327,-0.32121495327102956,2.1021637426900575,3.635420560747663,7.310186915887852,1.8057894736842108,2.535560747663552,5.344439252336451,2.0224299065420572,0.352614379084968,gmag_imag_Hamag | rmag_imag_Hamag,307.867893,40.549046,0.0
275,17.56,16.46,13.81,12.2,13.27,9.78,9.14,8.75,-0.15043290043290258,-1.6154385964912308,-0.5248130841121519,1.791637426900582,3.225140186915885,6.699999999999999,1.717894736842105,2.4001869158878506,5.0550000000000015,1.9100000000000013,0.3086274509803905,rmag_imag_Hamag,308.1472356,41.2459394,0.0
278,18.37,17.09,14.41,12.68,13.86,10.12,9.43,9.02,0.015411255411256874,-1.5310526315789459,-0.36518691588784913,1.8556725146198838,3.4254205607476638,7.167757009345795,1.6784210526315786,2.425560747663551,5.286728971962617,2.0608411214953275,0.34163398692810404,gmag_imag_Hamag | rmag_imag_Hamag,308.558073,39.644065,0.0
279,18.81,17.45,14.65,12.88,14.09,10.34,9.65,9.29,0.038787878787878816,-1.553040935672514,-0.3514018691588785,2.0070175438596487,3.6157009345794373,7.445327102803734,1.7752631578947362,2.5409345794392513,5.469018691588783,2.1092523364485976,0.38411764705882206,umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,308.016323,39.820718,0.0
294,19.931,18.143,15.261,13.63,14.75,10.746,9.936,9.459,0.42809523809523786,-1.0887076023391806,0.059789719626168525,2.686093567251466,4.173327102803741,7.703616822429906,1.9377368421052656,2.6456028037383197,5.34514953271028,1.9450186915887833,0.40470588235294147,umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,152.188854,-57.230152,0.0
341,20.44,18.606,15.728,14.032,15.224,10.888,9.968,9.43,0.47598268398268284,-1.081590643274855,0.11139252336448524,2.6490292397660844,4.222130841121498,7.9007850467289735,1.896105263157897,2.6448411214953294,5.459644859813086,2.0302056074766353,0.46287581699346386,umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,153.315795,-57.077087,0.0
361,20.842,19.447,16.74,15.134,16.253,11.989,11.004,10.483,0.11767099567099493,-1.3542222222222215,-0.23185046728971925,2.1485029239766114,3.6286542056074786,7.109364485981306,1.7772105263157916,2.4817056074766373,5.144406542056073,1.9197383177570075,0.5423202614379106,gmag_imag_Hamag | rmag_imag_Hamag,152.818379,-57.736846,0.0
366,20.992,19.178,16.385,14.752,15.94,11.746,10.85,10.373,0.4960909090909096,-1.0072514619883037,0.16473831775700898,2.620660818713449,4.174476635514016,7.727775700934577,1.84757894736842,2.58713551401869,5.308672897196261,1.9660841121495334,0.49070588235294177,umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,153.481891,-57.296756,0.0
424,19.772,18.29,15.611,14.02,15.122,11.212,10.387,9.993,0.217883116883117,-1.239812865497076,-0.13160747663551398,2.225748538011693,3.685710280373829,7.132074766355139,1.7578947368421032,2.4527803738317737,5.088775700934579,1.8999719626168237,0.4902287581699339,rmag_imag_Hamag,153.919392,-57.286169,0.0
433,20.597,18.508,15.374,13.514,14.826,10.056,9.057,8.424,0.6101861471861503,-1.0943099415204651,0.21358878504673218,2.9605438596491225,4.690364485981309,8.72606542056075,2.0571578947368403,2.88048598130841,5.9688037383177575,2.2278504672897212,0.46115686274509615,umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,154.220685,-57.090546,0.0
447,19.622,18.012,15.232,13.597,14.716,10.619,9.703,9.21,0.2982251082251073,-1.204239766081872,-0.06880373831775777,2.40122807017544,3.888467289719627,7.426364485981308,1.8334210526315804,2.5412897196261692,5.246406542056075,1.9487383177570092,0.4971111111111128,umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,154.009332,-57.311851,0.0
