,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,RAJ2000,DEJ2000,em
0,14.41,14.29,13.33,12.74,12.54,11.81,11.48,11.19,-0.9518333333333318,-4.945294117647065,0.62697674418605,2.047441860465121,1.4204651162790711,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,64.458939,53.423931,1.0
1,14.41,14.29,13.33,12.74,12.54,11.81,11.48,11.19,-0.9518333333333318,-4.945294117647065,0.62697674418605,2.047441860465121,1.4204651162790711,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,64.4589367,53.4239286,1.0
2,14.06,14.0,12.83,12.34,12.1,11.79,11.51,11.25,-0.8301666666666664,-4.620588235294122,0.6683720930232565,2.3909302325581403,1.722558139534884,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,62.83595,53.234539,1.0
3,15.06,14.73,13.83,13.32,13.12,12.54,12.25,12.02,-0.5964999999999993,-4.222352941176477,0.8369767441860491,2.1974418604651214,1.3604651162790724,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,309.19739,34.1965017,1.0
4,14.12,13.27,12.35,11.87,11.51,11.0,10.71,10.41,-0.022000000000000908,-4.535882352941178,1.7625581395348815,3.511395348837205,1.748837209302324,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,63.4037767,52.7429414,1.0
5,14.12,13.27,12.35,11.87,11.51,11.0,10.71,10.41,-0.022000000000000908,-4.535882352941178,1.7625581395348815,3.511395348837205,1.748837209302324,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,63.40378,52.742943,1.0
6,16.49,16.13,13.95,12.93,13.1,11.16,10.66,10.32,-1.4929999999999992,-5.09,-0.07093023255813968,1.717674418604651,1.7886046511627907,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,88.852667,22.910194,1.0
20,14.84,14.83,12.98,12.29,12.43,11.34,10.98,10.64,-1.2435000000000023,-3.5164705882353,-0.34488372093023406,1.1827906976744158,1.5276744186046498,gmag_rmag_imag_Hamag,56.368536,50.057221,1.0
21,14.84,14.83,12.98,12.29,12.43,11.34,10.98,10.64,-1.2435000000000023,-3.5164705882353,-0.34488372093023406,1.1827906976744158,1.5276744186046498,gmag_rmag_imag_Hamag,56.368509,50.057241,1.0
29,13.54,12.15,12.02,11.63,11.39,11.4,11.29,11.16,0.6815000000000012,-2.649411764705879,1.9983720930232547,2.6809302325581394,0.6825581395348846,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,92.96136,25.49007,1.0
38,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-2.7628333333333335,-6.737058823529409,-1.1916279069767461,0.32093023255813413,1.5125581395348804,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.558931,52.173432,1.0
39,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-2.7628333333333335,-6.737058823529409,-1.1916279069767461,0.32093023255813413,1.5125581395348804,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.558959,52.173405,1.0
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,5.089499999999999,4.297647058823524,5.402558139534885,10.161395348837209,4.758837209302323,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,93.283401,23.857319,0.0
42,13.3,15.09,12.91,11.81,11.76,10.49,10.24,10.01,-3.7883333333333313,-9.16352941176471,-1.6632558139534859,0.6318604651162829,2.295116279069769,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,307.8161506,45.4200264,1.0
43,11.08,11.18,12.63,11.21,11.29,10.36,10.28,10.27,-2.6796666666666655,-8.691764705882365,-0.3027906976744138,-1.9369767441860386,-1.634186046511625,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.8407956,52.6647547,0.0
58,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-2.100500000000003,-5.905882352941179,-0.5960465116279112,1.5648837209302262,2.160930232558137,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,90.0966072,23.1843864,1.0
59,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-2.100500000000003,-5.905882352941179,-0.5960465116279112,1.5648837209302262,2.160930232558137,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,90.096597,23.184375,1.0
68,13.6,12.79,12.74,11.65,11.71,10.75,10.62,10.58,-1.1701666666666655,-5.794117647058821,0.6579069767441854,0.5697674418604624,-0.08813953488372306,umag_gmag_rmag_Hamag,59.3023628,50.1102214,0.0
76,10.98,10.13,12.87,11.1,11.35,9.06,9.16,9.08,-2.3654999999999986,-8.895882352941177,0.21627906976744182,-3.0993023255813936,-3.3155813953488353,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,59.076031,51.13302,0.0
77,14.17,12.0,12.21,11.64,11.68,11.43,11.34,11.35,1.1344999999999996,-1.2282352941176553,2.0686046511627927,1.7665116279069801,-0.3020930232558128,umag_gmag_imag_Hamag,101.3984,10.467609,0.0
