,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,ID,h,w1_err,e_Jmag,w1,Halpha_type,e_Kmag,e_gmag,e_rmag,e_umag,e_Hamag,e_imag,Fe_type,objtype_SIMBAD,k,e_Hmag,DEJ2000,h_err,k_err,RAJ2000,objtype_Hou
75,15.302,15.793,12.68,11.91,11.88,10.899,10.575,10.259,-1.889833333333332,-5.620411764705877,-0.41495348837209434,2.7671162790697643,3.1820697674418583,umag_gmag_rmag_imag,J035614.13+522603.1,10.575,0.023,0.027,10.04,I,0.022,0.012,0.0,0.007,0.0,0.0,,Emission-line Star,10.259,0.032,52.434199,0.032,0.022,59.058908,CBe
83,15.693,14.806,13.52,12.96,12.83,12.013,11.716,11.386,-0.1303333333333303,-3.537117647058821,1.2165348837209324,2.801837209302329,1.5853023255813965,umag_gmag_rmag_imag,J055352.81+222544.5,11.716,0.024,0.022,11.247,I,0.019,0.004,0.0,0.006,0.0,0.0,unclassify,,11.386,0.021,22.429046,0.021,0.019,88.470081,CBe
84,15.693,14.806,13.52,12.96,12.83,12.013,11.716,11.386,-0.1303333333333303,-3.537117647058821,1.2165348837209324,2.801837209302329,1.5853023255813965,umag_gmag_rmag_imag,J055352.81+222544.5,11.716,0.024,0.022,11.247,I,0.019,0.004,0.0,0.006,0.0,0.0,,,11.386,0.021,22.429046,0.021,0.019,88.470081,CBe
91,16.877,15.644,14.61,13.76,13.92,12.466,12.017,11.563,-0.3111666666666668,-3.1911176470588227,0.8274186046511613,1.4930465116279064,0.6656279069767448,umag_gmag_rmag_imag,J055820.80+225246.0,12.017,0.023,0.025,11.158,I,0.019,0.003,0.0,0.008,0.0,0.0,unclassify,,11.563,0.021,22.879454,0.021,0.019,89.586701,CBe
116,15.352,15.684,13.26,12.97,12.94,12.639,12.618,12.535,-0.8588333333333306,-2.3837647058823546,-0.25595348837208914,2.2371162790697734,2.4930697674418627,umag_gmag_rmag_imag,J052423.13+283541.6,12.618,0.024,0.023,12.254,II,0.024,0.012,0.0,0.007,0.0,0.0,,,12.535,0.031,28.594889,0.031,0.024,81.096375,CBe
132,24.635,17.203,16.66,16.17,16.48,15.515,15.3,15.175,6.541833333333338,6.27788235294118,6.646186046511634,6.475465116279079,-0.17072093023255552,umag_gmag_rmag_imag,J052530.75+293821.3,15.3,0.042,0.061,15.104,II,0.118,0.005,0.01,1.578,0.01,0.01,,,15.175,0.105,29.639252,0.105,0.118,81.378157,CBe
158,17.738,15.079,13.41,12.72,13.01,11.528,10.906,10.716,1.4055000000000002,0.09429411764705442,1.923883720930234,2.9252093023255856,1.0013255813953517,umag_gmag_rmag_imag,J064917.52+100126.8,10.906,0.023,0.029,10.489,II,0.026,0.006,0.0,0.013,0.0,0.0,,,10.716,0.027,10.024136,0.027,0.026,102.32302,CBe
159,15.074,14.77,12.91,11.78,11.97,10.885,10.801,10.645,-1.7488333333333341,-5.72305882352941,-0.1776279069767469,1.2449302325581337,1.4225581395348805,umag_gmag_rmag_imag,J035814.14+521024.3,10.801,0.023,0.029,10.573,II,0.021,0.011,0.0,0.006,0.0,0.0,,Emission-line Star,10.645,0.032,52.173432,0.032,0.021,59.558931,CBe
170,16.281,17.619,14.11,13.81,13.99,13.361,13.261,13.173,-1.882999999999999,-2.1074117647058785,-1.794279069767442,1.3003023255813966,3.0945813953488384,umag_gmag_rmag_imag,J054733.79+313320.6,13.261,0.025,0.023,13.077,II,0.032,0.037,0.0,0.013,0.0,0.0,,,13.173,0.031,31.555742,0.031,0.032,86.890806,CBe
257,15.235,15.498,12.47,11.85,12.09,11.184,10.956,10.855,-1.3893333333333349,-2.6994705882353,-0.8713720930232559,1.604069767441859,2.4754418604651147,umag_gmag_rmag_imag,J054610.71+211613.3,10.956,0.024,0.022,10.79,II,0.02,0.013,0.0,0.006,0.0,0.0,,,10.855,0.022,21.27038,0.022,0.02,86.544665,CBe
331,14.3,12.5,12.1,11.59,11.45,11.29,11.231,11.149,0.8735000000000014,-2.3676470588235325,2.1548837209302345,2.8772093023255847,0.7223255813953503,umag_gmag_rmag_imag,J061152.34+234344.6,11.231,0.023,0.02,11.191,II,0.017,0.001,0.0,0.005,0.0,0.0,,Star,11.149,0.022,23.729066,0.022,0.017,92.968107,CBe
489,22.006,19.054,16.35,15.52,15.85,14.07,13.233,13.0,1.4441666666666655,-0.25388235294118733,2.1154883720930253,4.059720930232558,1.9442325581395323,umag_gmag_rmag_imag,J055627.37+222602.1,13.233,0.024,0.028,12.535,III,0.028,0.01,0.01,0.218,0.01,0.01,,,13.0,0.026,22.433938,0.026,0.028,89.114066,CBe
494,15.074,14.77,12.91,11.78,11.97,10.885,10.801,10.645,-1.7488333333333341,-5.72305882352941,-0.1776279069767469,1.2449302325581337,1.4225581395348805,umag_gmag_rmag_imag,J035814.15+521024.2,10.801,0.023,0.029,10.573,IV,0.021,0.011,0.0,0.006,0.0,0.0,,Emission-line Star,10.645,0.032,52.173405,0.032,0.021,59.558959,CBe
521,15.459,16.187,13.34,12.41,12.63,11.151,10.502,10.284,-2.4175000000000004,-5.280352941176468,-1.285674418604654,1.0548139534883694,2.3404883720930236,umag_gmag_rmag_imag,J055257.33+231001.0,10.502,0.023,0.02,10.161,IV,0.02,0.013,0.0,0.005,0.0,0.0,,,10.284,0.023,23.166958,0.023,0.02,88.238891,CBe
596,14.949,15.176,13.06,12.86,12.93,12.641,12.6,12.547,-0.5903333333333355,-1.0605294117647115,-0.4044418604651172,1.5503953488372075,1.9548372093023247,umag_gmag_rmag_imag,J064958.38+111213.7,12.6,0.024,0.026,12.533,VI,0.03,0.01,0.0,0.005,0.0,0.0,,,12.547,0.026,11.20382,0.026,0.03,102.49329,CBe
629,24.651,14.845,14.63,13.68,14.19,12.102,11.286,11.082,8.080166666666663,6.984823529411755,8.513209302325581,7.554023255813955,-0.9591860465116269,umag_gmag_rmag_imag,J055222.83+204152.3,11.286,0.062,0.026,10.898,VI,0.044,0.004,0.0,40.354,0.0,0.0,,,11.082,0.03,20.697878,0.03,0.044,88.095161,CBe
