,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,Unnamed: 0,DEJ2000,LAMOST_sep,RAJ2000,model_prob,col1,original_index,Halpha
4,14.12,13.27,12.35,11.87,11.51,11.0,10.71,10.41,-0.022000000000000908,-4.535882352941178,1.7625581395348815,3.511395348837205,1.748837209302324,umag_rmag_imag_Hamag,251,52.7429414,2.0,63.4037767,1.0,251,251.00,1.0
5,14.12,13.27,12.35,11.87,11.51,11.0,10.71,10.41,-0.022000000000000908,-4.535882352941178,1.7625581395348815,3.511395348837205,1.748837209302324,umag_rmag_imag_Hamag,160,52.742943,2.0,63.40378,1.0,160,160.00,1.0
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,5.089499999999999,4.297647058823524,5.402558139534885,10.161395348837209,4.758837209302323,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,634,23.857319,2.0,93.283401,0.38,632,632.00,0.0
42,13.3,15.09,12.91,11.81,11.76,10.49,10.24,10.01,-3.7883333333333313,-9.16352941176471,-1.6632558139534859,0.6318604651162829,2.295116279069769,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,221,45.4200264,2.0,307.8161506,0.35,221,221.00,1.0
43,11.08,11.18,12.63,11.21,11.29,10.36,10.28,10.27,-2.6796666666666655,-8.691764705882365,-0.3027906976744138,-1.9369767441860386,-1.634186046511625,umag_gmag_rmag_Hamag,668,52.6647547,2.0,59.8407956,0.34,666,666.00,0.0
76,10.98,10.13,12.87,11.1,11.35,9.06,9.16,9.08,-2.3654999999999986,-8.895882352941177,0.21627906976744182,-3.0993023255813936,-3.3155813953488353,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,939,51.13302,2.0,59.076031,0.18,937,937.00,0.0
89,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,-2.1513333333333304,-9.456470588235298,0.7367441860465146,-1.0081395348837177,-1.7448837209302321,umag_gmag_rmag_Hamag,591,23.1526269,2.0,88.2362508,0.16,590,590.00,1.0
90,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,-2.1513333333333304,-9.456470588235298,0.7367441860465146,-1.0081395348837177,-1.7448837209302321,umag_gmag_rmag_Hamag,118,23.152603,2.0,88.236244,0.16,118,118.00,1.0
122,14.46,15.81,12.52,11.57,11.53,10.17,9.72,9.31,-3.075833333333331,-7.697647058823533,-1.248604651162788,2.133488372093029,3.382093023255817,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,395,59.036368,2.0,346.162464,0.1,394,394.00,1.0
144,11.17,10.63,12.74,11.11,11.32,9.57,9.56,9.49,-2.421166666666668,-8.564705882352944,0.007674418604648459,-2.585813953488376,-2.5934883720930246,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,601,51.008247,2.0,59.017563,0.07,599,599.00,0.0
195,14.38,15.89,12.68,11.91,11.88,10.9,10.58,10.26,-2.908833333333332,-6.639411764705877,-1.4339534883720946,1.8451162790697653,3.2790697674418596,gmag_rmag_imag_Hamag,84,52.434199,2.0,59.058908,0.04,84,84.00,1.0
