,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
240,19.72,18.86,17.5,17.09,17.17,16.239,15.786,16.631,Kmag,,-25.4831667,0.01,,0.115,0.05,,,True,0.512,,,0.02,,,0.485,822,17.701,0.05,Haffner 16,0.02,0.087,,0.118,,,,,0.094,117.4814167,,,,,0.126,O
1272,16.87,14.44,12.51,11.62,12.13,9.924,9.015,8.747,Hmag | Kmag,,-57.6604167,0.01,,0.073,0.0,,,False,1.286,,,0.01,,,1.168,246,13.404,0.0,IC 2581,0.0,0.051,0.021,0.08,,,,,0.023,157.0076667,,,,,0.022,O
1462,19.19,15.99,13.72,12.08,13.14,9.836,8.866,8.505,Jmag | Hmag | Kmag,,-5.9663611,0.0,,0.065,0.0,,,False,1.607,,,0.05,,,1.4,750,14.629,0.01,Basel 1,0.0,0.051,0.021,0.081,,,,,0.024,282.1047917,,,,,0.042,O
1994,18.69,15.6,13.52,12.09,13.01,10.053,9.082,8.692,Hmag | Kmag,,-60.6311667,0.01,,0.067,0.01,,,False,1.655,,,0.03,,,1.482,692,14.603,0.01,Trumpler 20,0.0,0.024,0.018,0.042,,,,,0.024,189.9250417,,,,,0.025,O
2163,20.27,16.75,14.24,12.35,13.66,9.725,8.603,8.161,Jmag | Hmag | Kmag,,-60.5746389,0.01,,0.072,0.01,,,False,2.015,,,0.08,,,1.919,326,15.619,0.0,Trumpler 20,0.0,0.034,0.029,0.064,,,,,0.023,190.0200417,,,,,0.018,O
2483,14.21,13.95,13.34,12.93,13.15,12.348,9.971,8.329,Kmag,,-46.9339444,0.01,,0.102,0.01,,,False,0.423,,,0.0,,,0.306,16,13.641,0.01,NGC 6204,0.0,0.064,,0.084,,,,,0.04,251.6933333,,,,,,O
2683,18.88,15.78,13.35,12.23,12.9,9.957,8.99,8.636,Hmag | Kmag,,-32.4676667,0.0,,0.081,0.0,,,False,1.575,,,0.04,,,1.562,92,14.621,0.0,Trumpler 28,0.0,0.054,0.026,0.105,,,,,0.023,264.1210417,,,,,0.029,O
2718,20.66,16.88,14.0,12.59,13.46,9.7,8.521,8.118,Jmag | Hmag | Kmag,,-32.4439722,0.01,,0.098,0.0,,,False,1.66,,,0.13,,,0.907,62,15.233,0.01,Trumpler 28,0.0,0.071,0.031,0.111,,,,,0.03,264.2351667,,,,,0.034,O
3015,20.29,16.89,14.1,12.64,13.6,10.106,9.07,8.703,Hmag | Kmag,,-8.5098889,0.0,,0.047,0.0,,,True,0.588,,,0.11,,,0.525,463,12.547,0.0,Trumpler 34,0.0,0.027,0.02,0.04,,,,,0.024,280.0740417,,,,,0.023,B
3028,20.14,16.66,14.01,12.48,13.43,9.984,8.943,8.58,Hmag | Kmag,,-8.38975,0.01,,0.078,0.0,,,False,1.176,,,0.07,,,1.08,97,15.855,0.01,Trumpler 34,0.0,0.057,0.023,0.09,,,,,0.024,280.0848333,,,,,0.023,O
