,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
165,19.95,16.73,14.29,12.98,13.77,10.709,9.637,9.278,2.068658008658007,0.8296491228070169,1.7123364485981296,4.066549707602341,5.154579439252337,7.9593457943925205,1.6815789473684233,2.1994392523364503,4.336962616822429,1.5314953271028022,0.7669673202614371,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-20.7111389,0.0,,0.069,0.0,,,True,1.544,,,0.08,,,1.788,571,15.265,0.0,NGC 2421,0.0,0.038,0.021,0.07,,,,,0.023,114.0834583,,,,,0.022,O
235,18.9,16.0,13.75,12.54,13.2,10.597,9.569,9.236,1.838311688311687,0.6945029239766067,1.4738317757009332,3.678187134502922,4.615420560747662,7.1865420560747655,1.549473684210526,1.995560747663551,3.950373831775702,1.3950467289719635,0.7450588235294103,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,,-20.6499444,0.0,,0.064,0.0,,,False,1.464,,,0.03,,,1.53,410,14.757,0.01,NGC 2421,0.0,0.031,0.019,0.054,,,,,0.024,114.1735,,,,,0.024,O
240,19.72,18.86,17.5,17.09,17.17,16.239,15.786,16.631,0.21826839826839806,-0.26824561403508795,-0.0007943925233636628,1.721286549707601,1.8992523364485987,2.7301869158878516,1.1226315789473678,1.207336448598131,1.8294392523364496,0.4324299065420567,1.170973856209152,Jmag_Hmag_Kmag,,-25.4831667,0.01,,0.115,0.05,,,True,0.512,,,0.02,,,0.485,822,17.701,0.05,Haffner 16,0.02,0.087,,0.118,,,,,0.094,117.4814167,,,,,0.126,O
244,20.57,18.84,16.59,15.79,16.21,14.277,13.518,13.183,0.6683116883116889,-0.21415204678362554,0.39042056074766474,3.0069005847953214,3.610654205607478,5.305981308411218,1.7868421052631576,2.074205607476636,3.362056074766357,0.9177570093457956,0.4743594771241809,gmag_rmag_imag,,-25.4613333,0.01,,0.093,0.01,,,False,1.1,,,0.05,,,0.971,696,17.29,0.01,Haffner 16,0.01,0.074,,0.112,,,,,0.04,117.4819583,,,,,0.042,O
256,20.66,18.69,16.47,15.72,16.01,14.595,13.883,13.67,0.9224675324675302,0.07684210526315671,0.6049532710280368,3.277719298245618,3.742897196261686,5.3031775700934585,1.785789473684214,2.0071962616822465,3.1854672897196274,0.8313084112149518,0.5310196078431395,gmag_rmag_imag,,-25.5177222,0.01,,0.089,0.01,,,False,1.169,,,0.04,,,0.886,1004,17.186,0.01,Haffner 16,0.01,0.07,0.043,0.103,,,,,0.021,117.4952917,,,,,0.022,O
267,20.23,18.37,16.16,15.41,15.76,13.997,13.349,12.911,0.8171861471861463,-0.02678362573099502,0.5306074766355131,3.1577192982456146,3.681214953271028,5.258317757009346,1.7757894736842115,2.0249532710280382,3.220046728971963,0.8481308411214953,0.27584313725490117,gmag_rmag_imag,,-25.4629167,0.01,,0.082,0.01,,,False,1.103,,,0.04,,,0.962,707,16.895,0.01,Haffner 16,0.01,0.063,,0.096,,,,,0.039,117.510625,,,,,0.047,O
369,18.24,17.7,16.44,16.11,16.22,15.546,14.09,14.074,-0.05454545454545445,-0.4735087719298252,-0.21383177570093548,1.3985964912280653,1.5861682242990602,2.2677570093457926,1.0689473684210495,1.1582242990654175,1.6717289719626163,0.36084112149532876,1.4424052287581695,Jmag_Hmag_Kmag,,-25.4444167,0.0,,0.067,0.01,,,False,0.394,,,0.01,,,0.355,573,16.548,0.01,Haffner 16,0.01,0.043,,0.057,,,,,0.059,117.5874583,,,,,,O
438,19.35,17.21,14.97,14.22,14.56,12.807,12.042,11.853,1.0830303030303037,0.2340935672514628,0.7902336448598137,3.467719298245615,3.9814953271028046,5.555794392523365,1.8057894736842108,2.0503271028037386,3.242616822429907,0.8453271028037384,0.6044117647058829,gmag_rmag_imag,,-25.4733056,0.01,,0.055,0.0,,,False,1.107,,,0.02,,,0.98,773,15.703,0.0,Haffner 16,0.0,0.033,0.029,0.051,,,,,0.024,117.6254583,,,,,0.025,O
466,18.74,18.31,16.93,16.55,16.67,14.867,15.775,14.357,-0.2211688311688309,-0.6918713450292386,-0.40532710280373685,1.3477777777777777,1.5572897196261688,2.340280373831775,1.1599999999999997,1.2597196261682242,1.8491588785046715,0.4136448598130834,-2.1128366013071895,Jmag_Hmag_Kmag,,-25.5028056,0.01,,0.082,0.01,,,True,0.666,,,0.01,,,0.424,931,16.83,0.01,Haffner 16,0.01,0.059,,0.08,,,,,,117.7184167,,,,,0.13,O
626,17.92,17.37,16.29,15.66,15.99,14.584,13.219,14.101,0.04038961038961031,-0.5399999999999996,-0.15289719626168174,0.8636842105263197,1.3384112149532748,2.6732710280373846,0.7152631578947393,0.9412149532710304,1.9551869158878514,0.7225233644859803,2.1144117647058835,Jmag_Hmag_Kmag,,-29.9950556,0.01,,0.103,0.01,,,True,0.732,,,0.02,,,0.261,71,16.255,0.0,NGC 2489,0.01,0.066,0.075,0.087,,,,,0.04,119.0599167,,,,,,F
