,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,Vc,e_Mass,e_Jmag,vsini,e_Rad,Teff,clean,Rad,e_Kmag,e_y-Ha,Mass,e_Teff,e_gmag,SB?,loggP,e_logg,e_rmag,MG,e_umag,logg,e_Hamag,e_imag,e_b-y,ymag,WHa05,y-Ha,e_vsini,WHa07,b-y,e_Hmag,DEJ2000,e_ymag,RAJ2000,Cluster,WHa06,Code
132,13.58,13.72,13.41,13.12,13.03,12.826,12.691,12.654,-0.6668333333333355,-2.5764705882353005,0.0881395348837199,0.6053488372093013,0.5172093023255815,umag_gmag_rmag_imag,,,0.024,,,,True,,0.027,0.057,,,0.0,,,,0.0,530,0.0,,0.0,0.0,0.021,13.537,,0.582,,,0.284,0.026,-20.6948333,0.014,114.0628333,NGC 2421,,Be?
165,19.95,16.73,14.29,12.98,13.77,10.709,9.637,9.278,0.8401666666666685,-0.11411764705882321,1.2174418604651183,1.8386046511627971,0.6211627906976787,umag_gmag_rmag_imag,,,0.023,,,,True,,0.021,0.069,,,0.0,,,,0.0,571,0.08,,0.0,0.0,0.07,15.265,,1.544,,,1.788,0.022,-20.7111389,0.038,114.0834583,NGC 2421,,O
235,18.9,16.0,13.75,12.54,13.2,10.597,9.569,9.236,0.7018333333333309,-0.6264705882353012,1.2269767441860455,1.9574418604651163,0.7304651162790703,umag_gmag_rmag_imag,,,0.024,,,,False,,0.019,0.064,,,0.0,,,,0.0,410,0.03,,0.0,0.01,0.054,14.757,,1.464,,,1.53,0.024,-20.6499444,0.031,114.1735,NGC 2421,,O
246,18.31,17.57,16.0,15.58,15.69,14.856,14.385,14.508,-0.02300000000000124,-1.2476470588235349,0.46116279069767446,1.777906976744188,1.3167441860465132,umag_gmag_rmag_imag,,,0.039,,,,False,,0.095,0.062,,,0.0,,,,0.0,1012,0.01,,0.01,0.01,0.054,16.404,,0.671,,,0.466,0.045,-25.5208333,0.04,117.4856667,Haffner 16,,O
250,19.28,17.81,15.85,15.22,15.46,14.004,13.419,13.244,0.32550000000000456,-1.0305882352941085,0.8616279069767464,2.2690697674418616,1.407441860465115,umag_gmag_rmag_imag,,,0.027,,,,False,,0.037,0.063,,,0.01,,,,0.01,871,0.02,,0.01,0.01,0.062,16.461,,0.947,,,0.795,0.025,-25.4918056,0.042,117.492875,Haffner 16,,O
256,20.66,18.69,16.47,15.72,16.01,14.595,13.883,13.67,0.6075000000000024,-0.9794117647058673,1.2348837209302295,2.787209302325579,1.5523255813953494,umag_gmag_rmag_imag,,,0.021,,,,False,,0.043,0.089,,,0.01,,,,0.01,1004,0.04,,0.01,0.01,0.103,17.186,,1.169,,,0.886,0.022,-25.5177222,0.07,117.4952917,Haffner 16,,O
258,20.61,19.05,17.15,16.65,16.78,15.775,15.238,15.082,0.6516666666666656,-0.8123529411764561,1.230465116279062,2.8311627906976633,1.600697674418601,umag_gmag_rmag_imag,,,0.067,,,,False,,0.156,0.111,,,0.01,,,,0.01,781,0.04,,0.01,0.01,0.12,17.713,,0.903,,,0.55,0.072,-25.4742222,0.088,117.49875,Haffner 16,,O
264,19.2,17.83,15.89,15.29,15.53,14.183,13.611,13.462,0.2799999999999987,-0.9382352941176544,0.761627906976745,2.149069767441859,1.3874418604651138,umag_gmag_rmag_imag,,,0.022,,,,False,,0.039,0.063,,,0.01,,,,0.0,991,0.02,,0.01,0.01,0.06,16.505,,0.904,,,0.74,0.022,-25.5144722,0.042,117.5096667,Haffner 16,,O
267,20.23,18.37,16.16,15.41,15.76,13.997,13.349,12.911,0.49749999999999983,-0.7047058823529451,0.9727906976744194,2.3769767441860497,1.40418604651163,umag_gmag_rmag_imag,,,0.039,,,,False,,,0.082,,,0.01,,,,0.01,707,0.04,,0.01,0.01,0.096,16.895,,1.103,,,0.962,0.047,-25.4629167,0.063,117.510625,Haffner 16,,O
276,19.67,18.21,16.09,15.35,15.7,13.974,13.287,13.165,0.11566666666666747,-1.0405882352941211,0.5727906976744208,1.8869767441860512,1.3141860465116302,umag_gmag_rmag_imag,,,0.024,,,,False,,0.039,0.079,,,0.01,,,,0.01,713,0.02,,0.01,0.01,0.091,16.786,,1.057,,,0.91,0.025,-25.4638611,0.06,117.5194167,Haffner 16,,O
308,18.28,17.29,15.65,15.19,15.32,14.455,13.958,13.901,0.154333333333334,-1.1258823529411757,0.66046511627907,2.0011627906976717,1.3406976744186019,umag_gmag_rmag_imag,,,0.036,,,,False,,0.063,0.058,,,0.0,,,,0.01,550,0.01,,0.01,0.01,0.049,16.091,,0.748,,,0.552,0.027,-25.4397778,0.035,117.5550417,Haffner 16,,O
310,18.11,17.19,15.56,15.11,15.24,14.381,13.918,13.874,0.10249999999999637,-1.1317647058823574,0.5904651162790662,1.9211627906976698,1.3306976744186039,umag_gmag_rmag_imag,,,0.036,,,,True,,0.056,0.057,,,0.0,,,,0.0,1054,0.01,,0.01,0.0,0.047,15.993,,0.74,,,0.537,0.041,-25.5276111,0.034,117.5560833,Haffner 16,,O
335,19.34,18.15,16.45,15.98,16.1,15.25,14.712,14.585,0.3361666666666703,-1.0541176470588094,0.885813953488371,2.3095348837209264,1.4237209302325553,umag_gmag_rmag_imag,,,0.079,,,,True,,0.099,0.071,,,0.01,,,,0.01,671,0.02,,0.01,0.01,0.068,16.844,,0.757,,,0.581,0.089,-25.4575556,0.049,117.571125,Haffner 16,,O
386,18.43,17.32,15.56,15.03,15.22,14.099,13.579,13.472,0.14716666666666423,-1.0700000000000003,0.6283720930232523,1.9509302325581332,1.3225581395348809,umag_gmag_rmag_imag,,,0.051,,,,False,,0.054,0.058,,,0.0,,,,0.0,589,0.01,,0.0,0.01,0.051,16.059,,0.838,,,0.65,0.056,-25.4463056,0.035,117.5945833,Haffner 16,,O
387,19.19,18.3,16.67,16.22,16.35,15.346,14.937,14.915,0.07249999999999557,-1.161764705882355,0.560465116279064,1.891162790697662,1.3306976744185979,umag_gmag_rmag_imag,,,0.064,,,,False,,0.138,0.089,,,0.01,,,,0.01,597,0.02,,0.01,0.01,0.092,17.085,,0.782,,,0.535,0.077,-25.44775,0.067,117.5947917,Haffner 16,,O
390,18.18,16.91,15.13,14.63,14.78,13.737,13.237,13.08,0.36166666666666647,-0.9741176470588337,0.8897674418604684,2.324418604651169,1.4346511627907006,umag_gmag_rmag_imag,,,0.022,,,,True,,0.033,0.053,,,0.0,,,,0.0,919,0.01,,0.0,0.0,0.043,15.63,,0.824,,,0.593,0.022,-25.4995556,0.03,117.5955,Haffner 16,,O
407,16.8,15.9,14.17,13.65,13.83,12.741,12.269,12.183,-0.0446666666666653,-1.2799999999999994,0.44372093023255943,1.759302325581398,1.3155813953488384,umag_gmag_rmag_imag,,,0.022,,,,False,,0.024,0.047,,,0.0,,,,0.0,1081,0.0,,0.0,0.0,0.032,14.674,,0.793,,,0.625,0.023,-25.5325833,0.021,117.605125,Haffner 16,,O
409,18.45,17.61,16.02,15.61,15.71,14.877,14.543,14.177,0.0951666666666664,-1.147647058823522,0.5865116279069731,1.946279069767435,1.3597674418604617,umag_gmag_rmag_imag,,,0.043,,,,True,,0.072,0.063,,,0.0,,,,0.0,942,0.01,,0.01,0.0,0.057,16.427,,0.693,,,0.562,0.056,-25.5041111,0.041,117.6074583,Haffner 16,,O
417,19.85,18.73,16.99,16.51,16.67,15.681,15.174,15.018,0.24800000000000688,-0.9317647058823315,0.7144186046511636,2.08604651162791,1.371627906976746,umag_gmag_rmag_imag,,,0.133,,,,True,,0.146,0.101,,,0.01,,,,0.01,633,0.02,,0.01,0.01,0.109,17.48,,0.833,,,0.575,0.101,-25.4517778,0.079,117.612625,Haffner 16,,O
