,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
40,17.566,15.969,13.405,11.925,12.928,9.317,8.56,8.115,umag,-57.545887,13.394,4.324,7.995,1.57,109,3.538,8.41,152.325021,1,0,0,1
46,17.929,16.214,13.487,11.917,12.97,9.144,8.367,7.875,umag,-57.463467,13.506,4.366,8.524,2.09,130,3.528,8.49,152.598693,1,0,0,1
131,16.936,15.48,12.953,11.486,12.341,8.693,7.87,7.414,umag,-57.407289,12.942,4.341,8.35,1.83,331,3.794,7.76,153.668178,1,0,0,1
241,17.558,16.161,13.57,12.095,13.049,9.327,8.474,7.953,umag,-57.54657,13.571,4.404,8.544,0.54,559,3.787,8.89,154.177204,1,0,0,1
301,14.975,14.257,12.236,11.081,11.762,8.968,8.297,7.94,umag,-57.917252,12.251,4.488,6.844,0.28,708,3.769,9.91,154.224633,1,0,0,1
437,19.141,17.146,14.245,12.551,13.746,9.479,8.656,8.113,umag,-57.159384,14.247,4.315,9.147,4.96,1006,3.589,8.19,156.036587,1,0,0,1
455,15.7,14.928,12.883,11.681,12.432,9.315,8.62,8.2,umag,-58.052421,12.882,4.424,7.261,0.84,1041,4.026,9.43,155.131682,1,0,0,1
1713,15.168,14.395,12.444,11.318,11.885,9.005,8.365,8.059,umag,-59.199053,12.356,4.363,6.855,6.44,4755,4.013,8.68,160.281809,1,0,0,1
5359,16.351,15.423,13.115,11.7,12.603,9.018,8.19,7.617,umag,-61.330502,13.109,4.548,8.415,3.48,13765,4.098,10.1,168.918911,1,0,0,1
5605,15.297,14.487,12.594,11.352,12.067,9.205,8.511,8.126,umag,-61.469052,12.545,4.36,6.79,7.18,14229,3.954,8.81,169.767548,1,0,0,1
