,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,Jmag_Hmag_Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
1,20.634,18.906,16.35,14.889,15.928,12.405,11.696,11.343,0.4090653594771241,0.5219220779220808,-0.8325438596491206,0.21116822429906823,2.506877192982453,3.873831775700933,7.046177570093461,1.7101578947368385,2.3607757009345764,4.7889672897196265,1.7523084112149558,Jmag_Hmag_Kmag,-56.706351,16.361,4.317,7.655,5.04,9,3.356,11.6,152.450956,1,0,0,1
13,19.931,18.143,15.261,13.63,14.75,10.746,9.936,9.459,0.40470588235294147,0.42809523809523786,-1.0887076023391806,0.059789719626168525,2.686093567251466,4.173327102803741,7.703616822429906,1.9377368421052656,2.6456028037383197,5.34514953271028,1.9450186915887833,Jmag_Hmag_Kmag,-57.230152,15.275,4.457,8.973,1.65,36,3.476,10.91,152.188854,1,0,0,1
60,20.44,18.606,15.728,14.032,15.224,10.888,9.968,9.43,0.46287581699346386,0.47598268398268284,-1.081590643274855,0.11139252336448524,2.6490292397660844,4.222130841121498,7.9007850467289735,1.896105263157897,2.6448411214953294,5.459644859813086,2.0302056074766353,Jmag_Hmag_Kmag,-57.077087,15.741,4.409,9.512,2.96,167,3.738,10.3,153.315795,1,0,0,1
85,20.992,19.178,16.385,14.752,15.94,11.746,10.85,10.373,0.49070588235294177,0.4960909090909096,-1.0072514619883037,0.16473831775700898,2.620660818713449,4.174476635514016,7.727775700934577,1.84757894736842,2.58713551401869,5.308672897196261,1.9660841121495334,Jmag_Hmag_Kmag,-57.296756,16.427,4.359,9.058,3.51,240,3.679,10.82,153.481891,1,0,0,1
150,17.392,18.125,17.183,16.606,16.944,15.383,15.004,14.86,0.2566470588235289,-1.177493506493507,-1.7012514619883035,-1.334537383177571,-0.4928479532163723,-0.023299065420561815,1.2092897196261627,0.6079473684210539,0.8314345794392521,1.7701308411214918,0.6717663551401843,Jmag_Hmag_Kmag,-57.720938,17.227,4.639,4.313,5.66,373,4.975,18.74,153.420283,1,0,1,0
152,20.597,18.508,15.374,13.514,14.826,10.056,9.057,8.424,0.46115686274509615,0.6101861471861503,-1.0943099415204651,0.21358878504673218,2.9605438596491225,4.690364485981309,8.72606542056075,2.0571578947368403,2.88048598130841,5.9688037383177575,2.2278504672897212,Jmag_Hmag_Kmag,-57.090546,15.327,4.417,10.406,4.29,376,3.769,9.29,154.220685,1,0,0,1
169,20.09,18.4,15.772,14.225,15.28,11.453,10.566,10.182,0.5607254901960769,0.4499480519480541,-0.9712573099415183,0.10084112149532909,2.4362690058479526,3.8397943925233635,7.186214953271028,1.7323684210526298,2.400392523364484,4.958855140186914,1.842794392523365,Jmag_Hmag_Kmag,-57.277031,15.751,4.316,8.417,6.91,414,3.644,10.3,154.085038,1,0,0,1
223,20.154,19.727,18.227,17.362,17.912,15.973,15.291,15.367,0.7465751633986937,-0.28079220779220815,-1.0805146198830424,-0.49746261682243076,0.8748362573099389,1.620831775700933,3.4807850467289745,0.9992105263157884,1.354275700934579,2.7736448598130865,1.0192056074766378,Jmag_Hmag_Kmag,-57.229086,18.198,4.336,4.938,5.45,519,3.646,15.85,154.435058,1,0,0,0
240,18.319,18.66,17.56,16.966,17.293,15.797,15.174,15.315,0.7428039215686285,-0.8600476190476207,-1.4208011695906435,-1.0372757009345808,0.036473684210529655,0.49948598130841215,1.7625140186915844,0.7561052631578975,0.9764813084112166,1.9369579439252314,0.6856822429906514,Jmag_Hmag_Kmag,-57.806036,17.518,4.551,4.293,2.7,555,4.174,18.09,153.84482,1,0,1,0
273,20.063,19.981,18.56,17.75,18.145,16.146,15.434,15.564,0.8224575163398714,-0.5885151515151557,-1.3400994152046821,-0.8531588785046765,0.517736842105265,1.0996355140186926,2.8076728971962597,0.952052631578951,1.229014018691592,2.5244813084112163,0.9207476635514005,Jmag_Hmag_Kmag,-58.445164,18.595,4.458,5.379,4.39,656,4.208,17.05,153.35683,1,0,1,0
437,19.141,17.146,14.245,12.551,13.746,9.479,8.656,8.113,0.36162745098038995,0.626129870129867,-0.933976608187137,0.2632242990654181,2.835461988304094,4.410990654205608,8.086542056074764,1.9202631578947391,2.6701542056074787,5.482873831775701,2.029046728971962,Jmag_Hmag_Kmag,-57.159384,14.247,4.315,9.147,4.96,1006,3.589,8.19,156.036587,1,0,0,1
473,20.843,18.914,15.902,14.133,15.405,11.003,10.133,9.652,0.46130718954248484,0.5077532467532444,-1.1185380116959092,0.1417056074766334,2.789233918128656,4.457934579439254,8.302971962616823,1.9878421052631603,2.782079439252339,5.726084112149535,2.125635514018692,Jmag_Hmag_Kmag,-57.459526,15.924,4.538,9.666,7.51,1086,3.539,11.89,156.025071,1,0,0,1
490,20.841,18.896,15.737,13.901,15.135,10.505,9.571,9.035,0.47857516339869427,0.45438961038961057,-1.2389473684210524,0.029350467289719795,2.870736842105264,4.518878504672898,8.485383177570094,2.096052631578948,2.880504672897197,5.911850467289721,2.181981308411215,Jmag_Hmag_Kmag,-57.363146,15.763,4.581,10.317,6.84,1119,3.649,11.71,156.260877,1,0,0,1
597,18.862,18.111,15.787,14.366,15.332,11.45,10.454,9.961,0.5771111111111096,-0.3456060606060627,-1.6361637426900613,-0.6644719626168245,1.3465321637426866,2.632757009345792,5.705757009345794,1.5013157894736835,2.1135093457943923,4.462728971962618,1.6918411214953286,Jmag_Hmag_Kmag,-57.842242,15.793,4.619,8.937,1.94,1294,4.439,13.17,156.011397,1,0,0,0
601,16.038,15.685,13.793,12.618,13.367,10.435,9.745,9.386,0.38496732026143926,-0.5397619047619056,-1.6019883040935674,-0.8276635514018689,0.8157602339181313,1.8309439252336475,4.3580000000000005,1.2117368421052652,1.694925233644862,3.6235000000000004,1.3849999999999991,Jmag_Hmag_Kmag,-57.790982,13.778,4.643,7.024,3.93,1303,4.131,13.14,156.088688,1,0,0,0
746,20.687,18.803,15.954,14.313,15.465,11.109,10.16,9.627,0.4961241830065363,0.539666666666667,-0.9780467836257305,0.18380373831775731,2.7369298245614044,4.257710280373832,7.816691588785046,1.898947368421053,2.6227803738317754,5.345925233644859,1.9639906542056074,Jmag_Hmag_Kmag,-58.268023,15.966,4.308,9.374,2.27,1626,3.826,9.6,156.400035,1,0,0,1
813,16.797,17.203,15.869,14.971,15.488,13.032,12.375,12.033,0.366411764705882,-1.035463203463202,-1.8287368421052612,-1.279528037383176,-0.16430409356724995,0.5576822429906549,2.4734579439252333,0.8141052631578947,1.1577429906542052,2.616126168224298,1.042953271028037,Jmag_Hmag_Kmag,-58.619279,15.928,4.644,6.168,4.22,1851,5.226,15.83,156.527828,1,0,1,0
1193,19.655,19.733,18.161,17.338,17.915,15.633,15.035,14.788,0.38813071895424744,-0.8197662337662327,-1.6046374269005836,-1.0039906542056074,0.49292397660818676,1.25489719626168,3.039598130841119,1.0955263157894728,1.4581962616822413,2.823705607476634,0.9847757009345793,Jmag_Hmag_Kmag,-58.269464,,4.596,5.678,4.73,3106,4.132,18.09,159.062661,1,0,1,0
