,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
27,20.99,19.571,17.088,15.603,16.215,12.746,11.892,11.261,-1.2787500000000045,-4.178470588235306,-0.1323488372093049,0.941627906976743,1.0739767441860475,umag_gmag_rmag_imag,-57.62927,17.109,4.321,8.57,6.94,68,4.025,11.46,151.952639,1,1,0,0
100,13.338,13.336,12.316,11.705,11.68,10.859,10.613,10.472,-1.1079833333333353,-4.075882352941186,0.06537209302325557,1.1429302325581396,1.077558139534884,umag_gmag_rmag_imag,-57.806063,12.293,4.337,3.281,1.66,263,3.306,11.36,152.943618,1,1,0,1
150,17.392,18.125,17.183,16.606,16.944,15.383,15.004,14.86,-1.7812166666666636,-2.2654117647058882,-1.5897906976744123,-1.4259767441860334,0.16381395348837868,umag_gmag_rmag_imag,-57.720938,17.227,4.639,4.313,5.66,373,4.975,18.74,153.420283,1,0,1,0
259,19.223,18.448,16.479,15.398,15.728,13.297,12.595,12.142,-1.1888166666666666,-4.040235294117647,-0.06151162790697795,1.1477209302325586,1.2092325581395365,umag_gmag_rmag_imag,-57.880013,16.498,4.337,6.618,3.35,618,3.943,12.69,153.965277,1,1,0,0
266,19.199,18.916,17.317,16.582,17.388,15.246,14.763,14.509,-1.0522499999999975,0.7382352941176581,-1.7601162790697678,-2.0167906976744194,-0.2566744186046521,umag_gmag_rmag_imag,-57.805189,17.664,4.446,4.778,6.58,639,3.382,16.36,154.130527,1,0,0,0
566,20.787,19.893,17.862,16.631,18.291,14.262,13.663,13.32,-1.3423166666666644,3.6446470588235416,-3.313906976744186,-5.10476744186046,-1.7908604651162752,umag_gmag_rmag_imag,-57.727099,17.857,4.44,7.141,5.71,1235,3.881,14.69,156.055561,1,0,0,0
573,20.245,19.34,17.04,15.662,16.199,12.828,11.958,11.434,-1.5983666666666618,-4.487294117647044,-0.4562325581395352,0.6074186046511625,1.0636511627906973,umag_gmag_rmag_imag,-57.781379,17.05,4.511,8.573,0.75,1246,4.271,13.42,156.003679,1,1,0,0
578,18.458,17.86,15.932,14.812,15.199,12.509,11.853,11.497,-1.4366666666666692,-4.101823529411771,-0.3830000000000017,0.653999999999997,1.0369999999999986,umag_gmag_rmag_imag,-57.781747,15.929,4.455,7.0,1.77,1258,4.109,13.02,156.012708,1,1,0,0
593,18.236,17.747,16.084,15.183,15.245,13.214,12.665,12.127,-1.1478166666666652,-4.8904705882352975,0.33183720930232796,1.8520930232558181,1.52025581395349,umag_gmag_rmag_imag,-57.7778,16.114,4.302,5.938,3.39,1289,4.269,12.47,156.079098,1,1,0,0
596,19.54,18.871,16.946,15.774,16.792,13.563,12.916,12.524,-1.4601333333333368,-0.3184117647058816,-1.911511627906981,-2.330279069767453,-0.41876744186047254,umag_gmag_rmag_imag,-57.789288,16.938,4.448,6.911,1.62,1292,3.982,14.04,156.070041,1,0,0,0
597,18.862,18.111,15.787,14.366,15.332,11.45,10.454,9.961,-1.830483333333337,-2.1663529411764744,-1.6976976744186083,-1.5977441860465165,0.09995348837209139,umag_gmag_rmag_imag,-57.842242,15.793,4.619,8.937,1.94,1294,4.439,13.17,156.011397,1,0,0,0
601,16.038,15.685,13.793,12.618,13.367,10.435,9.745,9.386,-1.781583333333331,-2.378411764705873,-1.545627906976745,-1.3780697674418598,0.16755813953488463,umag_gmag_rmag_imag,-57.790982,13.778,4.643,7.024,3.93,1303,4.131,13.14,156.088688,1,0,0,0
672,20.712,19.983,17.962,16.962,17.933,15.008,14.349,14.101,-1.087666666666667,0.5430588235294115,-1.7323720930232556,-1.9469302325581372,-0.21455813953488212,umag_gmag_rmag_imag,-57.737153,17.965,4.424,6.301,5.28,1461,3.606,15.45,156.637302,1,0,0,0
676,17.749,17.967,17.017,16.431,17.211,14.989,14.671,14.389,-1.2825666666666637,1.025882352941171,-2.1952093023255745,-3.0410232558139403,-0.8458139534883662,umag_gmag_rmag_imag,-57.984584,17.212,4.311,4.199,0.4,1465,4.989,14.88,156.354491,1,0,1,0
689,19.8,18.785,16.548,15.233,16.666,12.785,12.074,11.721,-1.3739166666666613,1.771588235294132,-2.6174883720930207,-3.67972093023255,-1.0622325581395309,umag_gmag_rmag_imag,-58.846349,16.567,4.48,7.598,2.48,1501,3.774,13.48,155.40101,1,0,0,0
813,16.797,17.203,15.869,14.971,15.488,13.032,12.375,12.033,-2.0373666666666645,-2.8488823529411773,-1.716534883720927,-1.5728372093023206,0.14369767441860626,umag_gmag_rmag_imag,-58.619279,15.928,4.644,6.168,4.22,1851,5.226,15.83,156.527828,1,0,1,0
829,15.683,16.426,15.718,15.166,15.268,14.186,14.001,13.905,-1.7457999999999976,-3.628294117647054,-1.001558139534883,-0.5283953488372106,0.4731627906976722,umag_gmag_rmag_imag,-58.870896,15.509,4.628,3.653,4.82,1900,4.762,17.67,156.321857,1,0,1,0
923,18.728,18.375,16.937,16.199,16.96,15.078,14.65,14.745,-0.9876999999999974,0.5004705882352937,-1.5760465116279025,-1.890116279069761,-0.3140697674418589,umag_gmag_rmag_imag,-58.692082,17.067,4.367,4.083,3.59,2188,3.081,15.7,157.053301,1,0,0,0
933,19.685,19.426,17.89,17.081,17.958,15.37,15.123,14.87,-1.2106833333333344,0.6949999999999866,-1.9640930232558098,-2.447232558139529,-0.4831395348837195,umag_gmag_rmag_imag,-58.697403,17.897,4.429,5.234,7.13,2226,3.806,16.25,157.094569,1,0,1,0
