,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,outlier_columns,RAJ2000,DEJ2000,em
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,umag,93.283401,23.857319,0.0
76,10.98,10.13,12.87,11.1,11.35,9.06,9.16,9.08,gmag | Jmag,59.076031,51.13302,0.0
89,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,gmag,88.2362508,23.1526269,1.0
90,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,gmag,88.236244,23.152603,1.0
144,11.17,10.63,12.74,11.11,11.32,9.57,9.56,9.49,gmag,59.017563,51.008247,0.0
264,19.45,17.23,14.22,12.36,13.63,9.65,8.91,8.51,Hmag | Kmag,308.255134,40.542745,0.0
275,17.56,16.46,13.81,12.2,13.27,9.78,9.14,8.75,Kmag,308.1472356,41.2459394,0.0
299,17.129,15.965,13.61,12.248,13.113,9.942,9.267,8.845,Kmag,152.228729,-57.276443,0.0
314,17.23,15.975,13.523,12.1,13.031,9.67,8.93,8.536,Hmag | Kmag,152.448798,-57.33116,0.0
321,17.566,15.969,13.405,11.925,12.928,9.317,8.56,8.115,Jmag | Hmag | Kmag,152.325021,-57.545887,0.0
327,17.929,16.214,13.487,11.917,12.97,9.144,8.367,7.875,Jmag | Hmag | Kmag,152.598693,-57.463467,0.0
338,17.728,16.367,13.978,12.543,13.478,10.023,9.224,8.802,Kmag,153.389629,-56.957887,0.0
379,16.304,15.184,12.878,11.698,12.404,9.383,8.702,8.27,Jmag | Hmag | Kmag,153.926987,-57.016295,0.0
412,16.936,15.48,12.953,11.486,12.341,8.693,7.87,7.414,Jmag | Hmag | Kmag,153.668178,-57.407289,0.0
433,20.597,18.508,15.374,13.514,14.826,10.056,9.057,8.424,Hmag | Kmag,154.220685,-57.090546,0.0
466,16.588,15.619,13.41,12.131,12.934,9.722,9.025,8.567,Hmag | Kmag,154.072129,-57.348754,0.0
522,17.558,16.161,13.57,12.095,13.049,9.327,8.474,7.953,Jmag | Hmag | Kmag,154.177204,-57.54657,0.0
582,14.975,14.257,12.236,11.081,11.762,8.968,8.297,7.94,Jmag | Hmag | Kmag,154.224633,-57.917252,0.0
587,14.794,14.27,12.475,11.404,12.034,9.516,8.969,8.667,Hmag | Kmag,153.990057,-58.156718,0.0
718,19.141,17.146,14.245,12.551,13.746,9.479,8.656,8.113,Hmag | Kmag,156.036587,-57.159384,0.0
736,15.7,14.928,12.883,11.681,12.432,9.315,8.62,8.2,Jmag | Hmag | Kmag,155.131682,-58.052421,0.0
750,17.844,16.488,14.034,12.574,13.513,9.87,9.1,8.6,Kmag,155.582926,-57.769781,0.0
830,14.6,14.32,12.575,11.566,12.225,9.273,8.673,8.371,Jmag | Hmag | Kmag,156.00499,-57.75862,0.0
839,14.593,14.293,12.563,11.542,12.169,9.45,8.95,8.52,Hmag | Kmag,156.009539,-57.759795,0.0
1401,14.979,14.243,12.437,11.366,11.68,9.488,8.925,8.498,Hmag | Kmag,158.143987,-58.818031,1.0
1994,15.168,14.395,12.444,11.318,11.885,9.005,8.365,8.059,Jmag | Hmag | Kmag,160.281809,-59.199053,0.0
2064,14.353,13.961,12.394,11.538,11.903,9.465,8.881,8.555,Hmag | Kmag,160.248764,-59.454645,1.0
2218,17.744,16.371,13.813,12.309,13.302,9.674,8.837,8.406,Hmag | Kmag,161.481177,-58.782316,0.0
2526,16.736,16.161,13.962,12.592,13.489,9.756,8.88,8.334,Hmag | Kmag,161.403107,-59.783881,0.0
2642,15.297,14.605,12.68,11.556,12.232,9.689,9.12,8.725,Kmag,162.343201,-59.220889,0.0
4675,16.992,15.882,13.628,12.295,13.172,10.076,9.316,8.894,Kmag,166.195291,-61.745825,0.0
5034,16.71,15.442,13.14,11.778,12.642,9.577,8.856,8.469,Hmag | Kmag,167.855369,-60.884853,0.0
5085,14.948,14.293,12.512,11.497,12.127,9.699,9.197,8.898,Kmag,168.125393,-60.650857,0.0
5451,16.262,15.748,13.7,12.411,13.154,9.975,9.167,8.738,Kmag,168.747828,-61.242734,0.0
5640,16.351,15.423,13.115,11.7,12.603,9.018,8.19,7.617,Jmag | Hmag | Kmag,168.918911,-61.330502,0.0
5844,14.949,14.26,12.473,11.405,12.035,9.485,8.892,8.531,Hmag | Kmag,169.582737,-61.559307,0.0
5886,15.297,14.487,12.594,11.352,12.067,9.205,8.511,8.126,Jmag | Hmag | Kmag,169.767548,-61.469052,0.0
6003,20.484,18.317,15.149,13.372,14.604,9.97,9.007,8.402,Hmag | Kmag,170.078909,-61.949044,0.0
7430,16.87,14.44,12.51,11.62,12.13,9.924,9.015,8.747,Hmag | Kmag,157.0076667,-57.6604167,0.0
7620,19.19,15.99,13.72,12.08,13.14,9.836,8.866,8.505,Hmag | Kmag,282.1047917,-5.9663611,0.0
8152,18.69,15.6,13.52,12.09,13.01,10.053,9.082,8.692,Hmag | Kmag,189.9250417,-60.6311667,0.0
8321,20.27,16.75,14.24,12.35,13.66,9.725,8.603,8.161,Hmag | Kmag,190.0200417,-60.5746389,0.0
8641,14.21,13.95,13.34,12.93,13.15,12.348,9.971,8.329,Kmag,251.6933333,-46.9339444,0.0
8841,18.88,15.78,13.35,12.23,12.9,9.957,8.99,8.636,Hmag | Kmag,264.1210417,-32.4676667,0.0
8876,20.66,16.88,14.0,12.59,13.46,9.7,8.521,8.118,Hmag | Kmag,264.2351667,-32.4439722,0.0
9173,20.29,16.89,14.1,12.64,13.6,10.106,9.07,8.703,Hmag | Kmag,280.0740417,-8.5098889,0.0
9186,20.14,16.66,14.01,12.48,13.43,9.984,8.943,8.58,Hmag | Kmag,280.0848333,-8.38975,0.0
9432,24.635,17.203,16.66,16.17,16.48,15.515,15.3,15.175,umag,81.378157,29.639252,1.0
9610,19.594,18.11,17.7,17.24,17.51,16.625,16.7,17.006,Kmag,82.194882,29.124321,1.0
9854,20.728,19.168,18.39,17.73,18.08,17.013,16.539,17.15,Kmag,81.575928,28.923403,1.0
9929,24.651,14.845,14.63,13.68,14.19,12.102,11.286,11.082,umag,88.095161,20.697878,1.0
9962,14.853,13.601,12.86,12.31,12.37,10.7,9.547,8.578,Kmag,87.72822,20.246568,1.0
9983,21.713,21.633,17.7,15.2,17.0,11.054,9.331,8.658,Kmag,100.28466,10.402258,1.0
