,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,RAJ2000,DEJ2000,em
29,13.54,12.15,12.02,11.63,11.39,11.4,11.29,11.16,1.328658008658007,1.0585380116959056,1.0028971962616813,1.0456140350877203,0.9076635514018698,1.6094392523364467,-0.09578947368420901,-0.16144859813083978,0.34168224299065364,0.3227102803738305,-0.00045751633986720885,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,92.96136,25.49007,1.0
38,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-1.6301298701298688,-2.6732748538011686,-2.1820093457943908,-0.13450292397660868,0.3263551401869168,2.6079439252336476,1.2957894736842095,1.5151401869158874,3.2211682242990665,1.1832710280373844,-0.037450980392157274,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,59.558931,52.173432,1.0
39,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-1.6301298701298688,-2.6732748538011686,-2.1820093457943908,-0.13450292397660868,0.3263551401869168,2.6079439252336476,1.2957894736842095,1.5151401869158874,3.2211682242990665,1.1832710280373844,-0.037450980392157274,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,59.558959,52.173405,1.0
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,3.2584415584415614,2.2717543859649147,2.9721495327102834,10.17157894736842,10.305607476635513,10.85766355140187,4.763684210526313,4.827476635514016,5.242009345794393,0.2896261682243005,0.08849673202614368,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,93.283401,23.857319,0.0
42,13.3,15.09,12.91,11.81,11.76,10.49,10.24,10.01,-2.8186580086580078,-3.880760233918127,-3.486121495327102,-0.9480116959064315,-0.7277570093457939,1.4273831775700927,1.5431578947368423,1.647990654205607,3.2428504672897183,1.0859813084112144,0.05457516339869248,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,307.8161506,45.4200264,1.0
43,11.08,11.18,12.63,11.21,11.29,10.36,10.28,10.27,0.5841991341991349,-0.08087719298245506,-0.043971962616822374,-3.277251461988304,-2.852429906542058,-0.02981308411215247,-2.2721052631578957,-2.0699065420560765,0.02943925233644619,1.4424299065420556,0.07150326797385646,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.8407956,52.6647547,0.0
56,13.78,12.4,12.06,11.57,11.56,11.31,11.23,11.22,1.2195670995670986,0.8509356725146189,0.9521495327102796,1.1239766081871334,1.234018691588784,2.197476635514018,0.056315789473683986,0.10869158878504664,0.8225700934579442,0.4871962616822433,0.07150326797385646,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,101.8337936,9.8692697,0.0
57,14.42,13.05,12.58,11.92,12.02,11.31,11.2,11.13,1.1482251082251071,0.6497076023391801,0.8453738317756997,1.0371929824561401,1.2957009345794388,2.625233644859813,0.08789473684210586,0.2109345794392528,1.2042990654205612,0.6880373831775701,0.05052287581699595,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,59.8230849,50.4115965,0.0
58,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-1.5722510822510838,-2.4960233918128676,-2.083691588785048,0.6517543859649104,0.8935514018691583,2.6175700934579456,1.7263157894736842,1.8414018691588792,3.1222897196261705,0.8784112149532723,0.11163398692810361,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,90.0966072,23.1843864,1.0
59,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-1.5722510822510838,-2.4960233918128676,-2.083691588785048,0.6517543859649104,0.8935514018691583,2.6175700934579456,1.7263157894736842,1.8414018691588792,3.1222897196261705,0.8784112149532723,0.11163398692810361,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,90.096597,23.184375,1.0
68,13.6,12.79,12.74,11.65,11.71,10.75,10.62,10.58,0.7864069264069274,0.0833333333333347,0.2599065420560762,-0.4658479532163744,-0.1411214953271025,2.0251401869158876,-0.5810526315789483,-0.4264953271028044,1.1845794392523357,1.1068224299065421,0.09601307189542635,gmag_rmag_imag | gmag_rmag_Hamag,59.3023628,50.1102214,0.0
76,10.98,10.13,12.87,11.1,11.35,9.06,9.16,9.08,2.142900432900432,1.4683040935672502,1.4714018691588775,-4.042982456140349,-3.3673831775700913,0.19308411214953342,-3.764736842105261,-3.443177570093456,-0.784252336448597,1.8400934579439248,-0.16797385620915,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,59.076031,51.13302,0.0
77,14.17,12.0,12.21,11.64,11.68,11.43,11.34,11.35,2.2690909090909095,1.940526315789474,2.0070093457943923,1.2666666666666657,1.4448598130841104,2.5800934579439234,-0.5400000000000009,-0.45518691588785176,0.3897196261682231,0.5812149532710281,0.09849673202614347,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,101.3984,10.467609,0.0
79,13.92,12.5,12.08,11.51,11.62,11.0,10.9,10.84,1.2218181818181817,0.7889473684210525,0.9717757009345791,1.1466666666666665,1.3928971962616814,2.5477570093457937,0.0899999999999998,0.2071962616822426,1.0717289719626166,0.6008411214953272,0.049019607843136484,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,65.3810728,56.283725,0.0
81,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,2.536060606060607,2.1959064327485387,2.271355140186917,1.6366666666666667,1.814859813084113,2.9500934579439266,-0.4700000000000007,-0.3851869158878507,0.4597196261682247,0.5812149532710286,-0.04248366013071955,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,87.0868689,21.5004469,0.0
82,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,2.536060606060607,2.1959064327485387,2.271355140186917,1.6366666666666667,1.814859813084113,2.9500934579439266,-0.4700000000000007,-0.3851869158878507,0.4597196261682247,0.5812149532710286,-0.04248366013071955,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,87.086859,21.500454,0.0
87,13.68,12.03,12.03,11.62,11.64,11.34,11.35,11.31,1.6500000000000004,1.3886549707602343,1.451355140186917,1.1512865497076026,1.270934579439254,2.0850467289719647,-0.23736842105263162,-0.18042056074766294,0.4248598130841133,0.41560747663551456,-0.04398692810457422,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,348.674884,56.380257,0.0
89,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,1.4876623376623392,0.8267251461988326,0.7577102803738334,-3.098888888888888,-2.7759813084112146,0.20738317757009217,-2.740000000000001,-2.5863084112149544,-0.3771495327102825,1.5059813084112144,0.023529411764707436,umag_gmag_rmag | umag_gmag_imag | umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,88.2362508,23.1526269,1.0
90,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,1.4876623376623392,0.8267251461988326,0.7577102803738334,-3.098888888888888,-2.7759813084112146,0.20738317757009217,-2.740000000000001,-2.5863084112149544,-0.3771495327102825,1.5059813084112144,0.023529411764707436,umag_gmag_rmag | umag_gmag_imag | umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,88.236244,23.152603,1.0
96,18.05,16.05,14.27,13.26,13.84,11.53,10.74,10.46,1.1600865800865796,0.22157894736842065,0.8743457943925232,2.551461988304095,3.3620560747663566,5.516355140186917,1.1952631578947381,1.5810747663551414,3.220934579439253,1.1726168224299063,0.5520915032679736,umag_gmag_rmag | umag_gmag_Hamag,89.938822,21.720676,0.0
98,13.95,12.85,12.57,12.21,12.26,11.75,11.69,11.62,0.9678787878787878,0.6920467836257315,0.799485981308411,0.9421052631578946,1.0786915887850452,1.8026168224299037,0.07157894736842077,0.13658878504672814,0.6771495327102783,0.3740186915887842,0.0005228758169937286,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,93.26622,24.248615,0.0
103,13.8,12.09,12.85,11.6,11.85,10.47,10.37,10.29,2.0686147186147195,1.397660818713451,1.5877570093457951,-0.5704678362573086,-0.021962616822428616,2.5130841121495338,-1.4836842105263155,-1.2226168224299063,0.675747663551402,1.3200934579439252,0.032026143790851044,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.126724,51.087715,0.0
105,13.17,12.05,12.14,11.86,11.85,11.59,11.55,11.46,1.1624675324675315,0.9988888888888873,1.018130841121494,0.6894152046783606,0.7481308411214939,1.2974766355140195,-0.2521052631578952,-0.22415887850467314,0.18257009345794536,0.2771962616822442,-0.03647058823529484,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,101.7906069,11.7857369,0.0
106,13.18,12.23,12.42,12.09,12.01,11.95,11.95,11.92,1.0396536796536786,0.8607602339181276,0.8379439252336438,0.35859649122806997,0.36149532710280347,0.9898130841121493,-0.38105263157894687,-0.3796728971962612,0.08056074766355192,0.30757009345794395,-0.025490196078430824,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,102.86676,11.270406,0.0
111,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,2.668614718614719,1.8701754385964922,2.1317289719626173,-0.21374269005847757,0.47112149532710434,3.4257943925233643,-1.5994736842105257,-1.2735046728971957,0.9426168224299059,1.5453271028037376,0.09503267973856212,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.23572,51.238834,0.0
112,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,2.668614718614719,1.8701754385964922,2.1317289719626173,-0.21374269005847757,0.47112149532710434,3.4257943925233643,-1.5994736842105257,-1.2735046728971957,0.9426168224299059,1.5453271028037376,0.09503267973856212,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.235759,51.238823,0.0
114,13.98,12.86,12.55,12.12,12.21,11.75,11.65,11.6,0.9737229437229453,0.6483040935672524,0.7889252336448616,0.9069590643274834,1.0995327102803738,1.972710280373835,0.06105263157894528,0.1527102803738306,0.8068691588785061,0.45523364485981505,0.05751633986928009,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,86.790841,21.223821,0.0
115,14.21,12.7,11.88,11.64,11.7,11.15,11.05,11.0,1.1230735930735953,0.8343274853801195,1.0006542056074783,2.0380701754385964,2.1550467289719615,2.6451401869158864,0.6810526315789458,0.7367289719626147,1.1045794392523343,0.2568224299065419,0.05751633986928009,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,55.4238473,49.3262792,0.0
122,14.46,15.81,12.52,11.57,11.53,10.17,9.72,9.31,-2.9024242424242424,-4.052690058479532,-3.53,0.7844444444444469,0.9777570093457957,2.8399065420560743,2.7400000000000015,2.8320093457943933,4.210280373831775,0.938785046728971,0.10163398692810383,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,346.162464,59.036368,1.0
128,12.87,11.58,12.19,11.57,11.54,11.1,10.99,10.97,1.5778354978354967,1.2836257309941512,1.2696261682242977,-0.07415204678362486,0.04822429906542003,1.2624299065420537,-0.9689473684210516,-0.9107009345794388,-0.01228971962616928,0.6115887850467279,0.09300653594771222,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,92.6009792,23.9796111,0.0
129,20.28,17.36,15.13,13.79,14.61,11.66,10.64,10.33,1.8677489177489202,0.6443859649122827,1.5192990654205627,3.5200584795321626,4.644579439252336,7.51691588785047,1.4542105263157872,1.9894392523364468,4.179252336448599,1.5699065420560765,0.7566013071895417,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | Jmag_Hmag_Kmag,100.55307,9.502543,0.0
131,14.05,12.75,12.72,12.32,12.36,12.08,12.08,11.99,1.285844155844157,1.025906432748539,1.1013551401869164,0.8434502923976606,0.9800934579439242,1.7800934579439245,-0.20157894736842186,-0.13654205607476752,0.45971962616822337,0.41121495327102814,-0.07647058823529398,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,102.2386869,11.4750756,0.0
132,14.05,12.75,12.72,12.32,12.36,12.08,12.08,11.99,1.285844155844157,1.025906432748539,1.1013551401869164,0.8434502923976606,0.9800934579439242,1.7800934579439245,-0.20157894736842186,-0.13654205607476752,0.45971962616822337,0.41121495327102814,-0.07647058823529398,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,102.2387,11.475078,0.0
135,13.65,12.42,12.1,11.93,11.88,11.53,11.48,11.43,1.0790043290043294,0.9176608187134506,0.9549532710280383,1.3432163742690066,1.3361682242990673,1.6573831775700953,0.22157894736842138,0.2182242990654214,0.4528504672897206,0.15598130841121519,0.0075163398692793815,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,92.4660947,23.6290914,0.0
136,13.52,12.45,12.34,12.03,12.09,11.68,11.62,11.61,1.0180952380952386,0.8022807017543863,0.8866355140186922,0.8029239766081864,0.9370093457943923,1.5651401869158887,-0.06947368421052713,-0.005654205607477175,0.46457943925233675,0.3268224299065427,0.05150326797385689,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,102.1820219,12.2026156,0.0
137,13.22,12.05,12.34,11.53,11.56,11.15,11.09,11.04,1.3068398268398265,0.8385380116959056,0.9204205607476634,-0.10526315789473639,0.12186915887850625,1.7275700934579465,-0.7589473684210519,-0.6508411214953258,0.5422897196261705,0.8184112149532718,0.017516339869280945,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,87.503916,21.590122,0.0
139,13.2,12.02,11.82,11.51,11.56,11.18,11.11,11.04,1.0856277056277057,0.8549122807017543,0.9457009345794395,1.0029239766081857,1.1272897196261675,1.752616822429907,0.020526315789472727,0.07971962616822371,0.5471495327102807,0.32401869158878577,0.010522875816993515,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,90.8150653,23.206065,0.0
140,12.6,12.09,12.18,11.74,11.72,11.31,11.28,11.22,0.5524675324675322,0.28690058479532166,0.3215420560747666,-0.11520467836257242,-0.027102803738316805,0.8349532710280374,-0.3447368421052627,-0.3028037383177564,0.3351401869158878,0.4343925233644856,-0.02098039215686051,gmag_rmag_imag,92.9184917,23.8194097,0.0
141,12.6,12.09,12.18,11.74,11.72,11.31,11.28,11.22,0.5524675324675322,0.28690058479532166,0.3215420560747666,-0.11520467836257242,-0.027102803738316805,0.8349532710280374,-0.3447368421052627,-0.3028037383177564,0.3351401869158878,0.4343925233644856,-0.02098039215686051,gmag_rmag_imag,92.918508,23.819286,0.0
142,13.98,12.28,12.17,11.88,11.88,11.74,11.76,11.73,1.6480952380952394,1.4450292397660838,1.4962616822429924,1.4572514619883057,1.5281308411214967,2.0999999999999996,-0.057894736842105304,-0.024158878504673048,0.3999999999999986,0.28999999999999915,-0.0454901960784304,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,105.7442908,4.5595814,0.0
144,11.17,10.63,12.74,11.11,11.32,9.57,9.56,9.49,1.5356277056277046,0.8459649122807,0.89144859813084,-3.552690058479533,-2.9501869158878504,0.32299065420560896,-3.0536842105263156,-2.7669158878504665,-0.3239719626168205,1.6888785046728982,-0.04947712418300698,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.017563,51.008247,0.0
149,13.15,11.87,12.29,11.8,11.82,10.73,10.76,10.64,1.4781818181818194,1.2353801169590664,1.2545327102803756,0.26397660818713775,0.40317757009346034,1.3750467289719617,-0.7036842105263148,-0.6374299065420554,0.08485981308411034,0.49560747663551236,-0.13196078431372416,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,93.138295,23.8281472,0.0
150,14.44,13.12,12.38,11.75,11.96,11.09,10.87,10.79,0.9708225108225119,0.4467251461988313,0.7291588785046741,1.2936842105263138,1.6517757009345784,2.952990654205608,0.37526315789473486,0.5457009345794378,1.5260280373831774,0.6888785046728982,0.15202614379085028,umag_gmag_rmag,99.728,10.447488,0.0
152,13.87,12.77,12.65,12.34,12.43,11.85,11.81,11.72,1.0433766233766233,0.8259064327485379,0.9268224299065418,0.8429239766081855,1.0061682242990637,1.642710280373831,-0.059473684210527344,0.018224299065419503,0.49686915887850425,0.33523364485981355,-0.03647058823529484,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,301.6830486,31.783355,0.0
154,14.09,14.69,12.65,11.94,12.06,11.38,11.25,11.18,-1.5625974025974019,-2.3529239766081864,-1.9395794392523353,0.5763742690058467,0.8665420560747661,2.3002803738317774,1.6289473684210514,1.7670560747663544,2.8391588785046737,0.7436448598130853,0.07052287581699401,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,93.885612,23.662258,0.0
155,12.38,12.12,12.37,11.74,11.74,11.51,11.47,11.43,0.3779653679653695,0.01777777777778,0.06644859813084322,-0.7563157894736813,-0.6023364485981282,0.6400000000000006,-0.6147368421052626,-0.5414485981308406,0.379999999999999,0.629999999999999,0.006013071895423203,gmag_rmag_imag | gmag_rmag_Hamag,102.36025,11.521113,0.0
