,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,RAJ2000,DEJ2000,em
0,14.41,14.29,13.33,12.74,12.54,11.81,11.48,11.19,-0.9518333333333318,-4.945294117647065,0.62697674418605,2.047441860465121,1.4204651162790711,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,64.458939,53.423931,1.0
1,14.41,14.29,13.33,12.74,12.54,11.81,11.48,11.19,-0.9518333333333318,-4.945294117647065,0.62697674418605,2.047441860465121,1.4204651162790711,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,64.4589367,53.4239286,1.0
2,14.06,14.0,12.83,12.34,12.1,11.79,11.51,11.25,-0.8301666666666664,-4.620588235294122,0.6683720930232565,2.3909302325581403,1.722558139534884,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,62.83595,53.234539,1.0
3,15.06,14.73,13.83,13.32,13.12,12.54,12.25,12.02,-0.5964999999999993,-4.222352941176477,0.8369767441860491,2.1974418604651214,1.3604651162790724,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,309.19739,34.1965017,1.0
4,14.12,13.27,12.35,11.87,11.51,11.0,10.71,10.41,-0.022000000000000908,-4.535882352941178,1.7625581395348815,3.511395348837205,1.748837209302324,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,63.4037767,52.7429414,1.0
5,14.12,13.27,12.35,11.87,11.51,11.0,10.71,10.41,-0.022000000000000908,-4.535882352941178,1.7625581395348815,3.511395348837205,1.748837209302324,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,63.40378,52.742943,1.0
6,16.49,16.13,13.95,12.93,13.1,11.16,10.66,10.32,-1.4929999999999992,-5.09,-0.07093023255813968,1.717674418604651,1.7886046511627907,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,88.852667,22.910194,1.0
7,14.2,13.87,12.8,12.32,12.31,11.54,11.34,11.13,-0.5420000000000005,-2.8117647058823554,0.3553488372093018,1.4483720930232533,1.0930232558139514,gmag_rmag_imag_Hamag,66.012181,54.397028,1.0
8,16.67,16.25,15.19,14.48,14.64,13.19,12.77,12.48,-0.8698333333333297,-3.1064705882352865,0.014418604651164346,0.706046511627909,0.6916279069767446,gmag_rmag_imag_Hamag,88.577333,22.903944,1.0
9,16.06,15.71,14.63,14.22,14.23,13.46,13.24,13.02,-0.3948333333333356,-2.2147058823529466,0.3246511627906961,1.3816279069767432,1.0569767441860471,gmag_rmag_imag_Hamag,80.210909,28.357143,1.0
10,15.05,15.12,14.62,14.17,14.06,13.44,13.15,12.98,-0.887499999999997,-3.6605882352941093,0.20883720930232547,0.9620930232558124,0.753255813953487,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,102.8430914,-0.2858156,1.0
11,15.85,15.5,14.12,13.29,13.55,12.17,11.73,11.33,-1.1578333333333335,-3.304705882352933,-0.30906976744186443,0.4723255813953424,0.7813953488372068,gmag_rmag_imag_Hamag,324.3077244,51.6485219,1.0
12,14.34,14.64,13.65,13.33,13.25,12.78,12.64,12.49,-0.8813333333333344,-2.864705882352945,-0.09720930232558203,1.076976744186046,1.1741860465116283,gmag_rmag_imag_Hamag,94.2455333,25.2571656,1.0
13,14.34,14.64,13.65,13.33,13.25,12.78,12.64,12.49,-0.8813333333333344,-2.864705882352945,-0.09720930232558203,1.076976744186046,1.1741860465116283,gmag_rmag_imag_Hamag,94.245542,25.257194,1.0
15,15.6,15.65,15.04,14.59,14.55,13.87,13.65,13.41,-0.8674999999999992,-3.1917647058823446,0.05139534883720638,0.7534883720930194,0.7020930232558131,gmag_rmag_imag_Hamag,82.132272,27.19626,1.0
16,15.77,15.55,14.7,14.19,14.26,13.28,13.04,12.84,-0.7065000000000005,-2.6011764705882343,0.04255813953488194,0.7313953488372085,0.6888372093023265,gmag_rmag_imag_Hamag,89.725583,22.050056,1.0
17,15.15,14.81,13.86,13.32,13.42,12.5,12.22,12.09,-0.6409999999999983,-2.4811764705882333,0.08651162790697764,0.8062790697674448,0.7197674418604671,gmag_rmag_imag_Hamag,63.9361464,53.8322308,1.0
19,15.95,15.74,14.61,13.76,13.92,12.47,12.02,11.56,-1.3341666666666665,-4.214117647058822,-0.19558139534883828,0.5660465116279066,0.7616279069767449,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,89.586701,22.879454,1.0
20,14.84,14.83,12.98,12.29,12.43,11.34,10.98,10.64,-1.2435000000000023,-3.5164705882353,-0.34488372093023406,1.1827906976744158,1.5276744186046498,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,56.368536,50.057221,1.0
21,14.84,14.83,12.98,12.29,12.43,11.34,10.98,10.64,-1.2435000000000023,-3.5164705882353,-0.34488372093023406,1.1827906976744158,1.5276744186046498,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,56.368509,50.057241,1.0
22,13.76,14.0,13.17,12.79,12.81,12.3,12.18,12.13,-0.9303333333333348,-2.5482352941176445,-0.2906976744186083,0.4932558139534817,0.78395348837209,gmag_rmag_imag_Hamag,102.798518,-0.304842,0.0
24,15.25,14.4,13.02,12.42,12.61,11.53,11.29,11.12,-0.23999999999999932,-1.778823529411767,0.36837209302325696,1.310930232558143,0.9425581395348859,gmag_rmag_imag_Hamag,56.463593,49.815753,1.0
25,13.6,13.32,12.68,12.53,12.5,12.06,12.01,11.95,0.007499999999998785,-0.8741176470588228,0.3560465116279047,1.0651162790697641,0.7090697674418596,gmag_rmag_imag_Hamag,92.58067,23.76953,1.0
26,13.6,13.32,12.68,12.53,12.5,12.06,12.01,11.95,0.007499999999998785,-0.8741176470588228,0.3560465116279047,1.0651162790697641,0.7090697674418596,gmag_rmag_imag_Hamag,92.5806708,23.7695306,1.0
28,13.47,13.41,12.72,12.51,12.5,12.04,11.99,11.92,-0.32150000000000095,-1.3505882352941216,0.08534883720930227,0.7983720930232547,0.7130232558139525,gmag_rmag_imag_Hamag,92.798468,23.590042,0.0
29,13.54,12.15,12.02,11.63,11.39,11.4,11.29,11.16,0.6815000000000012,-2.649411764705879,1.9983720930232547,2.6809302325581394,0.6825581395348846,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,92.96136,25.49007,1.0
34,13.38,12.59,12.1,11.59,11.45,11.29,11.23,11.15,-0.1364999999999984,-3.3776470588235323,1.1448837209302347,1.9572093023255848,0.8123255813953502,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,92.968107,23.729066,1.0
35,14.5,13.8,12.77,12.43,12.53,11.82,11.66,11.63,0.08233333333333304,-0.8388235294117672,0.44651162790697707,1.2462790697674442,0.7997674418604672,gmag_rmag_imag_Hamag,99.315126,10.096934,0.0
37,16.62,15.96,14.49,13.43,13.78,12.4,12.0,11.8,-1.265666666666667,-3.892352941176477,-0.2272093023255799,0.43697674418605015,0.6641860465116298,umag_gmag_rmag_Hamag,90.118083,22.939422,1.0
38,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-2.7628333333333335,-6.737058823529409,-1.1916279069767461,0.32093023255813413,1.5125581395348804,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.558931,52.173432,1.0
39,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-2.7628333333333335,-6.737058823529409,-1.1916279069767461,0.32093023255813413,1.5125581395348804,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.558959,52.173405,1.0
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,5.089499999999999,4.297647058823524,5.402558139534885,10.161395348837209,4.758837209302323,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,93.283401,23.857319,0.0
42,13.3,15.09,12.91,11.81,11.76,10.49,10.24,10.01,-3.7883333333333313,-9.16352941176471,-1.6632558139534859,0.6318604651162829,2.295116279069769,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,307.8161506,45.4200264,1.0
43,11.08,11.18,12.63,11.21,11.29,10.36,10.28,10.27,-2.6796666666666655,-8.691764705882365,-0.3027906976744138,-1.9369767441860386,-1.634186046511625,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.8407956,52.6647547,0.0
56,13.78,12.4,12.06,11.57,11.56,11.31,11.23,11.22,0.4898333333333321,-1.8258823529411785,1.4053488372093008,1.7683720930232536,0.36302325581395284,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,101.8337936,9.8692697,0.0
57,14.42,13.05,12.58,11.92,12.02,11.31,11.2,11.13,0.17099999999999915,-2.2205882352941226,1.1165116279069771,1.3562790697674436,0.2397674418604667,umag_gmag_imag_Hamag,59.8230849,50.4115965,0.0
58,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-2.100500000000003,-5.905882352941179,-0.5960465116279112,1.5648837209302262,2.160930232558137,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,90.0966072,23.1843864,1.0
59,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-2.100500000000003,-5.905882352941179,-0.5960465116279112,1.5648837209302262,2.160930232558137,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,90.096597,23.184375,1.0
60,15.18,14.35,13.07,12.49,12.73,11.63,11.38,11.23,-0.22366666666666646,-1.3499999999999996,0.22162790697674406,0.9490697674418596,0.7274418604651155,gmag_rmag_imag_Hamag,57.209205,48.889387,1.0
62,14.67,14.29,13.29,13.12,13.16,12.83,12.81,12.72,0.07116666666666766,-0.45352941176469896,0.2786046511627892,1.1865116279069732,0.907906976744184,gmag_rmag_imag_Hamag,102.06487,11.615943,0.0
63,13.83,14.09,13.03,12.49,12.64,11.88,11.72,11.62,-1.2409999999999979,-2.7605882352941107,-0.6402325581395354,0.07441860465116223,0.7146511627906975,gmag_rmag_imag_Hamag,346.600634,57.709463,0.0
66,13.99,13.81,12.95,12.72,12.76,12.4,12.35,12.3,-0.23783333333333107,-1.0382352941176445,0.07860465116279262,0.846511627906982,0.7679069767441893,gmag_rmag_imag_Hamag,91.400495,24.174836,0.0
67,13.99,13.81,12.95,12.72,12.76,12.4,12.35,12.3,-0.23783333333333107,-1.0382352941176445,0.07860465116279262,0.846511627906982,0.7679069767441893,gmag_rmag_imag_Hamag,91.400521,24.1748543,0.0
68,13.6,12.79,12.74,11.65,11.71,10.75,10.62,10.58,-1.1701666666666655,-5.794117647058821,0.6579069767441854,0.5697674418604624,-0.08813953488372306,umag_gmag_rmag_Hamag,59.3023628,50.1102214,0.0
