,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,ID,DEJ2000,w1_err,e_gmag,e_rmag,objtype_SIMBAD,w1,e_umag,Fe_type,h,h_err,k_err,e_imag,e_Hamag,Halpha_type,e_Kmag,e_Jmag,RAJ2000,e_Hmag,k,objtype_Hou
0,14.68,14.28,13.47,12.99,13.33,12.347,12.072,12.003,0.017792207792208803,-0.4222807017543849,-0.08387850467289637,0.6261403508771917,1.0739252336448584,2.1157943925233638,0.5321052631578933,0.7452336448598116,1.5426168224299055,0.5753271028037388,0.216372549019609,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag,J063416.35+023030.2,2.5083942,0.054,0.0,0.0,,11.916,0.01,,12.072,0.024,0.027,0.01,0.0,I,0.027,0.023,98.568135,0.024,12.003,CBe
1,14.39,14.0,13.43,13.09,13.3,12.506,12.36,12.208,0.1210389610389615,-0.19005847953216315,0.03345794392523466,0.5464327485380128,0.8336448598130859,1.5629906542056091,0.37315789473684247,0.5098598130841129,1.0660280373831783,0.3988785046728973,0.016849673202615822,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,J063922.10+021541.1,2.2614222,0.023,0.0,0.01,,12.167,0.01,,12.36,0.022,0.021,0.02,0.01,VI,0.021,0.026,99.842121,0.022,12.208,CBe
2,14.21,14.26,13.62,13.26,13.4,12.703,12.469,12.387,-0.3519913419913412,-0.6874269005847942,-0.4880373831775686,0.15210526315789719,0.3761682242990682,1.1253271028037402,0.43157894736842195,0.5382242990654217,1.1040186915887855,0.3992523364485977,0.16432679738562178,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,J063535.19+013958.4,1.6662237,0.023,0.0,0.01,,12.329,0.01,,12.469,0.029,0.024,0.01,0.01,VI,0.024,0.027,98.896642,0.029,12.387,CBe
3,14.87,14.68,13.87,13.37,13.72,12.553,12.337,12.147,-0.19220779220779288,-0.6450292397660826,-0.29897196261682235,0.39181286549707617,0.8542056074766369,1.9383177570093475,0.5205263157894742,0.7406074766355152,1.5700467289719642,0.5981308411214957,0.05456209150326949,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,J063435.34+023210.5,2.5362503,0.025,0.0,0.01,,12.014,0.01,,12.337,0.025,0.026,0.01,0.02,II,0.026,0.026,98.647278,0.025,12.147,HII-region
4,14.87,14.68,13.87,13.37,13.72,12.553,12.337,12.147,-0.19220779220779288,-0.6450292397660826,-0.29897196261682235,0.39181286549707617,0.8542056074766369,1.9383177570093475,0.5205263157894742,0.7406074766355152,1.5700467289719642,0.5981308411214957,0.05456209150326949,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,J063435.34+023210.5,2.5362503,0.025,0.0,0.01,,12.014,0.01,,12.337,0.025,0.026,0.01,0.02,II,0.026,0.026,98.647278,0.025,12.147,HII-region
5,14.73,14.55,13.89,13.48,13.75,12.911,12.67,12.599,-0.13142857142857173,-0.5020467836257314,-0.22747663551401925,0.34128654970760214,0.7039252336448591,1.5881308411214947,0.4226315789473685,0.595233644859813,1.270607476635514,0.4857009345794393,0.18067320261437897,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,J063536.56+023113.7,2.5204741,0.024,0.0,0.01,,12.399,0.01,,12.67,0.022,0.026,0.01,0.01,II,0.026,0.023,98.902366,0.022,12.599,HII-region
6,14.87,14.33,13.58,13.06,13.48,12.287,12.058,11.932,0.18610389610389527,-0.2695321637426905,0.10705607476635454,0.6574853801169589,1.1928037383177565,2.3359813084112133,0.44894736842105293,0.7037383177570096,1.5820560747663546,0.6377570093457939,0.1219411764705897,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag,J063447.77+022527.8,2.4244091,0.023,0.0,0.01,White Dwarf Candidate,11.773,0.01,,12.058,0.029,0.029,0.02,0.01,II,0.029,0.026,98.699065,0.029,11.932,HII-region
7,16.26,15.35,14.27,13.64,14.1,12.468,12.125,11.921,0.4003896103896123,-0.17999999999999727,0.2733177570093479,1.223684210526319,1.824766355140189,3.1960747663551397,0.7152631578947375,1.001355140186916,2.0517757009345776,0.7589719626168212,0.16966666666666613,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,J063532.89+022916.6,2.487946,0.022,0.0,0.0,,11.766,0.01,,12.125,0.025,0.027,0.01,0.01,II,0.027,0.024,98.887069,0.025,11.921,HII-region
8,14.73,14.55,13.89,13.48,13.75,12.911,12.67,12.599,-0.13142857142857173,-0.5020467836257314,-0.22747663551401925,0.34128654970760214,0.7039252336448591,1.5881308411214947,0.4226315789473685,0.595233644859813,1.270607476635514,0.4857009345794393,0.18067320261437897,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,J063536.56+023113.7,2.5204741,0.024,0.0,0.01,,12.399,0.01,,12.67,0.022,0.026,0.01,0.01,II,0.026,0.023,98.902366,0.022,12.599,HII-region
10,18.751,17.357,16.85,16.42,16.69,15.734,15.666,15.155,1.1547662337662368,0.7967309941520503,1.0542663551401898,1.3779590643274857,1.745485981308411,2.6691308411214942,0.2580526315789455,0.4329813084112128,1.1376074766355113,0.5057009345794389,-0.3661830065359489,Jmag_Hmag_Kmag,J055201.93+211311.6,21.21989,0.037,0.005,0.0,,14.932,0.019,,15.666,0.101,0.129,0.01,0.01,II,0.129,0.061,88.008048,0.101,15.155,unknown
