,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,ID,DEJ2000,w1_err,e_gmag,e_rmag,objtype_SIMBAD,w1,e_umag,Fe_type,h,h_err,k_err,e_imag,e_Hamag,Halpha_type,e_Kmag,e_Jmag,RAJ2000,e_Hmag,k,objtype_Hou
0,14.68,14.28,13.47,12.99,13.33,12.347,12.072,12.003,-0.4720000000000002,-0.497647058823533,-0.4618604651162779,-0.4346511627906968,0.02720930232558083,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063416.35+023030.2,2.5083942,0.054,0.0,0.0,,11.916,0.01,,12.072,0.024,0.027,0.01,0.0,I,0.027,0.023,98.568135,0.024,12.003,CBe
1,14.39,14.0,13.43,13.09,13.3,12.506,12.36,12.208,-0.22766666666666568,-0.4435294117646992,-0.14232558139535012,-0.05581395348837481,0.08651162790697531,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063922.10+021541.1,2.2614222,0.023,0.0,0.01,,12.167,0.01,,12.36,0.022,0.021,0.02,0.01,VI,0.021,0.026,99.842121,0.022,12.208,CBe
2,14.21,14.26,13.62,13.26,13.4,12.703,12.469,12.387,-0.7039999999999977,-1.4605882352941097,-0.4048837209302328,-0.0872093023255821,0.3176744186046506,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063535.19+013958.4,1.6662237,0.023,0.0,0.01,,12.329,0.01,,12.469,0.029,0.024,0.01,0.01,VI,0.024,0.027,98.896642,0.029,12.387,CBe
3,14.87,14.68,13.87,13.37,13.72,12.553,12.337,12.147,-0.7183333333333336,-0.7717647058823447,-0.6972093023255851,-0.6930232558139593,0.004186046511625574,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063435.34+023210.5,2.5362503,0.025,0.0,0.01,,12.014,0.01,,12.337,0.025,0.026,0.01,0.02,II,0.026,0.026,98.647278,0.025,12.147,HII-region
4,14.87,14.68,13.87,13.37,13.72,12.553,12.337,12.147,-0.7183333333333336,-0.7717647058823447,-0.6972093023255851,-0.6930232558139593,0.004186046511625574,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063435.34+023210.5,2.5362503,0.025,0.0,0.01,,12.014,0.01,,12.337,0.025,0.026,0.01,0.02,II,0.026,0.026,98.647278,0.025,12.147,HII-region
5,14.73,14.55,13.89,13.48,13.75,12.911,12.67,12.599,-0.5648333333333337,-0.7176470588235336,-0.5044186046511616,-0.4660465116279042,0.03837209302325728,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063536.56+023113.7,2.5204741,0.024,0.0,0.01,,12.399,0.01,,12.67,0.022,0.026,0.01,0.01,II,0.026,0.023,98.902366,0.022,12.599,HII-region
6,14.87,14.33,13.58,13.06,13.48,12.287,12.058,11.932,-0.4046666666666665,-0.10117647058823409,-0.5246511627906978,-0.7416279069767433,-0.21697674418604584,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063447.77+022527.8,2.4244091,0.023,0.0,0.01,White Dwarf Candidate,11.773,0.01,,12.058,0.029,0.029,0.02,0.01,II,0.029,0.026,98.699065,0.029,11.932,HII-region
7,16.26,15.35,14.27,13.64,14.1,12.468,12.125,11.921,-0.23449999999999593,-0.17999999999999794,-0.25604651162790204,-0.2351162790697594,0.020930232558142192,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063532.89+022916.6,2.487946,0.022,0.0,0.0,,11.766,0.01,,12.125,0.025,0.027,0.01,0.01,II,0.027,0.024,98.887069,0.025,11.921,HII-region
8,14.73,14.55,13.89,13.48,13.75,12.911,12.67,12.599,-0.5648333333333337,-0.7176470588235336,-0.5044186046511616,-0.4660465116279042,0.03837209302325728,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J063536.56+023113.7,2.5204741,0.024,0.0,0.01,,12.399,0.01,,12.67,0.022,0.026,0.01,0.01,II,0.026,0.023,98.902366,0.022,12.599,HII-region
72,22.918,19.636,18.94,17.72,18.46,15.065,14.027,13.628,1.065666666666663,0.20435294117646707,1.4061860465116238,0.39846511627906045,-1.0077209302325638,umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,J055158.60+221514.6,22.254083,0.027,0.029,0.02,,12.609,0.966,,14.027,0.092,0.08,0.02,0.03,II,0.08,0.078,87.994208,0.092,13.628,unknown
