,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,Unnamed: 0,DEJ2000,LAMOST_sep,RAJ2000,model_prob,col1,original_index,Halpha
38,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-1.6301298701298688,-2.6732748538011686,-2.1820093457943908,-0.13450292397660868,0.3263551401869168,2.6079439252336476,1.2957894736842095,1.5151401869158874,3.2211682242990665,1.1832710280373844,-0.037450980392157274,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,98,52.173432,2.0,59.558931,0.38,98,98.00,1.0
39,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-1.6301298701298688,-2.6732748538011686,-2.1820093457943908,-0.13450292397660868,0.3263551401869168,2.6079439252336476,1.2957894736842095,1.5151401869158874,3.2211682242990665,1.1832710280373844,-0.037450980392157274,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,979,52.173405,2.0,59.558959,0.38,977,977.00,1.0
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,3.2584415584415614,2.2717543859649147,2.9721495327102834,10.17157894736842,10.305607476635513,10.85766355140187,4.763684210526313,4.827476635514016,5.242009345794393,0.2896261682243005,0.08849673202614368,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,634,23.857319,2.0,93.283401,0.38,632,632.00,0.0
42,13.3,15.09,12.91,11.81,11.76,10.49,10.24,10.01,-2.8186580086580078,-3.880760233918127,-3.486121495327102,-0.9480116959064315,-0.7277570093457939,1.4273831775700927,1.5431578947368423,1.647990654205607,3.2428504672897183,1.0859813084112144,0.05457516339869248,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,221,45.4200264,2.0,307.8161506,0.35,221,221.00,1.0
43,11.08,11.18,12.63,11.21,11.29,10.36,10.28,10.27,0.5841991341991349,-0.08087719298245506,-0.043971962616822374,-3.277251461988304,-2.852429906542058,-0.02981308411215247,-2.2721052631578957,-2.0699065420560765,0.02943925233644619,1.4424299065420556,0.07150326797385646,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,668,52.6647547,2.0,59.8407956,0.34,666,666.00,0.0
58,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-1.5722510822510838,-2.4960233918128676,-2.083691588785048,0.6517543859649104,0.8935514018691583,2.6175700934579456,1.7263157894736842,1.8414018691588792,3.1222897196261705,0.8784112149532723,0.11163398692810361,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,291,23.1843864,2.0,90.0966072,0.22,291,291.00,1.0
59,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-1.5722510822510838,-2.4960233918128676,-2.083691588785048,0.6517543859649104,0.8935514018691583,2.6175700934579456,1.7263157894736842,1.8414018691588792,3.1222897196261705,0.8784112149532723,0.11163398692810361,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,125,23.184375,2.0,90.096597,0.22,125,125.00,1.0
76,10.98,10.13,12.87,11.1,11.35,9.06,9.16,9.08,2.142900432900432,1.4683040935672502,1.4714018691588775,-4.042982456140349,-3.3673831775700913,0.19308411214953342,-3.764736842105261,-3.443177570093456,-0.784252336448597,1.8400934579439248,-0.16797385620915,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | rmag_imag_Hamag,939,51.13302,2.0,59.076031,0.18,937,937.00,0.0
77,14.17,12.0,12.21,11.64,11.68,11.43,11.34,11.35,2.2690909090909095,1.940526315789474,2.0070093457943923,1.2666666666666657,1.4448598130841104,2.5800934579439234,-0.5400000000000009,-0.45518691588785176,0.3897196261682231,0.5812149532710281,0.09849673202614347,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,621,10.467609,2.0,101.3984,0.18,619,619.00,0.0
81,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,2.536060606060607,2.1959064327485387,2.271355140186917,1.6366666666666667,1.814859813084113,2.9500934579439266,-0.4700000000000007,-0.3851869158878507,0.4597196261682247,0.5812149532710286,-0.04248366013071955,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,785,21.5004469,2.0,87.0868689,0.17,783,783.00,0.0
