,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
4,17.17,15.17,13.24,12.31,12.84,10.525,9.752,9.459,1.0893073593073614,0.17695906432748787,0.8132242990654226,2.7987719298245635,3.5412149532710293,5.52373831775701,1.391578947368421,1.744953271028037,3.253785046728971,1.078598130841121,0.5240457516339858,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,,-10.645,0.01,,0.06,0.0,,,False,1.444,,,0.01,,,1.137,73,14.267,0.01,NGC 2343,0.0,0.045,0.019,0.064,,,,,0.023,106.9956667,,,,,0.022,O
21,17.93,16.3,14.75,13.9,14.36,12.391,11.716,11.533,0.8986147186147173,0.10017543859649014,0.6418691588785033,2.1460818713450296,2.8009345794392515,4.606074766355138,1.0578947368421063,1.369579439252337,2.741775700934579,0.9789719626168218,0.5195098039215695,umag_gmag_rmag,,-20.6702222,0.0,,0.069,0.0,,,False,1.125,,,0.01,,,1.11,470,15.418,0.0,NGC 2421,0.0,0.034,0.026,0.056,,,,,0.024,113.9640833,,,,,0.027,O
87,16.95,15.37,14.02,13.31,13.66,12.12,11.552,11.37,0.9429870129870133,0.26690058479532275,0.7090186915887857,2.066374269005849,2.5800934579439256,4.078317757009344,0.9389473684210529,1.1834579439252335,2.320046728971961,0.8081308411214944,0.4133594771241823,umag_gmag_rmag | umag_gmag_Hamag,,-20.6145833,0.0,,0.062,0.0,,,False,0.94,,,0.01,,,0.983,292,14.557,0.0,NGC 2421,0.0,0.025,0.025,0.04,,,,,0.024,114.0394583,,,,,0.027,O
89,18.76,17.07,15.33,14.27,14.86,12.701,11.928,11.703,0.8689610389610403,-0.09479532163742577,0.5643457943925245,2.1406432748538027,2.973177570093459,5.228878504672899,1.1263157894736842,1.5225700934579438,3.238364485981309,1.225420560747664,0.5818235294117632,umag_gmag_rmag | umag_imag_Hamag,,-20.6793056,0.0,,0.077,0.0,,,True,1.173,,,0.03,,,1.297,490,16.02,0.01,NGC 2421,0.01,0.042,0.027,0.073,,,,,0.024,114.0395833,,,,,0.027,O
110,16.51,14.65,13.03,12.19,12.65,10.782,10.011,9.802,1.0955844155844163,0.29192982456140437,0.8413084112149547,2.45824561403509,3.1106542056074797,4.896074766355143,1.133684210526317,1.444205607476637,2.8017757009345807,0.9689719626168225,0.5934183006535959,umag_gmag_rmag | umag_gmag_Hamag,,-20.5578611,0.0,,0.06,0.0,,,False,1.073,,,0.01,,,1.17,105,13.698,0.0,NGC 2421,0.0,0.023,0.023,0.037,,,,,0.022,114.0512083,,,,,0.025,O
137,16.03,14.18,12.72,11.92,12.32,10.639,9.896,9.73,1.1610822510822532,0.40941520467836434,0.9026168224299085,2.3369005847953215,2.9212149532710283,4.610934579439254,0.9968421052631566,1.2749532710280365,2.5571962616822432,0.9121495327102812,0.6019542483660113,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,,-20.59125,0.0,,0.058,0.0,,,False,1.078,,,0.01,,,0.992,205,13.366,0.0,NGC 2421,0.0,0.019,0.019,0.031,,,,,0.026,114.0658333,,,,,0.021,O
153,17.44,17.2,16.31,15.71,16.02,15.08,15.037,14.583,-0.1799567099567082,-0.7097660818713419,-0.36102803738317535,0.4001754385964965,0.8481308411214987,2.118224299065419,0.5426315789473704,0.7558411214953281,1.7203271028037357,0.6869158878504649,-0.3427516339869293,Jmag_Hmag_Kmag,,-20.6786389,0.0,,0.093,0.01,,,True,0.53,,,0.01,,,0.701,487,16.482,0.01,NGC 2421,0.01,0.049,0.113,0.074,,,,,0.051,114.073125,,,,,0.079,O
165,19.95,16.73,14.29,12.98,13.77,10.709,9.637,9.278,2.068658008658007,0.8296491228070169,1.7123364485981296,4.066549707602341,5.154579439252337,7.9593457943925205,1.6815789473684233,2.1994392523364503,4.336962616822429,1.5314953271028022,0.7669673202614371,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-20.7111389,0.0,,0.069,0.0,,,True,1.544,,,0.08,,,1.788,571,15.265,0.0,NGC 2421,0.0,0.038,0.021,0.07,,,,,0.023,114.0834583,,,,,0.022,O
235,18.9,16.0,13.75,12.54,13.2,10.597,9.569,9.236,1.838311688311687,0.6945029239766067,1.4738317757009332,3.678187134502922,4.615420560747662,7.1865420560747655,1.549473684210526,1.995560747663551,3.950373831775702,1.3950467289719635,0.7450588235294103,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-20.6499444,0.0,,0.064,0.0,,,False,1.464,,,0.03,,,1.53,410,14.757,0.01,NGC 2421,0.0,0.031,0.019,0.054,,,,,0.024,114.1735,,,,,0.024,O
240,19.72,18.86,17.5,17.09,17.17,16.239,15.786,16.631,0.21826839826839806,-0.26824561403508795,-0.0007943925233636628,1.721286549707601,1.8992523364485987,2.7301869158878516,1.1226315789473678,1.207336448598131,1.8294392523364496,0.4324299065420567,1.170973856209152,Jmag_Hmag_Kmag,,-25.4831667,0.01,,0.115,0.05,,,True,0.512,,,0.02,,,0.485,822,17.701,0.05,Haffner 16,0.02,0.087,,0.118,,,,,0.094,117.4814167,,,,,0.126,O
