,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
132,13.58,13.72,13.41,13.12,13.03,12.826,12.691,12.654,-0.6668333333333355,-2.5764705882353005,0.0881395348837199,0.6053488372093013,0.5172093023255815,umag_gmag_rmag_Hamag,,-20.6948333,0.0,,0.057,0.0,,,True,0.582,,,0.0,,,0.284,530,13.537,0.0,NGC 2421,0.0,0.014,0.027,0.021,,,,,0.024,114.0628333,,,,,0.026,Be?
165,19.95,16.73,14.29,12.98,13.77,10.709,9.637,9.278,0.8401666666666685,-0.11411764705882321,1.2174418604651183,1.8386046511627971,0.6211627906976787,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,,-20.7111389,0.0,,0.069,0.0,,,True,1.544,,,0.08,,,1.788,571,15.265,0.0,NGC 2421,0.0,0.038,0.021,0.07,,,,,0.023,114.0834583,,,,,0.022,O
235,18.9,16.0,13.75,12.54,13.2,10.597,9.569,9.236,0.7018333333333309,-0.6264705882353012,1.2269767441860455,1.9574418604651163,0.7304651162790703,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,,-20.6499444,0.0,,0.064,0.0,,,False,1.464,,,0.03,,,1.53,410,14.757,0.01,NGC 2421,0.0,0.031,0.019,0.054,,,,,0.024,114.1735,,,,,0.024,O
240,19.72,18.86,17.5,17.09,17.17,16.239,15.786,16.631,0.11516666666666597,-1.2558823529411667,0.6572093023255763,1.8330232558139437,1.1758139534883674,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,,-25.4831667,0.01,,0.115,0.05,,,True,0.512,,,0.02,,,0.485,822,17.701,0.05,Haffner 16,0.02,0.087,,0.118,,,,,0.094,117.4814167,,,,,0.126,O
241,19.3,18.77,17.22,16.76,16.94,15.85,15.614,14.906,-0.3056666666666604,-1.2652941176470427,0.07372093023256021,1.209302325581399,1.1355813953488387,gmag_rmag_imag_Hamag,,-25.5083611,0.01,,0.109,0.01,,,True,0.667,,,0.02,,,0.488,961,17.618,0.01,Haffner 16,0.01,0.084,,0.114,,,,,0.084,117.4816667,,,,,0.093,O
242,15.93,15.41,13.99,13.64,13.73,13.068,12.772,12.692,-0.1158333333333329,-1.1470588235294115,0.2918604651162791,1.5046511627906982,1.212790697674419,gmag_rmag_imag_Hamag,,-25.5463333,0.0,,0.046,0.0,,,False,0.534,,,0.0,,,0.413,1164,14.336,0.0,Haffner 16,0.0,0.018,0.03,0.026,,,,,0.022,117.4816667,,,,,0.025,O
244,20.57,18.84,16.59,15.79,16.21,14.277,13.518,13.183,0.2766666666666662,-0.706470588235288,0.665348837209299,1.948372093023249,1.28302325581395,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,,-25.4613333,0.01,,0.093,0.01,,,False,1.1,,,0.05,,,0.971,696,17.29,0.01,Haffner 16,0.01,0.074,,0.112,,,,,0.04,117.4819583,,,,,0.042,O
245,17.07,16.52,15.26,14.96,15.08,14.39,14.19,14.154,0.00500000000000278,-0.6041176470588214,0.24581395348837493,1.2295348837209348,0.9837209302325598,gmag_rmag_imag_Hamag,,-25.4803333,0.0,,0.052,0.0,,,False,0.374,,,0.01,,,0.315,808,15.521,0.01,Haffner 16,0.01,0.027,0.068,0.037,,,,,0.029,117.4855,,,,,0.039,O
246,18.31,17.57,16.0,15.58,15.69,14.856,14.385,14.508,-0.02300000000000124,-1.2476470588235349,0.46116279069767446,1.777906976744188,1.3167441860465132,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,,-25.5208333,0.0,,0.062,0.0,,,False,0.671,,,0.01,,,0.466,1012,16.404,0.01,Haffner 16,0.01,0.04,0.095,0.054,,,,,0.039,117.4856667,,,,,0.045,O
247,18.51,18.06,16.61,16.21,16.32,15.485,15.404,15.278,-0.27666666666666107,-1.4094117647058746,0.17116279069767887,1.3679069767441914,1.1967441860465122,gmag_rmag_imag_Hamag,,-25.4431944,0.01,,0.074,0.01,,,False,0.605,,,0.01,,,0.43,564,16.96,0.02,Haffner 16,0.01,0.051,0.177,0.068,,,,,0.059,117.4874583,,,,,0.09,O
