,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
1,20.634,18.906,16.35,14.889,15.928,12.405,11.696,11.343,0.5219220779220808,-0.8325438596491206,0.21116822429906823,2.506877192982453,3.873831775700933,7.046177570093461,1.7101578947368385,2.3607757009345764,4.7889672897196265,1.7523084112149558,0.4090653594771241,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,5.04,-56.706351,4.317,3.356,16.361,152.450956,11.6,7.655,9,1,0,0,1
9,20.672,19.842,17.938,16.871,17.568,15.048,14.225,13.983,-0.0684242424242405,-1.0637953216374247,-0.32825233644859475,1.4361286549707621,2.3743738317757055,4.673878504672903,1.2862631578947368,1.7328317757009357,3.4888644859813107,1.2624205607476644,0.6173790849673214,Jmag_Hmag_Kmag,5.36,-57.294752,4.332,3.719,17.937,151.989085,14.5,6.172,26,1,0,0,0
10,18.352,18.583,17.251,16.526,16.92,15.128,14.684,14.429,-0.8595194805194772,-1.542187134502921,-1.0780420560747626,0.21912865497075784,0.7792803738317753,2.319420560747666,0.9122631578947333,1.1788738317756984,2.3497383177570095,0.8354672897196281,0.22733333333333505,umag_gmag_imag,2.68,-57.547096,4.624,4.062,17.244,151.654351,18.21,4.903,27,1,0,1,0
13,19.931,18.143,15.261,13.63,14.75,10.746,9.936,9.459,0.42809523809523786,-1.0887076023391806,0.059789719626168525,2.686093567251466,4.173327102803741,7.703616822429906,1.9377368421052656,2.6456028037383197,5.34514953271028,1.9450186915887833,0.40470588235294147,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,1.65,-57.230152,4.457,3.476,15.275,152.188854,10.91,8.973,36,1,0,0,1
36,19.507,17.831,15.192,13.665,14.714,10.926,10.098,9.693,0.4307575757575781,-0.979520467836255,0.08836915887850738,2.4575964912280703,3.85040186915888,7.155700934579443,1.7549473684210515,2.417869158878504,4.945397196261683,1.8211121495327116,0.483882352941175,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,4.23,-57.689588,4.329,3.576,15.202,152.067236,9.96,8.321,98,1,0,0,1
40,17.566,15.969,13.405,11.925,12.928,9.317,8.56,8.115,0.3871471861471858,-0.9807543859649117,0.04807943925233693,2.360766081871347,3.697373831775702,6.897093457943924,1.707157894736843,2.3433317757009355,4.789219626168223,1.7612149532710268,0.3788954248366008,umag_gmag_rmag | umag_gmag_Hamag,1.57,-57.545887,4.324,3.538,13.394,152.325021,8.41,7.995,109,1,0,0,1
46,17.929,16.214,13.487,11.917,12.97,9.144,8.367,7.875,0.42823376623376697,-1.0240233918128645,0.0626822429906555,2.532292397660817,3.9394953271028026,7.330710280373831,1.8180526315789458,2.4878271028037373,5.079369158878504,1.8652336448598137,0.3589607843137241,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag,2.09,-57.463467,4.366,3.528,13.506,152.598693,8.49,8.524,130,1,0,0,1
50,20.353,19.78,18.223,17.351,17.936,15.984,15.276,15.27,-0.16168831168831221,-0.9753099415204685,-0.36623364485981313,1.0693216374269034,1.851046728971966,3.73461682242991,1.0521578947368444,1.4242289719626195,2.863649532710283,1.0360186915887852,0.7029019607843137,Jmag_Hmag_Kmag,5.12,-57.183747,4.297,3.543,18.222,153.058283,15.52,4.892,145,1,0,0,0
58,21.207,19.847,17.423,16.088,16.954,13.453,12.442,12.081,0.2162077922077903,-1.036087719298246,-0.11353738317757078,2.160140350877199,3.3281495327102855,6.203523364485981,1.6511052631578993,2.207032710280378,4.402429906542056,1.5778037383177543,0.7042679738562079,Jmag_Hmag_Kmag,6.88,-57.633054,4.324,3.941,17.42,152.560034,12.29,8.076,161,1,0,0,0
60,20.44,18.606,15.728,14.032,15.224,10.888,9.968,9.43,0.47598268398268284,-1.081590643274855,0.11139252336448524,2.6490292397660844,4.222130841121498,7.9007850467289735,1.896105263157897,2.6448411214953294,5.459644859813086,2.0302056074766353,0.46287581699346386,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,2.96,-57.077087,4.409,3.738,15.741,153.315795,10.3,9.512,167,1,0,0,1
62,21.237,19.676,17.182,15.762,16.732,13.176,12.459,12.102,0.3841774891774894,-0.9338888888888874,0.061485981308411874,2.327748538011698,3.6176168224299072,6.689766355140183,1.6718947368421062,2.2858224299065424,4.6347009345794365,1.6919626168224278,0.4136666666666678,umag_gmag_rmag | umag_gmag_Hamag,6.59,-57.872056,4.374,3.535,17.173,152.342042,12.8,7.858,175,1,0,0,0
80,20.842,19.447,16.74,15.134,16.253,11.989,11.004,10.483,0.11767099567099493,-1.3542222222222215,-0.23185046728971925,2.1485029239766114,3.6286542056074786,7.109364485981306,1.7772105263157916,2.4817056074766373,5.144406542056073,1.9197383177570075,0.5423202614379106,rmag_imag_Hamag,1.28,-57.736846,4.521,4.013,16.708,152.818379,12.49,9.551,226,1,0,0,0
84,19.694,19.421,18.038,17.34,17.831,15.98,15.765,15.329,-0.37958441558441547,-1.0534853801169588,-0.5368598130841122,0.8069707602339167,1.4548037383177552,2.968897196261681,0.9788947368421042,1.2872383177570081,2.4458084112149523,0.8356635514018695,-0.15545751633986932,Jmag_Hmag_Kmag,1.35,-57.316912,4.327,3.533,18.143,153.452234,16.15,4.312,238,1,0,0,0
85,20.992,19.178,16.385,14.752,15.94,11.746,10.85,10.373,0.4960909090909096,-1.0072514619883037,0.16473831775700898,2.620660818713449,4.174476635514016,7.727775700934577,1.84757894736842,2.58713551401869,5.308672897196261,1.9660841121495334,0.49070588235294177,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,3.51,-57.296756,4.359,3.679,16.427,153.481891,10.82,9.058,240,1,0,0,1
92,19.354,17.836,15.343,13.932,14.875,11.364,10.584,10.167,0.3416493506493521,-0.9705146198830388,0.009827102803739995,2.294695906432749,3.556121495327102,6.602953271028035,1.6761052631578937,2.2764953271028023,4.604640186915885,1.6753925233644855,0.4256862745098053,umag_gmag_rmag | umag_gmag_Hamag,0.63,-58.207384,4.299,3.606,15.333,152.333012,10.26,7.798,252,1,0,0,1
130,20.476,19.034,16.631,15.186,16.189,12.608,11.868,11.474,0.3081168831168841,-1.0108187134502913,-0.00708878504672783,2.0873391812865485,3.415392523364485,6.5460934579439245,1.5664210526315776,2.19852336448598,4.593219626168223,1.7262149532710285,0.4052287581699348,umag_gmag_Hamag,4.22,-57.403109,4.335,3.669,16.642,153.664271,11.82,7.826,328,1,0,0,1
150,17.392,18.125,17.183,16.606,16.944,15.383,15.004,14.86,-1.177493506493507,-1.7012514619883035,-1.334537383177571,-0.4928479532163723,-0.023299065420561815,1.2092897196261627,0.6079473684210539,0.8314345794392521,1.7701308411214918,0.6717663551401843,0.2566470588235289,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,5.66,-57.720938,4.639,4.975,17.227,153.420283,18.74,4.313,373,1,0,1,0
152,20.597,18.508,15.374,13.514,14.826,10.056,9.057,8.424,0.6101861471861503,-1.0943099415204651,0.21358878504673218,2.9605438596491225,4.690364485981309,8.72606542056075,2.0571578947368403,2.88048598130841,5.9688037383177575,2.2278504672897212,0.46115686274509615,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,4.29,-57.090546,4.417,3.769,15.327,154.220685,9.29,10.406,376,1,0,0,1
166,19.622,18.012,15.232,13.597,14.716,10.619,9.703,9.21,0.2982251082251073,-1.204239766081872,-0.06880373831775777,2.40122807017544,3.888467289719627,7.426364485981308,1.8334210526315804,2.5412897196261692,5.246406542056075,1.9487383177570092,0.4971111111111128,umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,1.85,-57.311851,4.481,3.723,15.244,154.009332,10.85,9.236,405,1,0,0,1
169,20.09,18.4,15.772,14.225,15.28,11.453,10.566,10.182,0.4499480519480541,-0.9712573099415183,0.10084112149532909,2.4362690058479526,3.8397943925233635,7.186214953271028,1.7323684210526298,2.400392523364484,4.958855140186914,1.842794392523365,0.5607254901960769,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,6.91,-57.277031,4.316,3.644,15.751,154.085038,10.3,8.417,414,1,0,0,1
207,20.074,18.462,15.828,14.252,15.111,11.334,10.41,9.782,0.36911688311688495,-1.0715672514619854,-0.09481775700934314,2.328994152046788,3.549102803738321,6.897757009345796,1.7215789473684224,2.3023037383177583,4.848228971962616,1.816841121495326,0.3904052287581694,umag_gmag_rmag,7.06,-56.705074,4.301,3.915,15.865,154.998316,9.8,8.845,489,1,1,0,1
211,20.626,18.877,16.027,14.379,15.531,11.361,10.466,10.02,0.40419480519480877,-1.1181461988304062,0.04472897196262049,2.5944152046783615,4.116906542056075,7.689691588785049,1.8958947368421024,2.620542056074764,5.35392523364486,1.9709906542056093,0.5160457516339886,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,4.67,-57.495002,4.463,3.638,16.029,154.04713,11.45,9.257,495,1,0,0,1
223,20.154,19.727,18.227,17.362,17.912,15.973,15.291,15.367,-0.28079220779220815,-1.0805146198830424,-0.49746261682243076,0.8748362573099389,1.620831775700933,3.4807850467289745,0.9992105263157884,1.354275700934579,2.7736448598130865,1.0192056074766378,0.7465751633986937,Jmag_Hmag_Kmag,5.45,-57.229086,4.336,3.646,18.198,154.435058,15.85,4.938,519,1,0,0,0
240,18.319,18.66,17.56,16.966,17.293,15.797,15.174,15.315,-0.8600476190476207,-1.4208011695906435,-1.0372757009345808,0.036473684210529655,0.49948598130841215,1.7625140186915844,0.7561052631578975,0.9764813084112166,1.9369579439252314,0.6856822429906514,0.7428039215686285,Jmag_Hmag_Kmag,2.7,-57.806036,4.551,4.174,17.518,153.84482,18.09,4.293,555,1,0,1,0
273,20.063,19.981,18.56,17.75,18.145,16.146,15.434,15.564,-0.5885151515151557,-1.3400994152046821,-0.8531588785046765,0.517736842105265,1.0996355140186926,2.8076728971962597,0.952052631578951,1.229014018691592,2.5244813084112163,0.9207476635514005,0.8224575163398714,Jmag_Hmag_Kmag,4.39,-58.445164,4.458,4.208,18.595,153.35683,17.05,5.379,656,1,0,1,0
314,21.072,19.556,17.03,15.63,16.605,12.98,12.212,11.831,0.32407792207792063,-0.9865380116959082,0.012920560747661902,2.3390760233918106,3.628915887850465,6.663028037383175,1.715473684210526,2.329387850467289,4.6504158878504676,1.6733644859813088,0.44427450980392214,umag_gmag_Hamag,3.81,-57.711922,4.374,3.619,17.043,154.587508,12.52,8.016,736,1,0,0,0
318,20.118,19.985,18.326,17.419,17.988,15.856,15.296,14.942,-0.6498181818181821,-1.5026374269005849,-0.8841635514018698,0.6887485380116942,1.4634766355140159,3.4115794392523333,1.1338947368421044,1.50263551401869,2.988761682242989,1.0665327102803737,0.259215686274511,umag_gmag_imag,3.14,-56.884998,4.605,3.72,18.327,155.609318,18.51,5.578,746,1,0,1,0
348,19.853,19.677,17.974,17.029,17.615,15.44,14.882,14.528,-0.6275800865800842,-1.5119064327485356,-0.8742710280373815,0.7295263157894749,1.5300654205607473,3.5578691588785043,1.1558947368421046,1.5369205607476621,3.0833925233644845,1.1092990654205606,0.25721568627451036,umag_gmag_imag,3.64,-56.767621,4.612,3.693,17.979,155.977,18.15,5.69,813,1,0,1,0
