,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
1,20.634,18.906,16.35,14.889,15.928,12.405,11.696,11.343,-0.9261500000000016,-0.9777647058823562,-0.9057441860465123,-0.7418604651162841,0.16388372093022774,umag_gmag_rmag_Hamag,5.04,-56.706351,4.317,3.356,16.361,152.450956,11.6,7.655,9,1,0,0,1
27,20.99,19.571,17.088,15.603,16.215,12.746,11.892,11.261,-1.2787500000000045,-4.178470588235306,-0.1323488372093049,0.941627906976743,1.0739767441860475,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.94,-57.62927,4.321,4.025,17.109,151.952639,11.46,8.57,68,1,1,0,0
54,20.523,19.113,16.474,14.901,16.015,11.949,11.05,10.603,-1.4476166666666663,-1.5329999999999986,-1.4138604651162794,-1.3396511627906982,0.07420930232558032,umag_rmag_imag_Hamag,4.8,-57.296353,4.508,3.834,16.488,152.924193,12.52,9.045,151,1,0,0,0
80,20.842,19.447,16.74,15.134,16.253,11.989,11.004,10.483,-1.522566666666663,-1.7275294117646967,-1.4415348837209288,-1.3108372093023206,0.13069767441860725,umag_gmag_imag_Hamag,1.28,-57.736846,4.521,4.013,16.708,152.818379,12.49,9.551,226,1,0,0,0
82,18.934,17.65,15.285,13.905,14.944,11.597,10.928,10.596,-1.2229999999999985,-0.9024117647058763,-1.3497441860465114,-1.3768604651162821,-0.02711627906977121,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.34,-57.037964,4.438,3.423,15.304,153.735127,12.0,7.395,231,1,0,0,1
84,19.694,19.421,18.038,17.34,17.831,15.98,15.765,15.329,-0.9950333333333341,-1.0542352941176525,-0.9716279069767431,-0.7190697674418587,0.25255813953488415,umag_gmag_rmag_Hamag,1.35,-57.316912,4.327,3.533,18.143,153.452234,16.15,4.312,238,1,0,0,0
85,20.992,19.178,16.385,14.752,15.94,11.746,10.85,10.373,-1.1526166666666673,-1.039235294117661,-1.1974418604651116,-1.1396046511627826,0.05783720930232894,umag_gmag_rmag_Hamag,3.51,-57.296756,4.359,3.679,16.427,153.481891,10.82,9.058,240,1,0,0,1
98,16.304,15.184,12.878,11.698,12.404,9.383,8.702,8.27,-1.0236666666666663,-1.9191764705882384,-0.6696279069767428,0.010930232558142183,0.680558139534885,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.6,-57.016295,4.352,3.638,12.88,153.926987,8.89,7.143,261,1,0,0,1
100,13.338,13.336,12.316,11.705,11.68,10.859,10.613,10.472,-1.1079833333333353,-4.075882352941186,0.06537209302325557,1.1429302325581396,1.077558139534884,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.66,-57.806063,4.337,3.306,12.293,152.943618,11.36,3.281,263,1,1,0,1
119,19.794,18.623,16.26,14.732,15.755,11.637,10.567,9.967,-1.6048666666666707,-2.066941176470595,-1.422186046511631,-1.4144651162790751,0.007720930232555379,umag_gmag_rmag_imag | umag_rmag_imag_Hamag,3.25,-58.083471,4.328,4.55,16.206,152.726076,10.07,9.145,311,1,0,0,0
